name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,interceptionWon,fouls,keyPass,challengeLost,shotOffTarget,blockedScoringAttempt,outfielderBlock,wasFouled,totalTackle,totalOffside,totalContest,wonContest,dispossessed,onTargetScoringAttempt,goals,captain,team,teamType,bigChanceCreated,bigChanceMissed
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,29,False,23.0,17.0,14.0,8.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,90.0,30.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Léyser Chaverra,,,leyser-chaverra-renteria,L. Chaverra,D,2,175.0,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800,"{'value': 875000, 'currency': 'EUR'}",,2,False,82.0,71.0,7.0,4.0,0.0,4.0,,,,,,90.0,97.0,7.5,13.0,"{'original': 7.5, 'alternative': None}",2.0,1.0,1.0,5.0,2.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,Independiente Medellín,home,,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,56.0,52.0,12.0,8.0,0.0,1.0,,,,,,65.0,64.0,7.0,4.0,"{'original': 7, 'alternative': None}",,,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,Independiente Medellín,home,,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,33,False,80.0,76.0,8.0,5.0,0.0,2.0,,,,,,90.0,90.0,7.6,5.0,"{'original': 7.6, 'alternative': None}",1.0,,2.0,2.0,2.0,4.0,1.0,1.0,,,1.0,1.0,,,2.0,,,,,,,,Independiente Medellín,home,,
Mender García,,,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800,"{'value': 830000, 'currency': 'EUR'}",,8,False,33.0,25.0,1.0,,0.0,,,,,,,90.0,39.0,7.0,8.0,"{'original': 7, 'alternative': None}",,,3.0,1.0,4.0,4.0,,2.0,1.0,,,2.0,,1.0,2.0,1.0,,,,,,,Independiente Medellín,home,,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,False,67.0,57.0,7.0,4.0,0.0,,,,,,,90.0,74.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,1.0,3.0,3.0,7.0,,1.0,2.0,1.0,,1.0,,1.0,2.0,,1.0,1.0,,,,True,Independiente Medellín,home,,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200,"{'value': 930000, 'currency': 'EUR'}",,31,False,57.0,53.0,3.0,2.0,0.0,,,,,,,90.0,73.0,7.7,8.0,"{'original': 7.7, 'alternative': None}",2.0,,,2.0,2.0,8.0,1.0,2.0,1.0,,3.0,1.0,,5.0,1.0,,,,,,,,Independiente Medellín,home,,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",,13,False,50.0,46.0,6.0,4.0,0.0,,,,,,,79.0,59.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",5.0,2.0,,1.0,3.0,2.0,,3.0,4.0,,1.0,,,,,,1.0,1.0,,,,,Independiente Medellín,home,,
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",,7,False,47.0,38.0,5.0,2.0,1.0,,,,,,,66.0,60.0,7.4,13.0,"{'original': 7.4, 'alternative': None}",1.0,,1.0,2.0,7.0,6.0,,4.0,3.0,,1.0,2.0,1.0,3.0,1.0,,1.0,,1.0,,,,Independiente Medellín,home,,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",,9,False,33.0,30.0,1.0,1.0,0.0,2.0,,,,,,89.0,46.0,8.1,6.0,"{'original': 8.1, 'alternative': None}",2.0,1.0,1.0,,2.0,3.0,,1.0,4.0,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,Independiente Medellín,home,,
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600,"{'value': 1300000, 'currency': 'EUR'}",,27,False,9.0,7.0,,,0.0,,,,,,,79.0,20.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,,,3.0,1.0,,1.0,,,1.0,,,1.0,,,2.0,,,1.0,,,Independiente Medellín,home,,
Luis Escorcia,Luis Escorcia,,luis-escorcia,L. Escorcia,D,39,185.0,14,1470059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073433600,"{'value': 260000, 'currency': 'EUR'}",,39,True,6.0,5.0,2.0,2.0,0.0,1.0,,,,,,25.0,8.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,,Independiente Medellín,home,,
