name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,totalClearance,outfielderBlock,interceptionWon,totalTackle,shotOffTarget,fouls,totalCross,challengeLost,dispossessed,blockedScoringAttempt,accurateCross,totalContest,keyPass,wonContest,hitWoodwork,totalOffside,onTargetScoringAttempt,wasFouled,bigChanceCreated,goals,captain,team,teamType,errorLeadToAShot
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200.0,"{'value': 870000, 'currency': 'EUR'}",,29,False,21.0,15.0,12.0,6.0,0.0,2.0,4.0,7.0,90.0,32.0,8.4,6.0,"{'original': 8.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800.0,"{'value': 410000, 'currency': 'EUR'}",,6,False,47.0,39.0,4.0,2.0,0.0,,,,90.0,73.0,8.0,11.0,"{'original': 8, 'alternative': None}",1.0,1.0,1.0,5.0,3.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,Independiente Medellín,home,
José Ortiz,,,jose-ortiz,J. Ortiz,D,24,181.0,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400.0,"{'value': 700000, 'currency': 'EUR'}",,24,False,54.0,43.0,5.0,2.0,0.0,,,,90.0,62.0,7.0,11.0,"{'original': 7, 'alternative': None}",2.0,3.0,4.0,3.0,3.0,,3.0,,1.0,3.0,,,,,,,,,,,,,,,,Independiente Medellín,home,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400.0,"{'value': 545000, 'currency': 'EUR'}",,33,False,50.0,44.0,4.0,2.0,0.0,,,,90.0,71.0,7.6,9.0,"{'original': 7.6, 'alternative': None}",1.0,,5.0,4.0,2.0,2.0,3.0,4.0,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,Independiente Medellín,home,
Mender García,,,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800.0,"{'value': 830000, 'currency': 'EUR'}",,8,False,31.0,23.0,,,0.0,,,,75.0,42.0,6.5,15.0,"{'original': 6.5, 'alternative': None}",4.0,3.0,8.0,3.0,,,,,1.0,1.0,2.0,,,,1.0,3.0,1.0,,,,,,,,,Independiente Medellín,home,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000.0,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,44.0,37.0,5.0,2.0,0.0,,,,90.0,60.0,7.5,12.0,"{'original': 7.5, 'alternative': None}",,1.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0,,1.0,1.0,,,1.0,3.0,1.0,1.0,1.0,,,,,True,Independiente Medellín,home,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200.0,"{'value': 930000, 'currency': 'EUR'}",,31,False,30.0,28.0,,,0.0,,,,67.0,37.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,2.0,3.0,2.0,,,,,,,,,1.0,,,1.0,,,,1.0,2.0,,,,Independiente Medellín,home,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600.0,"{'value': 1500000, 'currency': 'EUR'}",,13,False,33.0,26.0,5.0,1.0,1.0,,,,90.0,53.0,8.5,14.0,"{'original': 8.5, 'alternative': None}",1.0,1.0,6.0,4.0,,1.0,,1.0,,2.0,5.0,1.0,1.0,2.0,1.0,1.0,4.0,,,,2.0,2.0,1.0,1.0,,Independiente Medellín,home,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200.0,"{'value': 765000, 'currency': 'EUR'}",,9,False,28.0,22.0,,,0.0,,,,76.0,37.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",,,2.0,4.0,1.0,,,2.0,,1.0,,,,,,1.0,3.0,,,,1.0,2.0,,,,Independiente Medellín,home,
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600.0,"{'value': 595000, 'currency': 'EUR'}",,7,False,34.0,26.0,3.0,,0.0,,,,89.0,44.0,7.5,13.0,"{'original': 7.5, 'alternative': None}",1.0,,5.0,2.0,,,,,,2.0,2.0,1.0,1.0,,,,2.0,,,,2.0,2.0,,1.0,,Independiente Medellín,home,
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600.0,"{'value': 1300000, 'currency': 'EUR'}",,27,False,12.0,7.0,1.0,,0.0,,,,90.0,24.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,,3.0,3.0,,,,,2.0,1.0,1.0,1.0,,1.0,,3.0,,2.0,,,,1.0,,,,Independiente Medellín,home,
