name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,shotOffTarget,wasFouled,fouls,outfielderBlock,interceptionWon,totalTackle,keyPass,onTargetScoringAttempt,blockedScoringAttempt,totalCross,accurateCross,totalOffside,captain,team,teamType,fieldTranslations,challengeLost,goals,bigChanceCreated,bigChanceMissed
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",12,False,12.0,8.0,4.0,0.0,1.0,1.0,3.0,1.0,90.0,22.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,,,,
Neymar Uribe,Neymar Uribe,,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",27,False,23.0,18.0,2.0,0.0,2.0,,,,68.0,43.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,Envigado FC,home,,,,,
Didier Palacios,Didier Palacios,,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",2,False,19.0,16.0,8.0,0.0,1.0,,,,90.0,29.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",6.0,1.0,,3.0,4.0,,,,1.0,1.0,2.0,2.0,1.0,3.0,,,,,,,,Envigado FC,home,,,,,
Carlos Ramirez,,,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",29,False,36.0,28.0,10.0,0.0,5.0,,,,90.0,44.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",6.0,,3.0,1.0,5.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,Envigado FC,home,,,,,
Brayan Murillo,Brayan Murillo,,brayan-murillo,B. Murillo,D,36,,6,1929964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,36,False,22.0,15.0,2.0,0.0,1.0,,,,68.0,32.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,1.0,4.0,4.0,,2.0,1.0,,1.0,2.0,,1.0,1.0,,1.0,1.0,,,,,Envigado FC,home,,,,,
Edison López,,,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",21,False,21.0,18.0,2.0,0.0,,,,,45.0,25.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",1.0,,,,,,,,,,,,,,,,1.0,,,,,Envigado FC,home,,,,,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",6,False,28.0,24.0,10.0,0.0,2.0,,,,90.0,38.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",8.0,,1.0,,3.0,,,,,,,,2.0,2.0,,,,,,,,Envigado FC,home,,,,,
Dorlan Pabón,,,dorlan-pabon,D. Pabón,M,8,168.0,352,186847,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,569980800.0,"{'value': 55000, 'currency': 'EUR'}",8,False,29.0,19.0,9.0,0.0,,,,,59.0,39.0,6.8,14.0,"{'original': 6.8, 'alternative': None}",3.0,2.0,1.0,3.0,1.0,,,,1.0,,1.0,,,,3.0,,1.0,6.0,2.0,,True,Envigado FC,home,,,,,
Daniel Arcila,Daniel Arcila,,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,26,False,49.0,39.0,8.0,0.0,,,,,90.0,68.0,7.4,16.0,"{'original': 7.4, 'alternative': None}",4.0,1.0,,3.0,6.0,,2.0,,1.0,3.0,,,,3.0,3.0,,,3.0,2.0,,,Envigado FC,home,,,,,
Luis Díaz,Luis Díaz,,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,34,False,20.0,14.0,,0.0,2.0,,,,90.0,30.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,4.0,2.0,5.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,Envigado FC,home,,,,,
Santiago Londono,Santiago Londoño,,londono-santiago,S. Londoño,F,9,184.0,191,1508614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1204243200.0,,19,False,7.0,4.0,,0.0,2.0,,,,45.0,14.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,1.0,2.0,5.0,3.0,1.0,,,,,3.0,,,1.0,,,,,,,,Envigado FC,home,,,,,
