name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,wonContest,totalTackle,wasFouled,keyPass,outfielderBlock,shotOffTarget,interceptionWon,fouls,dispossessed,bigChanceCreated,blockedScoringAttempt,onTargetScoringAttempt,goals,totalOffside,captain,team,teamType,errorLeadToAGoal,hitWoodwork
Santiago Mele,santiago-mele,S. Mele,G,25,182,607,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",,,77,False,33.0,18.0,23.0,8.0,0.0,2.0,2.0,4.0,1.0,3.0,5.0,1.0,90.0,46.0,7.9,15.0,"{'original': 7.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",,Jhomier Guerrero,,34,False,16.0,13.0,2.0,,0.0,,6.0,4.0,,,,,90.0,46.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",2.0,2.0,2.0,6.0,1.0,5.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,Junior Barranquilla,home,,
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,24.0,13.0,8.0,1.0,0.0,1.0,2.0,9.0,,,,,90.0,38.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",1.0,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,Junior Barranquilla,home,,
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000,"{'value': 775000, 'currency': 'EUR'}",,Daniel Rivera,,5,False,17.0,11.0,6.0,2.0,0.0,,3.0,9.0,,,,,90.0,33.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",,,,,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,Junior Barranquilla,home,,
Edwin Herrera,edwin-herrera,E. Herrera,D,3,170,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400,"{'value': 730000, 'currency': 'EUR'}",,,,3,False,21.0,20.0,1.0,1.0,0.0,,4.0,6.0,,,,,88.0,46.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",4.0,2.0,,1.0,,,,4.0,,,,,2.0,1.0,,,,,,,,Junior Barranquilla,home,,
Fabián Ángel,fabian-angel,F. Ángel,M,80,175,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800,"{'value': 390000, 'currency': 'EUR'}",,,,80,False,26.0,19.0,6.0,1.0,0.0,,2.0,1.0,,,,,90.0,36.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,2.0,4.0,,1.0,1.0,1.0,,,1.0,2.0,,2.0,,,,,,,,Junior Barranquilla,home,,
Didier Moreno,didier-moreno,D. Moreno,M,6,177,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,41.0,27.0,5.0,,0.0,5.0,9.0,3.0,,,,,90.0,60.0,6.6,19.0,"{'original': 6.6, 'alternative': None}",,,1.0,6.0,,1.0,,4.0,,,2.0,,,2.0,2.0,,,,,,,Junior Barranquilla,home,,
Teófilo Gutiérrez,teofilo-gutierrez,T. Gutiérrez,F,29,177,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000,"{'value': 52000, 'currency': 'EUR'}",,,,29,False,38.0,29.0,,,1.0,,,,,,,,68.0,44.0,7.0,11.0,"{'original': 7, 'alternative': None}",,,2.0,4.0,1.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,Junior Barranquilla,home,,
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000,"{'value': 850000, 'currency': 'EUR'}",,,,9,False,18.0,9.0,3.0,1.0,0.0,2.0,3.0,,,,,,62.0,28.0,6.2,16.0,"{'original': 6.2, 'alternative': None}",,,5.0,12.0,,2.0,,1.0,,2.0,,,,2.0,3.0,,,,,,,Junior Barranquilla,home,,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,,8,False,23.0,21.0,1.0,,0.0,,2.0,1.0,,,,,68.0,32.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,Junior Barranquilla,home,,
