name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,duelWon,totalContest,wonContest,interceptionWon,fouls,keyPass,aerialLost,aerialWon,challengeLost,outfielderBlock,totalTackle,wasFouled,totalCross,accurateCross,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,shotOffTarget,totalOffside,captain,team,teamType,ownGoals,bigChanceCreated,goals
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,32.0,26.0,9.0,4.0,0.0,1.0,1.0,2.0,1.0,90.0,41.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Jordy Monroy,jordy-ararat,J. Monroy,D,17,185,44,823379,"{'alpha2': 'AM', 'alpha3': 'ARM', 'name': 'Armenia', 'slug': 'armenia'}",EUR,820627200,"{'value': 480000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. أرات', 'hi': 'जे. अरार्ट', 'bn': 'জে. আরারাত'}}",,,17,False,40.0,29.0,6.0,1.0,0.0,,,,,90.0,52.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400,"{'value': 470000, 'currency': 'EUR'}",,,,18,False,75.0,63.0,15.0,7.0,0.0,2.0,,,,90.0,82.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",6.0,4.0,,,1.0,3.0,,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,Independiente Santa Fe,home,,,
Victor Moreno,victor-moreno,V. Moreno,D,3,180,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,82.0,75.0,12.0,8.0,0.0,3.0,,,,90.0,88.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",3.0,3.0,,,,2.0,,1.0,1.0,,,,2.0,,,,,,,,,Independiente Santa Fe,home,,,
Christian Mafla,christian-mafla,C. Mafla,D,32,175,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,23.0,20.0,4.0,2.0,0.0,,,,,90.0,41.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,Independiente Santa Fe,home,,,
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,20,False,49.0,39.0,6.0,2.0,0.0,2.0,,,,90.0,66.0,7.4,11.0,"{'original': 7.4, 'alternative': None}",4.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,,6.0,2.0,1.0,1.0,,,,,,,Independiente Santa Fe,home,,,
Daniel Torres,daniel-torres,D. Torres,M,16,186,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,False,33.0,28.0,4.0,3.0,0.0,1.0,,,,62.0,49.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",2.0,7.0,3.0,2.0,,1.0,2.0,,,,,1.0,4.0,,,,,,,,,Independiente Santa Fe,home,,,
Lucas Ríos,lucas-rios,L. Ríos,M,29,176,49,974224,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,889315200,"{'value': 620000, 'currency': 'EUR'}",,,,29,False,20.0,10.0,,,0.0,,,,,62.0,30.0,6.7,15.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,2.0,,1.0,1.0,1.0,,,,Independiente Santa Fe,home,,,
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179,105,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000,"{'value': 670000, 'currency': 'EUR'}",,,,10,False,28.0,25.0,,,0.0,,,,,78.0,37.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,,,1.0,1.0,,1.0,,,,,1.0,4.0,2.0,,,,,,,Independiente Santa Fe,home,,,
Omar Fernández,omar-fernandez,O. Fernández,M,8,166,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,36.0,31.0,,,0.0,,,,,85.0,50.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,2.0,1.0,,,1.0,,,,,,,5.0,1.0,,,1.0,,,,Independiente Santa Fe,home,,,
