name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelLost,duelWon,totalContest,wonContest,totalClearance,penaltyConceded,fouls,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,outfielderBlock,wasFouled,keyPass,blockedScoringAttempt,totalTackle,aerialLost,onTargetScoringAttempt,interceptionWon,aerialWon,challengeLost,shotOffTarget,dispossessed,bigChanceCreated,goals,totalOffside,bigChanceMissed,captain,team,teamType,savedShotsFromInsideTheBox,penaltyWon
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,20.0,13.0,13.0,6.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,90.0,28.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Elvis Perlaza,elvis-perlaza,E. Perlaza,D,22,172.0,41,285361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,605232000,"{'value': 160000, 'currency': 'EUR'}",,,,22,False,27.0,19.0,4.0,1.0,0.0,2.0,1.0,1.0,,1.0,,1.0,,,80.0,39.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400,"{'value': 470000, 'currency': 'EUR'}",,,,18,False,20.0,13.0,8.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,,1.0,,,90.0,26.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",,,1.0,,,1.0,1.0,,,,,,,,,,,,,Independiente Santa Fe,home,,
Kevin Andres Cuesta Rodriguez,cuesta-rodriguez-kevin-andres,K. A. C. Rodriguez,D,6,188.0,34,1067105,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,955843200,"{'value': 205000, 'currency': 'EUR'}",,Kevin Andres Cuesta Rodriguez,,6,False,21.0,18.0,3.0,2.0,0.0,3.0,2.0,1.0,,2.0,,1.0,,,90.0,30.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,2.0,,,,2.0,1.0,1.0,,,,,,,,,,,Independiente Santa Fe,home,,
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182.0,43,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600,"{'value': 310000, 'currency': 'EUR'}",,,,24,False,10.0,6.0,3.0,,0.0,1.0,1.0,,,3.0,,1.0,,,61.0,27.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",1.0,,,,,,1.0,,,1.0,,,,,,,,,,Independiente Santa Fe,home,,
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,False,32.0,26.0,5.0,3.0,0.0,4.0,2.0,,,1.0,,2.0,,,90.0,39.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,Independiente Santa Fe,home,,
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600,"{'value': 380000, 'currency': 'EUR'}",,,,21,False,21.0,18.0,2.0,1.0,0.0,4.0,5.0,,,,,2.0,,,90.0,30.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,,,,,,5.0,,,,,1.0,,1.0,,,,,,Independiente Santa Fe,home,,
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,24.0,18.0,1.0,1.0,0.0,,1.0,,,,,,,,90.0,33.0,7.8,10.0,"{'original': 7.8, 'alternative': None}",3.0,,,1.0,4.0,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,Independiente Santa Fe,home,,
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179.0,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000,"{'value': 670000, 'currency': 'EUR'}",,,,10,False,17.0,13.0,1.0,,1.0,4.0,2.0,1.0,,2.0,,1.0,,,86.0,32.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",2.0,,,1.0,2.0,,1.0,2.0,,1.0,,,2.0,,1.0,,1.0,,,Independiente Santa Fe,home,,
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,10.0,7.0,,,0.0,2.0,1.0,1.0,1.0,,,1.0,,,60.0,18.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",2.0,1.0,,,,,,1.0,,,,,1.0,,,,,1.0,,Independiente Santa Fe,home,,
