name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,duelLost,duelWon,challengeLost,totalContest,wonContest,totalTackle,fouls,keyPass,interceptionWon,wasFouled,shotOffTarget,totalCross,aerialLost,aerialWon,outfielderBlock,penaltyConceded,accurateCross,onTargetScoringAttempt,totalOffside,dispossessed,blockedScoringAttempt,goals,captain,team,teamType,bigChanceMissed,penaltyWon,bigChanceCreated
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,20.0,14.0,5.0,0.0,1.0,3.0,4.0,2.0,2.0,90.0,29.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Elvis Perlaza,elvis-perlaza,E. Perlaza,D,22,172.0,41,285361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,605232000,"{'value': 160000, 'currency': 'EUR'}",,,,22,False,27.0,23.0,8.0,0.0,3.0,,,,,73.0,37.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400,"{'value': 470000, 'currency': 'EUR'}",,,,18,False,66.0,58.0,7.0,0.0,5.0,,,,,90.0,76.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,2.0,,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,48.0,40.0,7.0,0.0,8.0,,,,,90.0,64.0,7.0,8.0,"{'original': 7, 'alternative': None}",3.0,,3.0,,,,2.0,,,4.0,1.0,1.0,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,23.0,16.0,4.0,0.0,2.0,,,,,90.0,42.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,3.0,,,,,1.0,,,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,Independiente Santa Fe,home,,,
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,False,20.0,14.0,5.0,0.0,,,,,,62.0,25.0,5.7,10.0,"{'original': 5.7, 'alternative': None}",1.0,8.0,,1.0,2.0,,,4.0,,,,,,1.0,,1.0,1.0,,,,,,,,Independiente Santa Fe,home,,,
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200,"{'value': 1100000, 'currency': 'EUR'}",,Johan Torres,,14,False,11.0,10.0,1.0,0.0,,,,,,45.0,16.0,6.3,3.0,"{'original': 6.3, 'alternative': None}",,2.0,2.0,,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,21.0,15.0,5.0,0.0,,,,,,90.0,38.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,3.0,,1.0,,1.0,,1.0,,2.0,1.0,5.0,1.0,,,,1.0,1.0,1.0,,,,,Independiente Santa Fe,home,,,
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,20,False,38.0,29.0,5.0,0.0,1.0,,,,,84.0,50.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",2.0,5.0,3.0,1.0,,,2.0,1.0,,,,2.0,,1.0,1.0,,,,,,2.0,,,,Independiente Santa Fe,home,,,
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,11.0,9.0,,0.0,,,,,,45.0,17.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",,,1.0,,,,1.0,,2.0,,,,5.0,,,,,2.0,,,,,,,Independiente Santa Fe,home,,,
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,923,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,12.0,9.0,,0.0,,,,,,90.0,24.0,7.8,5.0,"{'original': 7.8, 'alternative': None}",,1.0,5.0,,1.0,1.0,1.0,,,,1.0,3.0,1.0,1.0,2.0,,,,1.0,1.0,,1.0,1.0,True,Independiente Santa Fe,home,,,
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182.0,42,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600,"{'value': 310000, 'currency': 'EUR'}",,,,24,True,21.0,21.0,3.0,0.0,,,,,,45.0,25.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",3.0,3.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,Independiente Santa Fe,home,,,
Edwar López,edwar-lopez,E. López,F,28,179.0,64,924950,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794707200,"{'value': 390000, 'currency': 'EUR'}",,,,28,True,14.0,11.0,,0.0,2.0,,,,,45.0,27.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,4.0,3.0,,1.0,1.0,,,1.0,,1.0,,1.0,4.0,1.0,,,1.0,,1.0,,,,,Independiente Santa Fe,home,,,
