name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,shotOffTarget,totalClearance,totalTackle,keyPass,outfielderBlock,fouls,challengeLost,interceptionWon,accurateCross,dispossessed,wonContest,wasFouled,onTargetScoringAttempt,totalOffside,blockedScoringAttempt,captain,team,teamType
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800.0,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,22.0,17.0,6.0,1.0,0.0,1.0,2.0,3.0,90.0,29.0,7.2,5.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home
Jhon Meléndez,jhon-melendez,J. Meléndez,D,5,183.0,24,1174999,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200.0,"{'value': 330000, 'currency': 'EUR'}",,Jhon Meléndez,,5,False,42.0,28.0,5.0,1.0,0.0,,,,90.0,67.0,7.3,22.0,"{'original': 7.3, 'alternative': None}",1.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,Independiente Santa Fe,home
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400.0,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,39.0,31.0,10.0,4.0,0.0,,,,90.0,49.0,7.0,8.0,"{'original': 7, 'alternative': None}",,2.0,2.0,3.0,2.0,,,4.0,,,1.0,2.0,,,,,,,,,,,Independiente Santa Fe,home
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400.0,"{'value': 470000, 'currency': 'EUR'}",,,,18,False,43.0,35.0,7.0,3.0,0.0,,,,90.0,54.0,7.2,8.0,"{'original': 7.2, 'alternative': None}",,4.0,5.0,5.0,5.0,,2.0,5.0,,,1.0,,1.0,1.0,,,,,,,,,Independiente Santa Fe,home
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000.0,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,4.0,3.0,1.0,,0.0,,,,60.0,16.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",2.0,,,2.0,1.0,,,,1.0,,,2.0,,,1.0,,,,,,,,Independiente Santa Fe,home
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200.0,"{'value': 1100000, 'currency': 'EUR'}",,Johan Torres,,14,False,56.0,44.0,9.0,5.0,0.0,,,,90.0,70.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,1.0,7.0,7.0,2.0,,2.0,4.0,1.0,,4.0,,1.0,,1.0,1.0,1.0,,,,,Independiente Santa Fe,home
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600.0,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,20,False,45.0,35.0,5.0,3.0,0.0,,,,90.0,57.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",2.0,1.0,1.0,7.0,3.0,1.0,,,2.0,1.0,,3.0,2.0,1.0,1.0,,,,,,,,Independiente Santa Fe,home
Yeicar Perlaza,yeicar-perlaza,Y. Perlaza,D,27,180.0,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400.0,,,Yaicar Perlaza,,27,False,14.0,8.0,3.0,1.0,0.0,,,,60.0,26.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",3.0,,2.0,2.0,5.0,1.0,,,,,,,,1.0,1.0,1.0,,3.0,,,,,Independiente Santa Fe,home
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179.0,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000.0,"{'value': 670000, 'currency': 'EUR'}",,,,10,False,33.0,29.0,3.0,2.0,0.0,,,,82.0,51.0,7.9,12.0,"{'original': 7.9, 'alternative': None}",6.0,1.0,2.0,5.0,5.0,3.0,1.0,,1.0,4.0,,1.0,,1.0,2.0,2.0,2.0,,1.0,,,,Independiente Santa Fe,home
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200.0,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,26.0,18.0,1.0,1.0,0.0,,,,75.0,41.0,7.3,15.0,"{'original': 7.3, 'alternative': None}",6.0,,2.0,4.0,3.0,2.0,,,1.0,3.0,,1.0,,,3.0,1.0,,,2.0,1.0,,,Independiente Santa Fe,home
