name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,dispossessed,interceptionWon,fouls,totalCross,totalContest,wonContest,onTargetScoringAttempt,goals,totalTackle,wasFouled,accurateCross,totalOffside,keyPass,challengeLost,shotOffTarget,bigChanceCreated,blockedScoringAttempt,captain,team,teamType,punches,outfielderBlock,hitWoodwork
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800.0,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,25.0,15.0,13.0,3.0,0.0,1.0,1.0,3.0,90.0,31.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400.0,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,33.0,26.0,6.0,,0.0,3.0,,,90.0,37.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Kevin Andres Cuesta Rodriguez,cuesta-rodriguez-kevin-andres,K. A. C. Rodriguez,D,6,188.0,34,1067105,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,955843200.0,"{'value': 205000, 'currency': 'EUR'}",,Kevin Andres Cuesta Rodriguez,,6,False,21.0,20.0,3.0,2.0,0.0,2.0,,,45.0,27.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",3.0,,5.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182.0,42,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600.0,"{'value': 310000, 'currency': 'EUR'}",,,,24,False,29.0,19.0,5.0,3.0,0.0,3.0,,,90.0,54.0,7.8,16.0,"{'original': 7.8, 'alternative': None}",1.0,1.0,3.0,8.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,,,,,,,,,Independiente Santa Fe,home,,,
Elvis Perlaza,elvis-perlaza,E. Perlaza,D,22,172.0,41,285361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,605232000.0,"{'value': 160000, 'currency': 'EUR'}",,,,22,False,46.0,31.0,11.0,5.0,0.0,1.0,,,78.0,56.0,6.6,18.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,4.0,3.0,,,3.0,2.0,,,,,,1.0,1.0,1.0,2.0,,,,,,Independiente Santa Fe,home,,,
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200.0,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,False,38.0,31.0,8.0,5.0,0.0,2.0,,,90.0,49.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,3.0,4.0,6.0,1.0,,2.0,,,,,,1.0,2.0,,,1.0,1.0,,,,,Independiente Santa Fe,home,,,
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600.0,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,20,False,41.0,31.0,2.0,1.0,0.0,,,,90.0,47.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",,1.0,3.0,2.0,1.0,,2.0,1.0,,,,,,1.0,,,,,,,,,Independiente Santa Fe,home,,,
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800.0,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,37.0,30.0,3.0,2.0,1.0,,,,84.0,46.0,7.5,9.0,"{'original': 7.5, 'alternative': None}",,,1.0,3.0,,1.0,1.0,1.0,,,,,2.0,1.0,,,2.0,,1.0,,,,Independiente Santa Fe,home,,,
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200.0,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,19.0,11.0,1.0,1.0,1.0,,,,84.0,34.0,7.5,14.0,"{'original': 7.5, 'alternative': None}",1.0,,1.0,3.0,,,,6.0,,,,,,3.0,1.0,,2.0,,2.0,1.0,,,Independiente Santa Fe,home,,,
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179.0,105,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000.0,"{'value': 670000, 'currency': 'EUR'}",,,,10,False,28.0,22.0,3.0,3.0,0.0,,,,61.0,43.0,7.5,14.0,"{'original': 7.5, 'alternative': None}",,3.0,4.0,3.0,3.0,1.0,,3.0,1.0,,2.0,1.0,,,,,1.0,,1.0,,,,Independiente Santa Fe,home,,,
