name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,dispossessed,totalClearance,interceptionWon,wasFouled,fouls,keyPass,totalContest,wonContest,totalTackle,aerialLost,aerialWon,outfielderBlock,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,shotOffTarget,goals,totalOffside,penaltyWon,captain,team,teamType,penaltyConceded,bigChanceCreated,challengeLost
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,26.0,21.0,10.0,5.0,0.0,2.0,2.0,90.0,34.0,6.5,5.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Jhon Meléndez,jhon-melendez,J. Meléndez,D,5,183.0,24,1174999,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200,"{'value': 330000, 'currency': 'EUR'}",,Jhon Meléndez,,5,False,34.0,19.0,5.0,1.0,0.0,,,90.0,61.0,6.2,22.0,"{'original': 6.2, 'alternative': None}",2.0,4.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Emanuel Olivera,emanuel-olivera,E. Olivera,D,18,180.0,53,129500,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,639014400,"{'value': 470000, 'currency': 'EUR'}",,,,18,False,41.0,38.0,7.0,4.0,0.0,,,76.0,47.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,3.0,,1.0,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,Independiente Santa Fe,home,,,
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,47.0,35.0,10.0,3.0,0.0,,,90.0,54.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",,3.0,2.0,,2.0,,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,Independiente Santa Fe,home,,,
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,28.0,22.0,8.0,3.0,0.0,,,90.0,35.0,6.1,7.0,"{'original': 6.1, 'alternative': None}",1.0,4.0,,,,1.0,,2.0,,,,,2.0,,,,,,,,,,,Independiente Santa Fe,home,,,
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200,"{'value': 1100000, 'currency': 'EUR'}",,Johan Torres,,14,False,37.0,27.0,6.0,4.0,0.0,,,76.0,45.0,6.5,14.0,"{'original': 6.5, 'alternative': None}",1.0,3.0,2.0,,,,1.0,2.0,,1.0,,1.0,,,,,,,,,,,,Independiente Santa Fe,home,,,
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600,"{'value': 380000, 'currency': 'EUR'}",,,,21,False,16.0,12.0,,,0.0,,,76.0,22.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,4.0,1.0,1.0,1.0,,,2.0,,,,1.0,1.0,,1.0,,,,,,,,,Independiente Santa Fe,home,,,
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168.0,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,20.0,15.0,1.0,,0.0,,,90.0,30.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",6.0,4.0,,1.0,,,,2.0,,,,,1.0,,,1.0,1.0,,,,,,,Independiente Santa Fe,home,,,
Omar Fernández,omar-fernandez,O. Fernández,M,8,166.0,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,13.0,11.0,4.0,3.0,0.0,,,45.0,16.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,2.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179.0,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000,"{'value': 670000, 'currency': 'EUR'}",,,,10,False,34.0,33.0,3.0,3.0,0.0,,,85.0,43.0,6.4,7.0,"{'original': 6.4, 'alternative': None}",1.0,5.0,,3.0,,,,,1.0,2.0,,,,,,,1.0,1.0,,,,,,Independiente Santa Fe,home,,,
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,22.0,15.0,1.0,,0.0,,,90.0,30.0,7.0,9.0,"{'original': 7, 'alternative': None}",,6.0,1.0,,,,,2.0,,,,,4.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,True,Independiente Santa Fe,home,,,
Marlon Balanta,marlon-balanta,M. Balanta,F,34,,16,2050159,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1214956800,,,Marlon Balanta,,34,True,12.0,9.0,1.0,1.0,0.0,,,45.0,19.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,1.0,,Independiente Santa Fe,home,,,
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800,"{'value': 425000, 'currency': 'EUR'}",,,,15,True,17.0,13.0,4.0,2.0,0.0,,,14.0,17.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185.0,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,20,True,8.0,5.0,,,0.0,,,14.0,9.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,
