name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,fouls,bigChanceMissed,shotOffTarget,totalClearance,aerialLost,onTargetScoringAttempt,challengeLost,blockedScoringAttempt,wasFouled,bigChanceCreated,goals,totalOffside,captain,team,teamType,savedShotsFromInsideTheBox,saves,outfielderBlock,penaltyConceded
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,19.0,12.0,7.0,1.0,0.0,1.0,1.0,1.0,90.0,24.0,6.4,7.0,1.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,,,
Jhon Meléndez,jhon-melendez,J. Meléndez,D,5,183.0,24,1174999,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200,"{'value': 330000, 'currency': 'EUR'}",,Jhon Meléndez,,5,False,22.0,15.0,3.0,2.0,0.0,,,,45.0,39.0,6.7,11.0,,"{'original': 6.7, 'alternative': None}",3.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,Independiente Santa Fe,home,,,,
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,41.0,37.0,3.0,2.0,0.0,,,,90.0,46.0,6.5,4.0,,"{'original': 6.5, 'alternative': None}",,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,Independiente Santa Fe,home,,,,
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800,"{'value': 425000, 'currency': 'EUR'}",,,,15,False,23.0,20.0,3.0,1.0,0.0,,,,45.0,31.0,6.6,5.0,1.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,1.0,,,4.0,,,,,,,,,,Independiente Santa Fe,home,,,,
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,36.0,30.0,,,0.0,,,,90.0,57.0,7.5,9.0,3.0,"{'original': 7.5, 'alternative': None}",1.0,,,1.0,3.0,,,,1.0,3.0,,,1.0,,1.0,1.0,,,,,,,,Independiente Santa Fe,home,,,,
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200,"{'value': 1100000, 'currency': 'EUR'}",,Johan Torres,,14,False,29.0,24.0,2.0,1.0,0.0,,,,90.0,43.0,6.7,10.0,2.0,"{'original': 6.7, 'alternative': None}",,,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,3.0,,,,,,Independiente Santa Fe,home,,,,
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,False,39.0,35.0,6.0,4.0,0.0,,,,90.0,44.0,6.9,6.0,2.0,"{'original': 6.9, 'alternative': None}",,,2.0,1.0,2.0,,1.0,,,,,,1.0,,,,,,,,,,,Independiente Santa Fe,home,,,,
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600,"{'value': 380000, 'currency': 'EUR'}",,,,21,False,25.0,17.0,2.0,1.0,0.0,,,,57.0,41.0,7.0,14.0,2.0,"{'original': 7, 'alternative': None}",3.0,1.0,,4.0,3.0,,1.0,,,1.0,3.0,,3.0,1.0,,,,2.0,2.0,,,,,Independiente Santa Fe,home,,,,
Yeicar Perlaza,yeicar-perlaza,Y. Perlaza,D,27,180.0,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400,,,Yaicar Perlaza,,27,False,15.0,10.0,,,0.0,,,,70.0,22.0,7.1,8.0,3.0,"{'original': 7.1, 'alternative': None}",3.0,2.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,Independiente Santa Fe,home,,,,
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,916,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,20.0,12.0,1.0,1.0,0.0,,,,90.0,30.0,7.9,10.0,1.0,"{'original': 7.9, 'alternative': None}",,,2.0,,3.0,,,,,,,,2.0,,,2.0,,2.0,1.0,1.0,1.0,1.0,True,Independiente Santa Fe,home,,,,
