name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wasFouled,fouls,dispossessed,outfielderBlock,penaltyConceded,shotOffTarget,accurateCross,keyPass,blockedScoringAttempt,totalOffside,onTargetScoringAttempt,goals,bigChanceCreated,captain,team,teamType,fieldTranslations,penaltyWon
Kevin Armesto,Kevin Armesto,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600.0,"{'value': 290000, 'currency': 'EUR'}",,1,False,36.0,24.0,20.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,90.0,44.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,
Anderson Mojica,,anderson-mojica,A. Mojica,D,4,176.0,5,974190,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,900633600.0,"{'value': 24000, 'currency': 'EUR'}",,4,False,28.0,22.0,7.0,4.0,0.0,1.0,4.0,2.0,,,,,,90.0,50.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,Llaneros FC,home,,
Jan Ángulo,Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",,20,False,37.0,30.0,7.0,3.0,0.0,2.0,4.0,2.0,,,,,,90.0,47.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,,3.0,,,,,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,Llaneros FC,home,,
Cristian Valencia,,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800.0,"{'value': 48000, 'currency': 'EUR'}",,15,False,33.0,30.0,4.0,2.0,0.0,1.0,1.0,3.0,,,,,,90.0,40.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,1.0,2.0,1.0,,,1.0,,,,,,,2.0,,,,,,,,,Llaneros FC,home,,
Jhildrey Lasso,Jhildrey Lasso,jhildrey-lasso,J. Lasso,D,11,173.0,13,1478224,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800.0,"{'value': 145000, 'currency': 'EUR'}",,33,False,29.0,25.0,4.0,4.0,1.0,2.0,3.0,1.0,,,,,,90.0,46.0,7.1,8.0,"{'original': 7.1, 'alternative': None}",4.0,1.0,3.0,1.0,,,1.0,1.0,,1.0,,,,,2.0,1.0,,,,,,,Llaneros FC,home,,
Eyder Restrepo,,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600.0,"{'value': 265000, 'currency': 'EUR'}",,5,False,38.0,35.0,6.0,5.0,0.0,,2.0,2.0,,,,,,81.0,44.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,1.0,4.0,,1.0,,,2.0,,2.0,,,,,,,,,,,,,Llaneros FC,home,,
Brandon Churi,Brandon Churi,brandon-churi,B. Churi,M,19,175.0,8,2022043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1109808000.0,,,19,False,16.0,11.0,1.0,,0.0,,,1.0,,,,,,70.0,33.0,6.4,18.0,"{'original': 6.4, 'alternative': None}",5.0,1.0,8.0,,2.0,,1.0,,,2.0,3.0,,,,,2.0,1.0,1.0,,,,,Llaneros FC,home,,
Carlos Sierra,,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800.0,"{'value': 280000, 'currency': 'EUR'}",,14,False,19.0,15.0,1.0,1.0,0.0,1.0,5.0,1.0,,,,,,70.0,31.0,7.8,7.0,"{'original': 7.8, 'alternative': None}",1.0,,1.0,,1.0,1.0,,1.0,2.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,,Llaneros FC,home,,
Andrés López,,andres-lopez,A. López,M,8,177.0,8,1465554,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1046044800.0,"{'value': 145000, 'currency': 'EUR'}",,8,False,32.0,26.0,6.0,3.0,0.0,,1.0,,,,,,,59.0,39.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,,3.0,,,,,1.0,,1.0,2.0,,,,,,,,,,,,Llaneros FC,home,,
Bryan Urueña,,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",,10,False,36.0,32.0,4.0,4.0,0.0,1.0,1.0,,,,,,,90.0,47.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",6.0,,1.0,,,,,,,,1.0,,,1.0,1.0,1.0,,,1.0,1.0,,True,Llaneros FC,home,,
