name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,bigChanceCreated,outfielderBlock,interceptionWon,fouls,keyPass,aerialWon,totalTackle,totalContest,wonContest,shotOffTarget,blockedScoringAttempt,onTargetScoringAttempt,goals,challengeLost,dispossessed,bigChanceMissed,totalOffside,captain,team,teamType
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189.0,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800.0,"{'value': 1400000, 'currency': 'EUR'}",,22,False,27.0,15.0,14.0,4.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,90.0,35.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170.0,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600.0,"{'value': 535000, 'currency': 'EUR'}",,26,False,42.0,32.0,5.0,3.0,1.0,,3.0,,,,,90.0,61.0,7.8,13.0,"{'original': 7.8, 'alternative': None}",3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,Deportes Tolima,home
Jhon Quiñónes,Jhon Quiñónes,,jhon-quinones,J. Quiñónes,D,4,188.0,13,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600.0,,,4,False,33.0,28.0,2.0,2.0,0.0,3.0,2.0,,,,,90.0,40.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,,1.0,1.0,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,Deportes Tolima,home
Anderson Angulo,,,anderson-angulo,A. Angulo,D,2,187.0,25,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800.0,"{'value': 570000, 'currency': 'EUR'}",,2,False,52.0,46.0,10.0,6.0,0.0,4.0,2.0,2.0,,,,90.0,60.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",,,,,,,2.0,,1.0,2.0,,,,,,,,,,,,,Deportes Tolima,home
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174.0,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400.0,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,False,40.0,31.0,5.0,4.0,0.0,4.0,,1.0,,,,90.0,59.0,7.6,13.0,"{'original': 7.6, 'alternative': None}",1.0,,,2.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,Deportes Tolima,home
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400.0,"{'value': 470000, 'currency': 'EUR'}",,15,False,35.0,29.0,2.0,1.0,0.0,1.0,1.0,,,,,69.0,43.0,7.5,8.0,"{'original': 7.5, 'alternative': None}",1.0,,,,,,,,,,1.0,,,1.0,,1.0,1.0,,,,,True,Deportes Tolima,home
Brayan Rovira,,,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800.0,"{'value': 640000, 'currency': 'EUR'}",,80,False,63.0,57.0,4.0,4.0,0.0,3.0,,2.0,,,,90.0,73.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",3.0,1.0,,4.0,,,,,,,,2.0,1.0,1.0,,,,2.0,1.0,,,,Deportes Tolima,home
Ever Valencia,,,ever-valencia,E. Valencia,M,8,175.0,55,819152,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853977600.0,"{'value': 410000, 'currency': 'EUR'}",,16,False,28.0,25.0,1.0,1.0,0.0,2.0,,1.0,,,,61.0,36.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,1.0,3.0,,,,1.0,1.0,1.0,,,,2.0,,,,,1.0,,,,Deportes Tolima,home
Andrés Arroyo,,,andres-arroyo,A. Arroyo,M,25,171.0,136,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800.0,"{'value': 370000, 'currency': 'EUR'}",,25,False,26.0,25.0,,,0.0,2.0,,1.0,,,,61.0,32.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,2.0,5.0,,,,1.0,,1.0,,,,,,,,,2.0,,,,Deportes Tolima,home
Alex Castro,,,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800.0,"{'value': 535000, 'currency': 'EUR'}",,23,False,13.0,10.0,,,0.0,3.0,,,,,,45.0,18.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",1.0,,2.0,4.0,,,,,,2.0,1.0,,,,,,,,2.0,,,,Deportes Tolima,home
