name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,totalContest,interceptionWon,totalTackle,fouls,keyPass,outfielderBlock,totalOffside,blockedScoringAttempt,challengeLost,wonContest,wasFouled,shotOffTarget,dispossessed,onTargetScoringAttempt,goals,captain,team,teamType,hitWoodwork
James Aguirre,james-aguirre,J. Aguirre,G,12,181.0,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400.0,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,28.0,18.0,15.0,6.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,90.0,44.0,8.1,10.0,"{'original': 8.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Once Caldas,home,
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174.0,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400.0,"{'value': 630000, 'currency': 'EUR'}",Juan David Cuesta,,,22,False,37.0,28.0,7.0,5.0,0.0,1.0,3.0,2.0,,,,,90.0,61.0,7.1,14.0,"{'original': 7.1, 'alternative': None}",4.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,Once Caldas,home,
Juan Castaño,castano-zuluaga-juan-felipe,J. Castaño,D,15,181.0,20,1653077,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904348800.0,"{'value': 235000, 'currency': 'EUR'}",,,,15,False,36.0,29.0,6.0,,0.0,1.0,3.0,6.0,,,,,90.0,51.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,3.0,4.0,,2.0,2.0,1.0,,1.0,1.0,,,,,,,,,,Once Caldas,home,
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,44.0,35.0,11.0,5.0,0.0,,1.0,4.0,,,,,90.0,58.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",,,,1.0,,4.0,1.0,1.0,,1.0,,1.0,,,,,,,,,Once Caldas,home,
Juan Patiño,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600.0,"{'value': 605000, 'currency': 'EUR'}",,,,33,False,35.0,29.0,4.0,,0.0,,3.0,2.0,,,,,90.0,54.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",4.0,,1.0,3.0,1.0,3.0,,1.0,,,1.0,,1.0,1.0,2.0,,,,,,Once Caldas,home,
Mateo García,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400.0,"{'value': 955000, 'currency': 'EUR'}",,,,19,False,53.0,48.0,9.0,6.0,0.0,1.0,2.0,,,,,,59.0,55.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,,,,,1.0,,1.0,,,,,,,1.0,,,,,Once Caldas,home,
Alejandro García,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400.0,"{'value': 835000, 'currency': 'EUR'}",,,,20,False,22.0,16.0,1.0,1.0,0.0,,1.0,,,,,,68.0,34.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",1.0,,,4.0,1.0,,,1.0,,,,2.0,,,1.0,,2.0,1.0,,,Once Caldas,home,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176.0,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000.0,"{'value': 570000, 'currency': 'EUR'}",Jefry Zapata,,,14,False,17.0,14.0,,,0.0,,3.0,,,,,,45.0,31.0,7.8,5.0,"{'original': 7.8, 'alternative': None}",5.0,3.0,,2.0,2.0,1.0,1.0,2.0,2.0,,1.0,,,2.0,,1.0,,1.0,1.0,,Once Caldas,home,
Manuel Arteaga,manuel-arteaga,M. Arteaga,M,31,167.0,15,922464,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919987200.0,"{'value': 205000, 'currency': 'EUR'}",,,,31,False,23.0,20.0,3.0,,0.0,,1.0,1.0,,,,,59.0,33.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,1.0,4.0,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,Once Caldas,home,
Michael Barrios,michael-barrios,M. Barrios,M,7,163.0,232,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000.0,"{'value': 570000, 'currency': 'EUR'}",,,,7,False,27.0,22.0,,,0.0,,3.0,,,,,,78.0,35.0,7.0,7.0,"{'original': 7, 'alternative': None}",1.0,,1.0,2.0,1.0,,2.0,,1.0,,,,,,1.0,1.0,,,,,Once Caldas,home,
Dayro Moreno,dayro-moreno,D. Moreno,F,17,178.0,1671,31715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,495676800.0,"{'value': 95000, 'currency': 'EUR'}",,,,17,False,13.0,11.0,2.0,2.0,0.0,,1.0,,,,,,90.0,20.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,3.0,4.0,,,1.0,1.0,2.0,,1.0,,,,,,,1.0,,True,Once Caldas,home,
Luis Palacios,palacios-luis,L. Palacios,M,24,181.0,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800.0,"{'value': 370000, 'currency': 'EUR'}",,,,24,True,13.0,12.0,1.0,1.0,0.0,3.0,5.0,,,,,,45.0,22.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,4.0,2.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,Once Caldas,home,
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000.0,"{'value': 405000, 'currency': 'EUR'}",Mateo,Zuleta,,28,True,20.0,16.0,1.0,,0.0,,2.0,,,,,,31.0,28.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,,,3.0,2.0,,2.0,,1.0,,,,1.0,,,,,,,,Once Caldas,home,
Iván Rojas,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 670000, 'currency': 'EUR'}",,,,5,True,8.0,6.0,,,0.0,,1.0,2.0,,,,,31.0,13.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,1.0,1.0,,,,,,,,,,,,,Once Caldas,home,
Mateo Rodas,mateo-rodas,M. Rodas,D,4,186.0,14,869998,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884476800.0,"{'value': 235000, 'currency': 'EUR'}",,,,4,True,7.0,6.0,2.0,1.0,0.0,,3.0,1.0,,,,,22.0,12.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,,1.0,,,3.0,1.0,,,,,,,,,,,,,Once Caldas,home,
Joel Contreras,contreras-joel,J. Contreras,F,16,165.0,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800.0,"{'value': 310000, 'currency': 'EUR'}",,,,16,True,7.0,5.0,,,0.0,,,,,,,,12.0,12.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,Once Caldas,home,
Felipe Parra,felipe-parra,F. Parra,G,35,186.0,47,1017365,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960595200.0,"{'value': 410000, 'currency': 'EUR'}",,,,35,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,
Gilbert Álvarez,gilbert-alvarez,G. Álvarez,F,9,187.0,185,805363,"{'alpha2': 'BO', 'alpha3': 'BOL', 'name': 'Bolivia', 'slug': 'bolivia'}",EUR,702604800.0,"{'value': 235000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'hi': 'जी. अल्वारेज़', 'bn': 'জি. আলভারেজ'}}",9,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,
Roameth Romaña,roameth-romana,R. Romaña,G,22,180.0,4,1175030,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,852681600.0,"{'value': 27000, 'currency': 'EUR'}",Roameth Romaña,,,22,False,26.0,20.0,12.0,6.0,0.0,,,1.0,1.0,3.0,4.0,,90.0,38.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,
