name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,interceptionWon,totalTackle,keyPass,challengeLost,outfielderBlock,ownGoals,wasFouled,accurateCross,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,fouls,dispossessed,goals,totalOffside,captain,team,teamType,errorLeadToAGoal,goodHighClaim,savedShotsFromInsideTheBox
Wuilker Faríñez,wuilker-farinez,W. Faríñez,G,1,181.0,1185,796930,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,887500800,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'و. فارينيز', 'hi': 'डब्लू. फ़रीनेज़', 'bn': 'ডব্লিউ. ফারিনজ'}}",,,1,False,16.0,7.0,14.0,5.0,0.0,4.0,1.0,1.0,1.0,1.0,90.0,22.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,52,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 620000, 'currency': 'EUR'}",,,,16,False,44.0,34.0,12.0,6.0,0.0,6.0,,,,,90.0,71.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",2.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600,"{'value': 245000, 'currency': 'EUR'}",,,,2,False,34.0,28.0,8.0,4.0,0.0,7.0,,,,,90.0,43.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,3.0,1.0,3.0,2.0,,,1.0,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400,"{'value': 370000, 'currency': 'EUR'}",,,,5,False,38.0,30.0,10.0,4.0,0.0,6.0,,,,,90.0,51.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,,3.0,1.0,5.0,,1.0,2.0,,1.0,2.0,1.0,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000,,,,,32,False,29.0,23.0,3.0,1.0,0.0,,,,,,90.0,46.0,7.0,11.0,"{'original': 7, 'alternative': None}",3.0,,1.0,,5.0,,,3.0,,,1.0,,1.0,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Fredy Salazar,fredy-salazar,F. Salazar,F,20,178.0,87,822092,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796694400,"{'value': 855000, 'currency': 'EUR'}",,,,20,False,40.0,27.0,5.0,1.0,0.0,1.0,,,,,90.0,71.0,8.0,21.0,"{'original': 8, 'alternative': None}",8.0,1.0,2.0,4.0,10.0,1.0,,5.0,1.0,1.0,,,2.0,3.0,2.0,1.0,2.0,2.0,1.0,,,,,Rionegro Águilas Doradas,home,,,
Harrinson Mancilla,harrinson-mancilla,H. Mancilla,M,27,174.0,27,869952,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693360000,"{'value': 49000, 'currency': 'EUR'}",,,,27,False,49.0,39.0,6.0,3.0,0.0,6.0,,,,,90.0,64.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",,,3.0,2.0,7.0,,1.0,3.0,2.0,,,,,,2.0,1.0,,,1.0,,,,,Rionegro Águilas Doradas,home,,,
Guillermo Celis,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200,"{'value': 470000, 'currency': 'EUR'}",,,,28,False,33.0,27.0,5.0,1.0,0.0,,,,,,83.0,40.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",,,1.0,4.0,3.0,,,1.0,,,1.0,,1.0,,,,1.0,,3.0,1.0,,,True,Rionegro Águilas Doradas,home,,,
Johan Caballero,johan-caballero,J. Caballero,F,23,185.0,31,925252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895190400,"{'value': 340000, 'currency': 'EUR'}",,,,23,False,35.0,27.0,3.0,,0.0,1.0,,,,,75.0,57.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",4.0,1.0,,3.0,1.0,2.0,2.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,Rionegro Águilas Doradas,home,,,
Yony González,yony-gonzalez,Y. González,F,11,182.0,356,351432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 545000, 'currency': 'EUR'}",,,,11,False,33.0,28.0,,,0.0,,,,,,65.0,46.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",3.0,1.0,3.0,3.0,5.0,1.0,,,3.0,,,,2.0,,,,,1.0,3.0,,,,,Rionegro Águilas Doradas,home,,,
Wilson Morelo,wilson-morelo,W. Morelo,F,19,170.0,128,47286,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,548553600,"{'value': 53000, 'currency': 'EUR'}",,,,19,False,9.0,8.0,,,0.0,,,,,,82.0,17.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,1.0,,2.0,,,1.0,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,Rionegro Águilas Doradas,home,,,
Royner Benitez,benitez-royner,R. Benitez,M,90,173.0,75,1466673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1119312000,"{'value': 53000, 'currency': 'EUR'}",,Royner Benitez,,90,True,9.0,6.0,,,0.0,,,,,,25.0,15.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,1.0,1.0,4.0,2.0,,,,,,,,1.0,,2.0,,2.0,,1.0,1.0,,,,Rionegro Águilas Doradas,home,,,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",,Jhojan Escobar,,6,True,6.0,5.0,,,0.0,,,,,,15.0,9.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",1.0,,,2.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,Rionegro Águilas Doradas,home,,,
Cristian Borja,borja-cristian,C. Martínez,F,,184.0,115,312194,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,567993600,"{'value': 105000, 'currency': 'EUR'}",,,,17,True,3.0,3.0,,,0.0,,,,,,8.0,4.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,1.0,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Auli Oliveros,auli-oliveros,A. Oliveros,M,33,175.0,43,1015631,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996624000,"{'value': 230000, 'currency': 'EUR'}",,,,33,True,7.0,4.0,5.0,2.0,0.0,,,,,,12.0,11.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Sebastián Guerra,sebastian-guerra,S. Guerra,G,34,183.0,33,931709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,978912000,"{'value': 52000, 'currency': 'EUR'}",,,,34,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Nicolás Lara,nicolas-lara,N. Lara,D,30,184.0,16,1173828,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1045958400,"{'value': 160000, 'currency': 'EUR'}",,Nicolás Lara,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Tomás Salazar,tomas-salazar,T. Salazar,M,8,178.0,8,979933,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,960508800,"{'value': 52000, 'currency': 'EUR'}",,,,8,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,
Kevin Armesto,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600,"{'value': 290000, 'currency': 'EUR'}",,Kevin Armesto,,1,False,31.0,18.0,20.0,7.0,0.0,3.0,6.0,1.0,1.0,1.0,90.0,46.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,away,1.0,1.0,3.0
Geovan Montes,geovan-montes,G. Montes,D,31,178.0,6,821735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823046400,"{'value': 285000, 'currency': 'EUR'}",,,,31,False,18.0,15.0,3.0,3.0,0.0,4.0,,,,,90.0,32.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",2.0,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,Llaneros FC,away,,,
Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200,"{'value': 260000, 'currency': 'EUR'}",,Jan Ángulo,,20,False,38.0,25.0,8.0,4.0,0.0,6.0,,,,,90.0,46.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",,1.0,2.0,1.0,4.0,,,1.0,,,,,1.0,,,,,,,,,,,Llaneros FC,away,,,
Cristian Valencia,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800,"{'value': 48000, 'currency': 'EUR'}",,,,15,False,53.0,40.0,10.0,2.0,0.0,4.0,,,,,90.0,67.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",,4.0,2.0,4.0,2.0,1.0,4.0,,,,1.0,,,,,,,,,,,,,Llaneros FC,away,,,
Jhildrey Lasso,jhildrey-lasso,J. Lasso,D,11,173.0,13,1478224,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800,"{'value': 145000, 'currency': 'EUR'}",,Jhildrey Lasso,,33,False,38.0,32.0,3.0,1.0,0.0,,,,,,90.0,68.0,7.1,16.0,"{'original': 7.1, 'alternative': None}",6.0,1.0,1.0,4.0,2.0,1.0,4.0,1.0,,1.0,,,,2.0,1.0,,1.0,1.0,1.0,,,,,Llaneros FC,away,,,
Carlos Sierra,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800,"{'value': 280000, 'currency': 'EUR'}",,,,14,False,26.0,19.0,4.0,1.0,0.0,1.0,,,,,84.0,35.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",,1.0,1.0,2.0,3.0,,1.0,1.0,,,1.0,,1.0,,,,,2.0,1.0,,,,,Llaneros FC,away,,,
Eyder Restrepo,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600,"{'value': 265000, 'currency': 'EUR'}",,,,5,False,43.0,37.0,7.0,6.0,0.0,1.0,,,,,90.0,59.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,2.0,1.0,6.0,6.0,,1.0,2.0,1.0,,1.0,,2.0,,3.0,1.0,,,1.0,1.0,,,,Llaneros FC,away,,,
