name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,duelWon,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,duelLost,dispossessed,totalContest,wonContest,totalClearance,outfielderBlock,totalTackle,fouls,aerialLost,shotOffTarget,interceptionWon,aerialWon,challengeLost,hitWoodwork,totalOffside,accurateCross,keyPass,bigChanceCreated,onTargetScoringAttempt,blockedScoringAttempt,bigChanceMissed,captain,team,teamType
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,588,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,31,False,17.0,11.0,6.0,0.0,1.0,1.0,1.0,1.0,2.0,90.0,31.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181.0,420,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,13,False,26.0,21.0,2.0,0.0,3.0,,,,,90.0,50.0,6.9,16.0,"{'original': 6.9, 'alternative': None}",1.0,5.0,5.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,Millonarios,home
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,287,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,False,46.0,38.0,6.0,0.0,1.0,,,,,90.0,55.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,2.0,,,,1.0,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,Millonarios,home
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,48.0,38.0,16.0,0.0,,,,,,90.0,56.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",8.0,,2.0,,,,6.0,,,1.0,1.0,,1.0,,,,,,,,,,,,Millonarios,home
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,49.0,37.0,9.0,0.0,3.0,1.0,,,,90.0,71.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",4.0,,7.0,,,,2.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,Millonarios,home
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1050,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,False,31.0,18.0,7.0,0.0,3.0,2.0,,,,90.0,51.0,6.8,21.0,"{'original': 6.8, 'alternative': None}",2.0,6.0,5.0,1.0,2.0,,,,1.0,,,1.0,1.0,,2.0,,,3.0,3.0,,,,,,Millonarios,home
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,100,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,36.0,31.0,6.0,0.0,4.0,1.0,,,,90.0,45.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",4.0,,2.0,,2.0,1.0,,1.0,2.0,1.0,,,,,,,,,1.0,1.0,,,,,Millonarios,home
Dewar Victoria,dewar-victoria,D. Victoria,M,8,176.0,50,1164480,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,984960000,"{'value': 290000, 'currency': 'EUR'}",,Dewar Victoria,,8,False,34.0,31.0,4.0,0.0,3.0,2.0,,,,90.0,45.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",4.0,,4.0,,,,1.0,,1.0,3.0,,,1.0,,1.0,,,,1.0,,1.0,,,,Millonarios,home
Néyser Villarreal,neyser-villareal,N. Villarreal,F,88,186.0,1056,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800,"{'value': 1200000, 'currency': 'EUR'}",,Néyser Villarreal,,88,False,10.0,7.0,,0.0,2.0,1.0,,,,45.0,18.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,Millonarios,home
Radamel Falcao,radamel-falcao,R. Falcao,F,9,177.0,12730,25682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,508377600,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. فالكاو', 'hi': 'आर. फाल्काओ', 'bn': 'আর. ফ্যালকাও'}}",,,9,False,7.0,6.0,,0.0,2.0,1.0,,,,75.0,16.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,,,,,,,,1.0,,,2.0,,,,,2.0,,True,Millonarios,home
