name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,goalAssist,duelLost,fouls,saves,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalLongBalls,accurateLongBalls,totalCross,duelWon,dispossessed,totalContest,wonContest,blockedScoringAttempt,totalOffside,aerialLost,challengeLost,shotOffTarget,interceptionWon,totalTackle,aerialWon,totalClearance,wasFouled,accurateCross,outfielderBlock,onTargetScoringAttempt,penaltyConceded,goals,hitWoodwork,captain,team,teamType,savedShotsFromInsideTheBox,penaltyWon,bigChanceCreated
Iván Arboleda,ivan-arboleda,I. Arboleda,G,1,183.0,251,796095,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830044800.0,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. أربوليدا', 'hi': 'आई. अर्बोलेडा', 'bn': 'আই. আরবোলেদা'}}",,,1,False,8.0,7.0,0.0,1.0,1.0,1.0,90.0,12.0,6.4,1.0,1.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,
Sander Navarro,navarro-sander,S. Navarro,D,34,,72,1512475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1058832000.0,"{'value': 370000, 'currency': 'EUR'}",,,,34,False,15.0,11.0,0.0,1.0,,,45.0,19.0,6.3,6.0,,"{'original': 6.3, 'alternative': None}",2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,Millonarios,home,,,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000.0,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,False,32.0,25.0,0.0,3.0,,,90.0,39.0,6.5,7.0,1.0,"{'original': 6.5, 'alternative': None}",5.0,1.0,,2.0,,,,,,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,Millonarios,home,,,
Jorge Arias,jorge-arias,J. Arias,D,17,184.0,98,355842,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,721612800.0,"{'value': 370000, 'currency': 'EUR'}",,,,17,False,57.0,47.0,0.0,1.0,,,90.0,68.0,7.2,12.0,3.0,"{'original': 7.2, 'alternative': None}",12.0,6.0,,10.0,1.0,,,1.0,,,,1.0,,,7.0,3.0,3.0,,,,,,,,Millonarios,home,,,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600.0,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,61.0,49.0,2.0,3.0,1.0,,90.0,85.0,7.6,18.0,2.0,"{'original': 7.6, 'alternative': None}",6.0,2.0,5.0,1.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,2.0,1.0,,,,,,Millonarios,home,,,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600.0,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,46.0,42.0,0.0,1.0,,,66.0,55.0,7.3,5.0,2.0,"{'original': 7.3, 'alternative': None}",3.0,3.0,1.0,2.0,,1.0,1.0,,,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,Millonarios,home,,,
Juan Pereira,juan-pereira,J. Pereira,M,21,182.0,102,974041,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729129600.0,"{'value': 470000, 'currency': 'EUR'}",,,,21,False,6.0,5.0,0.0,2.0,1.0,,23.0,8.0,5.0,3.0,,"{'original': 5, 'alternative': None}",1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,Millonarios,home,,,
Kevin Palacios,kevin-palacios,K. Palacios,M,77,173.0,96,1131653,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949276800.0,"{'value': 375000, 'currency': 'EUR'}",,Kevin Palacios,,77,False,43.0,35.0,0.0,,,,90.0,58.0,8.3,13.0,5.0,"{'original': 8.3, 'alternative': None}",2.0,2.0,2.0,4.0,,2.0,2.0,1.0,,,,1.0,1.0,2.0,,,,,,1.0,,1.0,,,Millonarios,home,,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200.0,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,False,52.0,39.0,0.0,2.0,,,90.0,94.0,8.9,31.0,5.0,"{'original': 8.9, 'alternative': None}",3.0,,17.0,7.0,2.0,3.0,3.0,3.0,,,,,,3.0,,,1.0,5.0,,3.0,,1.0,,,Millonarios,home,,,
Radamel Falcao,radamel-falcao,R. Falcao,F,9,177.0,12659,25682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,508377600.0,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. فالكاو', 'hi': 'आर. फाल्काओ', 'bn': 'আর. ফ্যালকাও'}}",,,9,False,14.0,12.0,0.0,5.0,2.0,,84.0,27.0,7.4,9.0,,"{'original': 7.4, 'alternative': None}",2.0,2.0,1.0,1.0,2.0,,,2.0,2.0,,1.0,3.0,,,1.0,,,,,1.0,,1.0,1.0,True,Millonarios,home,,,
Néyser Villarreal,neyser-villareal,N. Villarreal,F,88,186.0,1053,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800.0,"{'value': 1200000, 'currency': 'EUR'}",,Néyser Villarreal,,88,False,20.0,16.0,0.0,,1.0,,67.0,31.0,7.2,8.0,3.0,"{'original': 7.2, 'alternative': None}",,,1.0,3.0,,2.0,2.0,3.0,,,,2.0,,,1.0,,,,,,,,,,Millonarios,home,,,
Stiven Vega,stiven-vega,S. Vega,M,28,175.0,125,590354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895795200.0,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. فيغا', 'hi': 'एस. वेगा', 'bn': 'এস. ভেগা'}}",,,28,True,66.0,57.0,1.0,2.0,2.0,,67.0,73.0,7.7,11.0,2.0,"{'original': 7.7, 'alternative': None}",4.0,3.0,2.0,6.0,,1.0,1.0,,,1.0,,,,3.0,1.0,,1.0,,,,,,,,Millonarios,home,,,
Helibelton Palacios,helibelton-palacios,H. Palacios,D,28,181.0,419,329597,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,739584000.0,"{'value': 635000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'هيبيلتون بالاسيوس', 'hi': 'हेलीबेल्टन पालासिओस', 'bn': 'হেলিবেল্টন পালাসিওস'}}",,,13,True,28.0,28.0,0.0,4.0,2.0,,45.0,35.0,7.0,3.0,1.0,"{'original': 7, 'alternative': None}",,,1.0,2.0,1.0,,,,,1.0,,,,,,,2.0,,,,,,,,Millonarios,home,,,
Daniel Cataño,daniel-catano,D. Cataño,M,10,174.0,259,829884,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,695606400.0,"{'value': 415000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. كاتانيو', 'hi': 'डी. कैटानो', 'bn': 'ডি. কাটানো'}}",,,10,True,24.0,20.0,0.0,,,,24.0,31.0,8.0,6.0,1.0,"{'original': 8, 'alternative': None}",2.0,2.0,2.0,1.0,,1.0,1.0,,,,,2.0,,,,,,,,2.0,,1.0,,,Millonarios,home,,,
Luis Marimón,luis-marimon,L. Marimón,F,43,,116,1835656,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079568000.0,,,Luis Marimón,,43,True,4.0,2.0,0.0,,,,23.0,8.0,6.9,3.0,,"{'original': 6.9, 'alternative': None}",,,,2.0,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,Millonarios,home,,,
Jader Valencia,jader-valencia,J. Valencia,M,16,188.0,141,886565,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942624000.0,"{'value': 420000, 'currency': 'EUR'}",,,,16,True,5.0,4.0,0.0,,,,15.0,7.0,6.6,2.0,,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,Millonarios,home,,,
Diego Novoa,diego-novoa,D. Novoa,G,12,186.0,65,248983,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612576000.0,"{'value': 185000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. نوفوا', 'hi': 'डी. नोवोआ', 'bn': 'ডি. নোভোয়া'}}",,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000.0,"{'value': 405000, 'currency': 'EUR'}",,,,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Millonarios,home,,,
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600.0,"{'value': 105000, 'currency': 'EUR'}",,,,23,False,27.0,5.0,0.0,,,5.0,90.0,34.0,5.7,22.0,,"{'original': 5.7, 'alternative': None}",26.0,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,Boyacá Chicó FC,away,3.0,,
José Ampudia,jose-ampudia,J. Ampudia,D,17,175.0,1,1065364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,954288000.0,"{'value': 52000, 'currency': 'EUR'}",,José Ampudia,,17,False,17.0,11.0,0.0,1.0,,,90.0,36.0,6.2,14.0,,"{'original': 6.2, 'alternative': None}",3.0,1.0,1.0,3.0,,1.0,1.0,,,,1.0,,,,,2.0,2.0,,2.0,,,,,,Boyacá Chicó FC,away,,,
Elian Peralta,elian-peralta,E. Peralta,D,4,,3,1066612,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981590400.0,,,Elian Peralta,,4,False,9.0,3.0,0.0,2.0,,,90.0,33.0,6.9,8.0,,"{'original': 6.9, 'alternative': None}",3.0,,,2.0,,1.0,,,,1.0,,,2.0,1.0,,9.0,1.0,,5.0,,,,,,Boyacá Chicó FC,away,,,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600.0,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,20.0,14.0,0.0,6.0,2.0,,90.0,43.0,6.7,11.0,2.0,"{'original': 6.7, 'alternative': None}",3.0,,,4.0,2.0,,,,,,2.0,,1.0,2.0,1.0,14.0,1.0,,,,,,,True,Boyacá Chicó FC,away,,1.0,
Arlen Banguero,arlen-banguero,A. Banguero,D,26,,3,2035889,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,953856000.0,,,Arlen Banguero,,26,False,11.0,6.0,0.0,4.0,1.0,,90.0,27.0,5.7,10.0,,"{'original': 5.7, 'alternative': None}",3.0,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,9.0,,,,,,,,,Boyacá Chicó FC,away,,,
Juan Quiceno,juan-quiceno,J. Quiceno,M,3,,2,1845285,{},EUR,,,,Juan Quiceno,,3,False,18.0,11.0,1.0,4.0,,,88.0,36.0,6.9,11.0,1.0,"{'original': 6.9, 'alternative': None}",7.0,3.0,,3.0,,1.0,,,,1.0,2.0,1.0,1.0,3.0,,,,,1.0,,,,1.0,,Boyacá Chicó FC,away,,,1.0
Edgard Camargo,edgard-camargo,E. Camargo,M,28,181.0,29,1108692,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010102400.0,"{'value': 140000, 'currency': 'EUR'}",,Edgard Camargo,,28,False,22.0,18.0,0.0,2.0,1.0,,88.0,32.0,6.3,8.0,,"{'original': 6.3, 'alternative': None}",2.0,1.0,,3.0,2.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,Boyacá Chicó FC,away,,,
Sebastian Salazar,sebastian-salazar,S. Salazar,M,8,180.0,8,789908,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812419200.0,"{'value': 215000, 'currency': 'EUR'}",,,,8,False,18.0,15.0,0.0,3.0,,,59.0,26.0,6.6,5.0,,"{'original': 6.6, 'alternative': None}",2.0,,,1.0,1.0,,,,,,2.0,,,,,2.0,1.0,,2.0,1.0,,,,,Boyacá Chicó FC,away,,,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800.0,"{'value': 440000, 'currency': 'EUR'}",,Kevin Londoño,,27,False,21.0,18.0,0.0,2.0,,,59.0,28.0,6.3,6.0,,"{'original': 6.3, 'alternative': None}",2.0,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,Boyacá Chicó FC,away,,,
Jairo Molina,jairo-molina,J. Molina,F,9,183.0,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 49000, 'currency': 'EUR'}",,,,9,False,9.0,7.0,0.0,5.0,1.0,,84.0,16.0,8.0,4.0,,"{'original': 8, 'alternative': None}",1.0,1.0,,1.0,,,,,1.0,4.0,,1.0,,,,1.0,1.0,,,2.0,,2.0,,,Boyacá Chicó FC,away,,,
