name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,dispossessed,shotOffTarget,outfielderBlock,interceptionWon,aerialWon,totalTackle,fouls,aerialLost,bigChanceCreated,bigChanceMissed,totalOffside,keyPass,onTargetScoringAttempt,challengeLost,captain,team,teamType,fieldTranslations,punches,totalContest,blockedScoringAttempt,wonContest,hitWoodwork,goals
Diego Martínez,diego-martinez,D. Martínez,G,1,180.0,7,819196,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,628300800,"{'value': 210000, 'currency': 'EUR'}",,,1,False,31.0,22.0,11.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,90.0,36.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,True,Deportivo Pasto,home,,,,,,,
Israel Alba,israel-alba,I. Alba,D,22,175.0,19,822106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799718400,"{'value': 430000, 'currency': 'EUR'}",,,22,False,29.0,19.0,6.0,2.0,0.0,1.0,1.0,1.0,,,73.0,48.0,6.7,18.0,"{'original': 6.7, 'alternative': None}",7.0,1.0,2.0,2.0,3.0,1.0,1.0,,,,,,,,,,,,Deportivo Pasto,home,,,,,,,
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,Andrés Alarcón,,24,False,50.0,45.0,8.0,4.0,0.0,5.0,2.0,1.0,,,90.0,57.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,,,,1.0,,2.0,2.0,,,,,,,,,,Deportivo Pasto,home,,,,,,,
Luis Caicedo,luis-caicedo,L. Caicedo,D,4,185.0,54,339963,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,705542400,"{'value': 215000, 'currency': 'EUR'}",,,4,False,44.0,39.0,5.0,3.0,0.0,1.0,4.0,,,,90.0,53.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",1.0,,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,Deportivo Pasto,home,,,,,,,
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",Joyce Ossa,,23,False,49.0,43.0,5.0,2.0,0.0,3.0,3.0,1.0,,,90.0,57.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,1.0,,,,,,2.0,1.0,,,,,,,,,Deportivo Pasto,home,,,,,,,
Edwin Velasco,edwin-velasco,E. Velasco,D,21,178.0,47,358144,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,689299200,"{'value': 265000, 'currency': 'EUR'}",,,21,False,32.0,22.0,2.0,1.0,0.0,1.0,1.0,1.0,,,82.0,45.0,6.1,14.0,"{'original': 6.1, 'alternative': None}",2.0,,2.0,,,,,,,2.0,,,,,,,,,Deportivo Pasto,home,,,,,,,
Facundo Boné,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000,"{'value': 280000, 'currency': 'EUR'}",,,77,False,15.0,15.0,1.0,1.0,0.0,3.0,,3.0,,,84.0,32.0,7.0,10.0,"{'original': 7, 'alternative': None}",1.0,,4.0,2.0,2.0,,,,,,2.0,1.0,1.0,1.0,2.0,,,,Deportivo Pasto,home,,,,,,,
Johan Caicedo,johan-caicedo,J. Caicedo,M,6,,53,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600,"{'value': 455000, 'currency': 'EUR'}",Johan Caicedo,,6,False,19.0,19.0,1.0,1.0,0.0,2.0,,,,,45.0,23.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,3.0,1.0,,,,,2.0,3.0,,1.0,,,1.0,,,,Deportivo Pasto,home,,,,,,,
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400,,,,8,False,36.0,33.0,4.0,3.0,0.0,2.0,,,,,90.0,46.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,,2.0,2.0,,,4.0,,2.0,,,,,,,,,,Deportivo Pasto,home,,,,,,,
Gustavo Torres,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800,"{'value': 320000, 'currency': 'EUR'}",,,9,False,19.0,15.0,3.0,1.0,0.0,1.0,1.0,,,,57.0,23.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,,,1.0,,,1.0,,,,,1.0,1.0,,2.0,,,Deportivo Pasto,home,,,,,,,
