name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,totalContest,totalTackle,keyPass,aerialWon,dispossessed,totalClearance,interceptionWon,aerialLost,shotOffTarget,fouls,wonContest,accurateCross,blockedScoringAttempt,wasFouled,totalOffside,challengeLost,onTargetScoringAttempt,captain,team,teamType,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock
Álvaro Montero,alvaro-montero,Á. Montero,G,31,195.0,590,926238,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796435200.0,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. مونتيرو', 'hi': 'ए. मोंटेरो', 'bn': 'এ. মন্টেরো'}}",,,31,False,25.0,20.0,7.0,3.0,0.0,90.0,28.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,True,Millonarios,home,,,,,
Sander Navarro,navarro-sander,S. Navarro,D,34,,72,1512475,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1058832000.0,"{'value': 370000, 'currency': 'EUR'}",,,,34,False,29.0,25.0,1.0,1.0,0.0,73.0,43.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,3.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,Millonarios,home,,,,,
Andrés Llinás,andres-llinas,A. Llinás,D,26,188.0,286,982821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859248000.0,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. ليناس', 'hi': 'ए. लिनास', 'bn': 'এ. লিনাস'}}",,,26,False,52.0,45.0,9.0,5.0,0.0,90.0,64.0,7.9,8.0,"{'original': 7.9, 'alternative': None}",,1.0,10.0,,6.0,3.0,4.0,1.0,3.0,1.0,,,,,,,,,,,,Millonarios,home,,,,,
Sergio Mosquera,sergio-mosquera,S. Mosquera,D,6,185.0,73,351426,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,760752000.0,"{'value': 405000, 'currency': 'EUR'}",,,,6,False,47.0,38.0,10.0,4.0,0.0,90.0,55.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,2.0,1.0,,1.0,,,,3.0,,1.0,1.0,1.0,,,,,,,,,Millonarios,home,,,,,
Danovis Banguero,danovis-banguero,D. Banguero,D,20,185.0,94,34090,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,625449600.0,"{'value': 320000, 'currency': 'EUR'}",,,,20,False,71.0,58.0,1.0,,0.0,90.0,91.0,7.5,19.0,"{'original': 7.5, 'alternative': None}",3.0,3.0,2.0,2.0,,1.0,1.0,1.0,3.0,4.0,1.0,1.0,,1.0,,,,,,,,Millonarios,home,,,,,
Daniel Ruiz,daniel-ruiz,D. Ruiz,M,18,171.0,1027,1098305,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,996451200.0,"{'value': 1300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. رويز', 'hi': 'डी. रुइज़', 'bn': 'ডি. রুইজ'}}",Daniel Ruiz,,18,False,36.0,30.0,3.0,2.0,0.0,74.0,51.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",5.0,2.0,6.0,3.0,1.0,,,,,,1.0,1.0,,2.0,1.0,1.0,3.0,1.0,,,,Millonarios,home,,,,,
Nicolas Arevalo,arevalo-nicolas,N. Arévalo,M,5,176.0,99,1466638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047513600.0,"{'value': 340000, 'currency': 'EUR'}",,,,5,False,86.0,75.0,4.0,3.0,0.0,90.0,96.0,7.1,17.0,"{'original': 7.1, 'alternative': None}",1.0,8.0,2.0,1.0,1.0,2.0,,,,1.0,3.0,,3.0,,,1.0,1.0,,1.0,,,Millonarios,home,,,,,
Dewar Victoria,dewar-victoria,D. Victoria,M,8,176.0,50,1164480,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,984960000.0,"{'value': 290000, 'currency': 'EUR'}",,Dewar Victoria,,8,False,26.0,23.0,4.0,4.0,0.0,24.0,27.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,1.0,,1.0,,,,,,,,,,,,,,,,,Millonarios,home,,,,,
Kevin Palacios,kevin-palacios,K. Palacios,M,77,173.0,96,1131653,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949276800.0,"{'value': 375000, 'currency': 'EUR'}",,Kevin Palacios,,77,False,20.0,16.0,4.0,3.0,0.0,63.0,35.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,3.0,3.0,3.0,1.0,,1.0,,,,,,1.0,1.0,,2.0,,,,,,Millonarios,home,,,,,
Néyser Villarreal,neyser-villareal,N. Villarreal,F,88,186.0,1053,1539599,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1114300800.0,"{'value': 1200000, 'currency': 'EUR'}",,Néyser Villarreal,,88,False,29.0,25.0,1.0,,0.0,90.0,46.0,6.9,15.0,"{'original': 6.9, 'alternative': None}",2.0,3.0,2.0,2.0,,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,Millonarios,home,,,,,
