name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,wonContest,blockedScoringAttempt,totalClearance,interceptionWon,totalTackle,fouls,aerialWon,shotOffTarget,outfielderBlock,wasFouled,challengeLost,accurateCross,keyPass,onTargetScoringAttempt,totalOffside,captain,team,teamType,punches,goals
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186.0,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,14.0,12.0,2.0,0.0,1.0,2.0,90.0,21.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home,,
Jhon Meléndez,jhon-melendez,J. Meléndez,D,5,183.0,23,1174999,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1010707200,"{'value': 330000, 'currency': 'EUR'}",,Jhon Meléndez,,5,False,32.0,29.0,3.0,0.0,,,69.0,52.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",1.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,Independiente Santa Fe,home,,
Victor Moreno,victor-moreno,V. Moreno,D,3,180.0,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,42.0,35.0,10.0,0.0,,,90.0,46.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",6.0,,1.0,3.0,2.0,,,,,2.0,,2.0,2.0,,,,,,,,,,,Independiente Santa Fe,home,,
Ivan Scarpeta,ivan-scarpetta,I. Scarpeta,D,15,180.0,32,1021384,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833932800,"{'value': 425000, 'currency': 'EUR'}",,,,15,False,59.0,49.0,15.0,0.0,,,90.0,75.0,7.5,14.0,"{'original': 7.5, 'alternative': None}",9.0,,,,6.0,,,,1.0,3.0,,4.0,,1.0,1.0,1.0,1.0,,,,,,,Independiente Santa Fe,home,,
Christian Mafla,christian-mafla,C. Mafla,D,32,175.0,31,340757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727056000,"{'value': 240000, 'currency': 'EUR'}",,,,32,False,27.0,19.0,3.0,0.0,,,90.0,45.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",,2.0,,3.0,2.0,,2.0,1.0,,2.0,,1.0,2.0,,1.0,,,,,,,,,Independiente Santa Fe,home,,
Johan Torres,johan-torres,J. Torres,M,14,178.0,106,1394757,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1094515200,"{'value': 1100000, 'currency': 'EUR'}",,Johan Torres,,14,False,18.0,12.0,5.0,0.0,,,58.0,22.0,6.5,7.0,"{'original': 6.5, 'alternative': None}",2.0,,,2.0,2.0,,,,,,,1.0,1.0,,,,1.0,1.0,,,,,,Independiente Santa Fe,home,,
Daniel Torres,daniel-torres,D. Torres,M,16,186.0,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,False,39.0,32.0,7.0,0.0,,,69.0,52.0,6.5,13.0,"{'original': 6.5, 'alternative': None}",3.0,2.0,1.0,8.0,4.0,,3.0,,,1.0,1.0,3.0,2.0,,,,1.0,2.0,1.0,,,,,Independiente Santa Fe,home,,
Ewil Murillo,renteria-ewil-hernando-murillo,E. Murillo,M,21,180.0,31,1088687,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,961545600,"{'value': 380000, 'currency': 'EUR'}",,,,21,False,7.0,6.0,2.0,0.0,,,45.0,10.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,Independiente Santa Fe,home,,
Yeicar Perlaza,yeicar-perlaza,Y. Perlaza,D,27,180.0,36,1106547,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043366400,,,Yaicar Perlaza,,27,False,6.0,4.0,,0.0,,,26.0,13.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",,2.0,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,,Independiente Santa Fe,home,,
Hugo Rodallega,hugo-rodallega,H. Rodallega,F,11,181.0,923,15668,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,491097600,"{'value': 48000, 'currency': 'EUR'}",,,,11,False,25.0,18.0,,0.0,,,90.0,35.0,7.3,10.0,"{'original': 7.3, 'alternative': None}",,,,3.0,2.0,,1.0,,,,,,2.0,1.0,1.0,,1.0,,,3.0,2.0,2.0,True,Independiente Santa Fe,home,,
