name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,totalContest,interceptionWon,fouls,keyPass,aerialWon,duelWon,wonContest,blockedScoringAttempt,totalTackle,wasFouled,accurateCross,outfielderBlock,dispossessed,shotOffTarget,onTargetScoringAttempt,bigChanceCreated,goals,totalOffside,challengeLost,captain,team,teamType,penaltyConceded,bigChanceMissed
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,22,False,27.0,20.0,15.0,9.0,0.0,1.0,1.0,1.0,4.0,90.0,36.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,26,False,48.0,43.0,2.0,1.0,0.0,,,,,90.0,69.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Deportes Tolima,home,,
Anderson Angulo,,,anderson-angulo,A. Angulo,D,2,187,25,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800,"{'value': 570000, 'currency': 'EUR'}",,2,False,49.0,40.0,7.0,3.0,0.0,4.0,,,,87.0,57.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,1.0,1.0,1.0,,,,2.0,5.0,1.0,1.0,1.0,1.0,,,,,,,,,,,Deportes Tolima,home,,
Jhon Quiñónes,Jhon Quiñónes,,jhon-quinones,J. Quiñónes,D,4,188,13,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600,,,4,False,36.0,33.0,3.0,2.0,0.0,4.0,,,,90.0,44.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,1.0,,,1.0,,,3.0,,,3.0,,,,,,,,,,,,Deportes Tolima,home,,
Junior Hernández,,,junior-hernandez,J. Hernández,D,20,172,78,973723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923270400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. هيرنانديز', 'hi': 'जे. हर्नांडेज़', 'bn': 'জে হার্নান্দেজ'}}",20,False,42.0,33.0,6.0,4.0,0.0,,,,,90.0,71.0,7.4,16.0,"{'original': 7.4, 'alternative': None}",3.0,1.0,3.0,4.0,3.0,,,,4.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,Deportes Tolima,home,,
Ever Valencia,,,ever-valencia,E. Valencia,M,8,175,55,819152,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853977600,"{'value': 410000, 'currency': 'EUR'}",,8,False,21.0,18.0,1.0,1.0,0.0,,,,,62.0,38.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",4.0,,4.0,3.0,,,1.0,,2.0,1.0,,1.0,,1.0,,2.0,1.0,1.0,,,,,,Deportes Tolima,home,,
Brayan Rovira,,,brayan-rovira,B. Rovira,M,80,177,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800,"{'value': 640000, 'currency': 'EUR'}",,80,False,62.0,61.0,5.0,5.0,0.0,,,,,90.0,69.0,7.3,3.0,"{'original': 7.3, 'alternative': None}",,1.0,3.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,Deportes Tolima,home,,
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,15,False,60.0,57.0,1.0,1.0,0.0,1.0,,,,87.0,66.0,7.1,5.0,"{'original': 7.1, 'alternative': None}",,,,1.0,,,,,2.0,1.0,,,1.0,,,,,,,,,,True,Deportes Tolima,home,,
Alex Castro,,,alex-castro,A. Castro,M,23,170,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800,"{'value': 535000, 'currency': 'EUR'}",,23,False,44.0,36.0,1.0,1.0,1.0,,,,,90.0,60.0,7.4,15.0,"{'original': 7.4, 'alternative': None}",3.0,1.0,7.0,4.0,,4.0,3.0,,4.0,2.0,1.0,2.0,,1.0,,,,,1.0,,,,,Deportes Tolima,home,,
Gonzalo Lencina,,,gonzalo-lencina,G. Lencina,F,11,178,503,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,11,False,20.0,15.0,,,0.0,,,,,87.0,30.0,7.9,5.0,"{'original': 7.9, 'alternative': None}",,2.0,3.0,1.0,,1.0,,1.0,4.0,1.0,,,2.0,,,,1.0,5.0,,1.0,1.0,,,Deportes Tolima,home,,
