name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,duelLost,duelWon,challengeLost,totalContest,totalClearance,interceptionWon,totalTackle,keyPass,aerialLost,shotOffTarget,outfielderBlock,wasFouled,fouls,aerialWon,onTargetScoringAttempt,bigChanceCreated,bigChanceMissed,hitWoodwork,goals,dispossessed,accurateCross,totalOffside,blockedScoringAttempt,captain,team,teamType,punches,wonContest
James Aguirre,james-aguirre,J. Aguirre,G,12,181.0,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,18.0,13.0,9.0,4.0,0.0,1.0,1.0,90.0,22.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174.0,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400,"{'value': 630000, 'currency': 'EUR'}",Juan David Cuesta,,,22,False,50.0,39.0,4.0,2.0,0.0,,,90.0,71.0,7.1,18.0,"{'original': 7.1, 'alternative': None}",5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Once Caldas,home,,
Jorge Cardona,cardona-jorge,J. Cardona,D,34,184.0,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",,34,False,37.0,30.0,7.0,1.0,0.0,,,90.0,51.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",1.0,3.0,4.0,,,5.0,1.0,3.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,Once Caldas,home,,
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,20.0,18.0,1.0,,0.0,,,58.0,28.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,4.0,3.0,3.0,,3.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,Once Caldas,home,,
Juan Patiño,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,,,33,False,37.0,32.0,1.0,,0.0,,,90.0,57.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",3.0,1.0,3.0,,,1.0,,2.0,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,Once Caldas,home,,
Mateo García,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400,"{'value': 955000, 'currency': 'EUR'}",,,,19,False,27.0,24.0,4.0,4.0,0.0,,,45.0,33.0,7.4,4.0,"{'original': 7.4, 'alternative': None}",,2.0,1.0,,,1.0,,,,,1.0,,1.0,2.0,,2.0,,1.0,1.0,1.0,,,,,,Once Caldas,home,,
Iván Rojas,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,,,5,False,40.0,39.0,1.0,1.0,0.0,,,90.0,47.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,2.0,,,,,2.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,Once Caldas,home,,
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",Mateo,,Zuleta,28,False,20.0,14.0,3.0,2.0,1.0,,,77.0,37.0,7.7,14.0,"{'original': 7.7, 'alternative': None}",8.0,2.0,1.0,,,,1.0,,4.0,1.0,1.0,,1.0,1.0,,,2.0,,,,,4.0,,,,Once Caldas,home,,
Alejandro García,alejandro-garcia,A. García,M,20,185.0,85,912291,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983318400,"{'value': 835000, 'currency': 'EUR'}",,,,20,False,30.0,23.0,2.0,2.0,0.0,,,69.0,38.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",2.0,2.0,4.0,,,,,,,,,,2.0,1.0,2.0,1.0,,,,,1.0,1.0,,,,Once Caldas,home,,
Michael Barrios,michael-barrios,M. Barrios,M,7,163.0,232,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000,"{'value': 570000, 'currency': 'EUR'}",,,,7,False,12.0,10.0,,,0.0,,,58.0,21.0,7.0,6.0,"{'original': 7, 'alternative': None}",2.0,2.0,1.0,,1.0,,1.0,1.0,2.0,,,,,,,,1.0,,,,1.0,1.0,,,,Once Caldas,home,,
