name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,accurateCross,duelLost,challengeLost,dispossessed,shotOffTarget,blockedScoringAttempt,outfielderBlock,interceptionWon,fouls,keyPass,aerialLost,duelWon,totalTackle,wasFouled,aerialWon,onTargetScoringAttempt,goals,totalContest,wonContest,captain,team,teamType,fieldTranslations,savedShotsFromInsideTheBox,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,bigChanceMissed,totalOffside
Victor Cabezas,victor-cabezas,V. Cabezas,G,12,191.0,3,829963,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878428800,"{'value': 52000, 'currency': 'EUR'}",,,12,False,14.0,8.0,6.0,0.0,4.0,4.0,90.0,27.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,,,,
Israel Alba,israel-alba,I. Alba,D,22,175.0,19,822106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,799718400,"{'value': 430000, 'currency': 'EUR'}",,,22,False,25.0,21.0,6.0,1.0,1.0,,90.0,51.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",3.0,11.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,,,,,,,,,,True,Deportivo Pasto,home,,,,,,,
Brayan Carabalí,brayan-carabali,B. Carabalí,D,2,188.0,19,974303,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919900800,"{'value': 385000, 'currency': 'EUR'}",,,2,False,28.0,22.0,4.0,0.0,12.0,,90.0,51.0,6.8,10.0,"{'original': 6.8, 'alternative': None}",,,,4.0,,1.0,,,,2.0,2.0,,1.0,3.0,2.0,1.0,,,,,,,Deportivo Pasto,home,,,,,,,
Andrés Alarcón,andres-alarcon,A. Alarcón,D,24,192.0,43,1179168,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,990230400,,Andrés Alarcón,,24,False,36.0,33.0,4.0,0.0,7.0,,90.0,48.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",3.0,,,1.0,,,,,,,1.0,,,3.0,1.0,,2.0,1.0,1.0,,,,Deportivo Pasto,home,,,,,,,
Joyce Ossa,joyce-ossa,J. Ossa,D,23,184.0,17,1417831,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,895104000,"{'value': 280000, 'currency': 'EUR'}",Joyce Ossa,,23,False,29.0,24.0,4.0,0.0,7.0,,79.0,43.0,6.8,5.0,"{'original': 6.8, 'alternative': None}",2.0,,,2.0,1.0,,,,,2.0,1.0,,,4.0,1.0,,3.0,,,,,,Deportivo Pasto,home,,,,,,,
Edwin Velasco,edwin-velasco,E. Velasco,D,21,178.0,47,358144,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,689299200,"{'value': 265000, 'currency': 'EUR'}",,,21,False,25.0,19.0,1.0,0.0,,,90.0,31.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",,,,4.0,,2.0,,1.0,,,,1.0,2.0,1.0,,,1.0,,,,,,Deportivo Pasto,home,,,,,,,
Facundo Boné,facundo-bone,F. Boné,M,77,176.0,84,924738,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,816480000,"{'value': 280000, 'currency': 'EUR'}",,,77,False,11.0,7.0,1.0,0.0,2.0,,78.0,20.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,,4.0,,1.0,,1.0,,,1.0,,2.0,2.0,,1.0,1.0,2.0,,,,,Deportivo Pasto,home,,,,,,,
Gustavo Charrupi,charrupi-gustavo,G. Charrupi,M,8,,18,1514218,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090454400,,,,8,False,38.0,35.0,1.0,0.0,2.0,,78.0,49.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",1.0,,,2.0,2.0,,2.0,,1.0,,,2.0,,5.0,2.0,3.0,,,,,,,Deportivo Pasto,home,,,,,,,
Felipe Jaramillo,felipe-jaramillo,F. Jaramillo,M,17,185.0,31,924429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829785600,"{'value': 310000, 'currency': 'EUR'}",,,17,False,26.0,23.0,5.0,0.0,4.0,,90.0,39.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",4.0,,,5.0,,,,,1.0,2.0,3.0,2.0,1.0,3.0,,1.0,1.0,,,2.0,1.0,,Deportivo Pasto,home,,,,,,,
Déinner Quiñones,deinner-quinones,D. Quiñones,M,70,172.0,95,846799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,808531200,"{'value': 515000, 'currency': 'EUR'}",,,70,False,26.0,22.0,,0.0,1.0,,79.0,41.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,1.0,,4.0,,1.0,,2.0,,,1.0,3.0,,6.0,,4.0,,1.0,,4.0,2.0,,Deportivo Pasto,home,,,,,,,
Gonzalo Ritacco,ritacco-gonzalo-gabriel,G. Ritacco,M,10,175.0,37,976096,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,737942400,"{'value': 285000, 'currency': 'EUR'}",,,10,False,21.0,13.0,4.0,0.0,,,60.0,30.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",,1.0,,5.0,1.0,,1.0,1.0,,,2.0,,1.0,3.0,2.0,1.0,,,,1.0,,,Deportivo Pasto,home,,,,,,,
Felipe Ordonez,ordonez-felipe,F. Ordonez,M,18,168.0,28,1158789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1075680000,"{'value': 48000, 'currency': 'EUR'}",,,18,True,6.0,5.0,,0.0,,,30.0,10.0,7.2,1.0,"{'original': 7.2, 'alternative': None}",,,,2.0,,,,,,,1.0,,1.0,3.0,,3.0,,1.0,1.0,,,,Deportivo Pasto,home,,,,,,,
Gustavo Torres,gustavo-torres,G. Torres,M,9,181.0,94,886720,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,834796800,"{'value': 320000, 'currency': 'EUR'}",,,9,True,4.0,4.0,,0.0,,,12.0,6.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,2.0,,,,,,,,,2.0,,,,,,,,,,Deportivo Pasto,home,,,,,,,
Juan Castilla,juan-castilla,J. Castilla,M,13,172.0,177,1025325,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1090886400,"{'value': 440000, 'currency': 'EUR'}",,,13,True,3.0,2.0,1.0,0.0,,,12.0,4.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,Deportivo Pasto,home,,,,,,,
Johan Caicedo,johan-caicedo,J. Caicedo,M,6,,53,1170681,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1079049600,"{'value': 455000, 'currency': 'EUR'}",Johan Caicedo,,6,True,1.0,1.0,,0.0,1.0,,11.0,5.0,6.7,,"{'original': 6.7, 'alternative': None}",,,,2.0,,,,,,,2.0,,,1.0,1.0,,,,,,,,Deportivo Pasto,home,,,,,,,
Kevin Lopez,kevin-lopez,K. Lopez,G,33,,3,1210706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1044576000,,Kevin Lopez,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pasto,home,,,,,,,
