name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,fieldTranslations,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,totalContest,clearanceOffLine,outfielderBlock,interceptionWon,fouls,aerialWon,duelWon,dispossessed,wonContest,onTargetScoringAttempt,totalTackle,shotOffTarget,challengeLost,blockedScoringAttempt,bigChanceCreated,goals,wasFouled,bigChanceMissed,totalOffside,captain,team,teamType
James Aguirre,james-aguirre,J. Aguirre,G,12,181.0,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400.0,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,21.0,12.0,11.0,4.0,0.0,1.0,3.0,5.0,1.0,1.0,90.0,32.0,7.4,9.0,1.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home
Juan David Cuesta,juan-david-cuesta,J. D. Cuesta,D,22,174.0,31,1188964,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,880070400.0,"{'value': 630000, 'currency': 'EUR'}",Juan David Cuesta,,,22,False,32.0,28.0,4.0,2.0,0.0,,,,,,90.0,54.0,7.1,9.0,2.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,Once Caldas,home
Jorge Cardona,cardona-jorge,J. Cardona,D,34,184.0,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000.0,"{'value': 515000, 'currency': 'EUR'}",,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",,34,False,50.0,46.0,6.0,3.0,0.0,8.0,,,,,90.0,63.0,7.1,5.0,,"{'original': 7.1, 'alternative': None}",,,1.0,3.0,1.0,,,1.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,,,,,,,,,,Once Caldas,home
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,49.0,43.0,11.0,6.0,0.0,3.0,,,,,90.0,56.0,6.8,6.0,1.0,"{'original': 6.8, 'alternative': None}",,,,1.0,,,,2.0,1.0,2.0,2.0,,,,,1.0,,,,,,,,,Once Caldas,home
Juan Patiño,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600.0,"{'value': 605000, 'currency': 'EUR'}",,,,33,False,26.0,20.0,4.0,2.0,0.0,4.0,,,,,90.0,45.0,6.9,10.0,,"{'original': 6.9, 'alternative': None}",2.0,1.0,2.0,5.0,1.0,,1.0,1.0,2.0,1.0,5.0,,,,4.0,,,,,,,,,,Once Caldas,home
Mateo García,mateo-garcia,M. García,M,19,178.0,78,950544,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904262400.0,"{'value': 955000, 'currency': 'EUR'}",,,,19,False,39.0,37.0,,,0.0,1.0,,,,,90.0,49.0,6.3,7.0,,"{'original': 6.3, 'alternative': None}",2.0,1.0,,6.0,1.0,,,1.0,3.0,,,1.0,,,,,1.0,,,,,,,,Once Caldas,home
Iván Rojas,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 670000, 'currency': 'EUR'}",,,,5,False,30.0,26.0,3.0,1.0,0.0,1.0,,,,,90.0,34.0,6.7,6.0,1.0,"{'original': 6.7, 'alternative': None}",2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,Once Caldas,home
Joel Contreras,contreras-joel,J. Contreras,F,16,165.0,24,994306,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,925516800.0,"{'value': 310000, 'currency': 'EUR'}",,,,16,False,,,,,0.0,,,,,,31.0,2.0,6.4,,1.0,"{'original': 6.4, 'alternative': None}",1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,Once Caldas,home
Michael Barrios,michael-barrios,M. Barrios,M,7,163.0,244,791545,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672192000.0,"{'value': 570000, 'currency': 'EUR'}",,,,7,False,20.0,13.0,1.0,,2.0,,,,,,89.0,31.0,9.1,10.0,3.0,"{'original': 9.1, 'alternative': None}",4.0,2.0,1.0,3.0,,,,,1.0,,2.0,,,2.0,1.0,1.0,1.0,,3.0,1.0,1.0,,,,Once Caldas,home
Hugo Dorrego,hugo-dorrego,H. Dorrego,M,30,174.0,56,311400,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,736905600.0,"{'value': 240000, 'currency': 'EUR'}",,,,30,False,18.0,16.0,4.0,3.0,0.0,,,,,,61.0,29.0,7.0,6.0,2.0,"{'original': 7, 'alternative': None}",2.0,1.0,,4.0,1.0,,,,2.0,,3.0,1.0,,1.0,1.0,1.0,,,,,2.0,,,,Once Caldas,home
