name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,outfielderBlock,fouls,shotOffTarget,blockedScoringAttempt,totalTackle,wasFouled,accurateCross,dispossessed,bigChanceCreated,keyPass,challengeLost,interceptionWon,onTargetScoringAttempt,goals,totalOffside,hitWoodwork,captain,team,teamType,punches,bigChanceMissed
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,29,False,19.0,17.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,90.0,27.0,7.0,2.0,"{'original': 7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Léyser Chaverra,,,leyser-chaverra-renteria,L. Chaverra,D,2,175,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800,"{'value': 875000, 'currency': 'EUR'}",,2,False,71.0,64.0,7.0,3.0,0.0,2.0,,,,90.0,87.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,True,Independiente Medellín,home,,
José Ortiz,,,jose-ortiz,J. Ortiz,D,24,181,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,"{'value': 700000, 'currency': 'EUR'}",,24,False,53.0,46.0,3.0,1.0,0.0,4.0,,,,90.0,59.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,1.0,2.0,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,33,False,69.0,57.0,9.0,4.0,0.0,3.0,,,,90.0,80.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",1.0,2.0,2.0,3.0,4.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,Independiente Medellín,home,,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",,6,False,35.0,28.0,2.0,1.0,1.0,2.0,,,,90.0,53.0,7.3,16.0,"{'original': 7.3, 'alternative': None}",2.0,,1.0,4.0,5.0,3.0,,,,,,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,Independiente Medellín,home,,
Baldomero Perlaza,,,baldomero-perlaza,B. Perlaza,M,14,188,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",,14,False,5.0,2.0,1.0,1.0,0.0,,,,,8.0,6.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,1.0,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,Independiente Medellín,home,,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,65.0,52.0,4.0,1.0,1.0,1.0,,,,90.0,73.0,7.0,15.0,"{'original': 7, 'alternative': None}",,,1.0,2.0,2.0,1.0,,,,,,1.0,,,,,2.0,1.0,1.0,,,,,,Independiente Medellín,home,,
Alexis Serna,,,alexis-serna,A. Serna,M,80,170,13,972579,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,944524800,"{'value': 230000, 'currency': 'EUR'}",,80,False,38.0,33.0,5.0,2.0,0.0,1.0,,,,70.0,47.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",2.0,,,4.0,2.0,1.0,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,Independiente Medellín,home,,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",,13,False,26.0,20.0,4.0,1.0,0.0,,,,,84.0,40.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",6.0,,,1.0,1.0,,,,1.0,,,1.0,,1.0,,,,,,2.0,1.0,1.0,,,Independiente Medellín,home,,
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,19,False,11.0,11.0,,,0.0,,,,,70.0,21.0,7.5,3.0,"{'original': 7.5, 'alternative': None}",,1.0,3.0,1.0,6.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,2.0,,,1.0,,Independiente Medellín,home,,
