name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,shotOffTarget,interceptionWon,totalTackle,wasFouled,fouls,keyPass,aerialWon,onTargetScoringAttempt,goals,aerialLost,outfielderBlock,totalContest,totalOffside,wonContest,blockedScoringAttempt,captain,team,teamType,punches,bigChanceCreated,hitWoodwork,bigChanceMissed
James Aguirre,james-aguirre,J. Aguirre,G,12,181.0,64,829877,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706406400,"{'value': 290000, 'currency': 'EUR'}",,,,12,False,21.0,10.0,18.0,7.0,0.0,1.0,4.0,8.0,90.0,32.0,7.8,11.0,"{'original': 7.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Once Caldas,home,,,,
Luis Palacios,palacios-luis,L. Palacios,M,24,181.0,31,1130300,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,986860800,"{'value': 370000, 'currency': 'EUR'}",,,,24,False,22.0,14.0,4.0,,0.0,3.0,,,90.0,46.0,6.6,14.0,"{'original': 6.6, 'alternative': None}",4.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,,,,,,,Once Caldas,home,,,,
Jorge Cardona,cardona-jorge,J. Cardona,D,34,184.0,16,960094,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919728000,"{'value': 515000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'J. L. C. Gutierrez'}}",,,34,False,8.0,3.0,4.0,,0.0,5.0,,,68.0,17.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",,,,3.0,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,Once Caldas,home,,,,
Jerson Malagón,jerson-malagon,J. Malagón,D,3,185.0,30,339393,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,741052800,"{'value': 380000, 'currency': 'EUR'}",,,,3,False,17.0,15.0,5.0,4.0,1.0,4.0,,,90.0,28.0,8.4,2.0,"{'original': 8.4, 'alternative': None}",,,1.0,2.0,,,,,2.0,,,1.0,,1.0,1.0,1.0,3.0,,,,,,Once Caldas,home,,,,
Juan Patiño,juan-patino,J. Patiño,D,33,184.0,31,973722,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,905385600,"{'value': 605000, 'currency': 'EUR'}",,,,33,False,24.0,12.0,10.0,1.0,0.0,,,,90.0,42.0,6.3,19.0,"{'original': 6.3, 'alternative': None}",2.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,Once Caldas,home,,,,
Juan García,juan-garcia,J. García,M,2,185.0,20,976091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,856742400,"{'value': 155000, 'currency': 'EUR'}",,,,2,False,2.0,2.0,,,0.0,,,,34.0,6.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,Once Caldas,home,,,,
Iván Rojas,ivan-rojas,I. Rojas,M,5,177.0,27,834989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400,"{'value': 670000, 'currency': 'EUR'}",,,,5,False,17.0,14.0,2.0,2.0,0.0,2.0,,,90.0,31.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,3.0,6.0,,,1.0,2.0,2.0,3.0,3.0,,1.0,,,,,,,,,,Once Caldas,home,,,,
Jefry Zapata,jefry-zapata,J. Zapata,M,14,176.0,54,1478221,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949536000,"{'value': 570000, 'currency': 'EUR'}",,Jefry Zapata,,14,False,15.0,14.0,1.0,,0.0,,,,65.0,28.0,6.1,11.0,"{'original': 6.1, 'alternative': None}",3.0,,10.0,2.0,1.0,4.0,,,1.0,1.0,2.0,1.0,,1.0,,1.0,,2.0,1.0,,,,Once Caldas,home,,,,
Johan Esteban Beltran Montaño,johan-esteban-beltran-montano,J. E. B. Montaño,M,8,178.0,21,1099609,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,,,,,8,False,21.0,18.0,4.0,2.0,0.0,,,,65.0,32.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,,4.0,3.0,,1.0,2.0,1.0,2.0,1.0,,2.0,,,,,,3.0,,,,,Once Caldas,home,,,,
Mateo Zuleta,mateo-zuleta,M. Zuleta,M,28,170.0,80,1651712,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023408000,"{'value': 405000, 'currency': 'EUR'}",,Mateo,Zuleta,28,False,23.0,20.0,,,1.0,1.0,,,90.0,50.0,7.4,14.0,"{'original': 7.4, 'alternative': None}",6.0,1.0,5.0,5.0,,2.0,1.0,2.0,2.0,2.0,,2.0,,1.0,,2.0,,2.0,,1.0,,,Once Caldas,home,,,,
