name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,totalContest,wonContest,onTargetScoringAttempt,interceptionWon,totalTackle,fouls,challengeLost,outfielderBlock,keyPass,blockedScoringAttempt,shotOffTarget,bigChanceMissed,dispossessed,bigChanceCreated,captain,team,teamType,goodHighClaim,totalOffside
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",38,False,9.0,7.0,4.0,2.0,0.0,1.0,1.0,1.0,4.0,5.0,90.0,20.0,7.8,2.0,"{'original': 7.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,
Fabián Viáfara,,,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000,"{'value': 430000, 'currency': 'EUR'}",,27,False,52.0,38.0,6.0,4.0,0.0,3.0,2.0,,,,90.0,82.0,7.3,21.0,"{'original': 7.3, 'alternative': None}",5.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,Deportivo Cali,home,,
Juan Quintero,,,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800,"{'value': 670000, 'currency': 'EUR'}",,3,False,51.0,46.0,6.0,4.0,0.0,2.0,8.0,,,,90.0,66.0,7.4,6.0,"{'original': 7.4, 'alternative': None}",,,4.0,2.0,5.0,,,,1.0,,,1.0,1.0,1.0,,,,,,True,Deportivo Cali,home,,
Guzmán Corujo,,,guzman-corujo,G. Corujo,D,16,189.0,116,874970,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,838944000,"{'value': 390000, 'currency': 'EUR'}",,16,False,30.0,26.0,4.0,2.0,0.0,1.0,,1.0,,,45.0,34.0,6.8,4.0,"{'original': 6.8, 'alternative': None}",,,1.0,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,Deportivo Cali,home,,
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800,"{'value': 440000, 'currency': 'EUR'}",,26,False,37.0,29.0,2.0,1.0,0.0,5.0,4.0,2.0,,,90.0,65.0,7.3,14.0,"{'original': 7.3, 'alternative': None}",2.0,,2.0,1.0,3.0,2.0,1.0,,2.0,1.0,,,,1.0,,,,,,,Deportivo Cali,home,,
Rafael Bustamante,,,rafael-bustamante,R. Bustamante,M,5,176.0,37,934421,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,938822400,"{'value': 420000, 'currency': 'EUR'}",,5,False,38.0,36.0,5.0,3.0,0.0,3.0,,1.0,,,45.0,45.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,,4.0,1.0,,,,2.0,2.0,,,,1.0,,,,,,Deportivo Cali,home,,
Yeison Gordillo,,,yeison-gordillo,Y. Gordillo,M,30,176.0,75,285429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709430400,"{'value': 310000, 'currency': 'EUR'}",,30,False,49.0,43.0,6.0,3.0,0.0,3.0,,1.0,,,90.0,57.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",,,1.0,1.0,2.0,,,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,Deportivo Cali,home,,
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600,"{'value': 595000, 'currency': 'EUR'}",,7,False,38.0,31.0,7.0,4.0,0.0,2.0,,2.0,,,66.0,55.0,7.0,17.0,"{'original': 7, 'alternative': None}",8.0,2.0,,,2.0,1.0,,1.0,,,1.0,,,2.0,,,,,,,Deportivo Cali,home,,
Juan Camilo Cantillo,Juan Camilo Cantillo,,juan-camilo-cantillo,J. C. Cantillo,F,18,175.0,17,1174880,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041984000,"{'value': 105000, 'currency': 'EUR'}",,18,False,13.0,10.0,,,0.0,9.0,1.0,5.0,,,90.0,28.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,2.0,3.0,,,,,2.0,2.0,,,,,2.0,1.0,,,,Deportivo Cali,home,,
Fabián Castillo,,,fabian-castillo,F. Castillo,F,8,172.0,107,151561,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,708739200,"{'value': 195000, 'currency': 'EUR'}",,8,False,21.0,17.0,,,0.0,1.0,,,,,54.0,31.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,,5.0,2.0,1.0,,2.0,,3.0,,,,,1.0,,1.0,,,Deportivo Cali,home,,
