name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,onTargetScoringAttempt,totalClearance,totalTackle,penaltyConceded,wasFouled,fouls,challengeLost,aerialLost,blockedScoringAttempt,outfielderBlock,keyPass,interceptionWon,accurateCross,bigChanceCreated,totalOffside,shotOffTarget,bigChanceMissed,hitWoodwork,captain,team,teamType,fieldTranslations,goals
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",12,False,15.0,13.0,4.0,2.0,0.0,2.0,2.0,90.0,22.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,
Geindry Cuervo,Geindry Cuervo,,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,15,False,38.0,33.0,3.0,2.0,0.0,,,90.0,61.0,6.3,17.0,"{'original': 6.3, 'alternative': None}",3.0,1.0,5.0,5.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,Envigado FC,home,,
Jhon Gamboa,,,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",28,False,34.0,24.0,7.0,2.0,0.0,,,90.0,44.0,6.3,11.0,"{'original': 6.3, 'alternative': None}",,3.0,2.0,6.0,,,,,4.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,Envigado FC,home,,
Didier Palacios,Didier Palacios,,didier-palacios,D. Palacios,D,2,185.0,29,1647753,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1086220800.0,"{'value': 390000, 'currency': 'EUR'}",2,False,27.0,22.0,4.0,3.0,0.0,,,90.0,33.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",,,4.0,1.0,,,,,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,Envigado FC,home,,
Emanuel Londoño,Emanuel Londoño,,emanuel-londono,E. Londoño,,33,,9,2063961,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,33,False,32.0,25.0,6.0,2.0,0.0,,,89.0,49.0,6.5,11.0,"{'original': 6.5, 'alternative': None}",,,2.0,3.0,,1.0,1.0,,3.0,2.0,,,1.0,1.0,,,,1.0,,,,,,,,,Envigado FC,home,,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",6,False,14.0,13.0,3.0,3.0,0.0,,,79.0,20.0,6.2,5.0,"{'original': 6.2, 'alternative': None}",,,4.0,1.0,,3.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,Envigado FC,home,,
Johan Hinestroza,Johan Hinestroza,,johan-hinestroza,J. Hinestroza,M,14,176.0,11,1106571,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1016064000.0,"{'value': 205000, 'currency': 'EUR'}",14,False,33.0,28.0,5.0,4.0,0.0,,,90.0,44.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,2.0,1.0,,,,,,1.0,,,2.0,,,,,,3.0,,,,,,,,Envigado FC,home,,
Carlos Torres,Carlos Torres,,carlos-torres,C. Torres,F,30,,109,1116061,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1035072000.0,"{'value': 320000, 'currency': 'EUR'}",80,False,16.0,12.0,1.0,,0.0,,,89.0,37.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",4.0,,6.0,6.0,,1.0,,,1.0,1.0,,5.0,4.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,Envigado FC,home,,
Daniel Arcila,Daniel Arcila,,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,26,False,38.0,30.0,11.0,8.0,0.0,,,90.0,55.0,7.7,14.0,"{'original': 7.7, 'alternative': None}",7.0,,3.0,2.0,,1.0,1.0,2.0,1.0,,,1.0,,1.0,2.0,,,3.0,,3.0,1.0,,1.0,,,True,Envigado FC,home,,
Luis Díaz,Luis Díaz,,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,34,False,14.0,7.0,2.0,2.0,0.0,,,79.0,25.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,2.0,2.0,5.0,,1.0,,,1.0,2.0,,1.0,1.0,,,,1.0,,,,,1.0,2.0,1.0,1.0,,Envigado FC,home,,
Bayron Garcés,,,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",11,False,6.0,4.0,,,0.0,,,67.0,9.0,6.2,3.0,"{'original': 6.2, 'alternative': None}",,,2.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,1.0,,,Envigado FC,home,,
Santiago Londono,Santiago Londoño,,londono-santiago,S. Londoño,F,9,184.0,191,1508614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1204243200.0,,19,True,5.0,4.0,,,0.0,,,23.0,9.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,Envigado FC,home,,
Nilzo Ramírez,,,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,16,True,4.0,1.0,,,0.0,,,11.0,9.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",,,2.0,1.0,2.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,,Envigado FC,home,,
Didier Dawson,Didier Dawson,,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",7,True,3.0,3.0,,,0.0,,,11.0,8.0,6.4,1.0,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,2.0,,,,,,,,,,,Envigado FC,home,,
Carlos Ramirez,,,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",29,True,2.0,2.0,2.0,2.0,0.0,,,9.0,3.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,Envigado FC,home,,
John Araujo,Jhon Araujo,,john-araujo,J. Araujo,F,70,172.0,12,1157709,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026950400.0,,70,True,3.0,,2.0,,0.0,,,9.0,5.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,Envigado FC,home,,
Andrés Tovar,Andrés Tovar,,andres-tovar,A. Tovar,G,88,188.0,64,1388644,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1143244800.0,"{'value': 320000, 'currency': 'EUR'}",88,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,
Deiby Munoz,Deiby Munoz,,deiby-munoz,D. Munoz,,37,,2,2148097,{},EUR,,,37,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Envigado FC,home,,
Wuilker Faríñez,,,wuilker-farinez,W. Faríñez,G,1,181.0,1185,796930,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,887500800.0,"{'value': 825000, 'currency': 'EUR'}",1,False,12.0,5.0,7.0,,0.0,2.0,4.0,90.0,19.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,Rionegro Águilas Doradas,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'و. فارينيز', 'hi': 'डब्लू. फ़रीनेज़', 'bn': 'ডব্লিউ. ফারিনজ'}}",
Dylan Lozano,Dylan Lozano,,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200.0,"{'value': 270000, 'currency': 'EUR'}",26,False,6.0,3.0,1.0,,0.0,,,85.0,25.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,,1.0,,,,,2.0,1.0,,,1.0,,,,,,1.0,,,,,,,,Rionegro Águilas Doradas,away,,
Sebastián Rodríguez,,,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600.0,"{'value': 245000, 'currency': 'EUR'}",2,False,22.0,11.0,14.0,3.0,0.0,,,90.0,34.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",,,,,,,,1.0,6.0,,,,1.0,,,,3.0,,1.0,,,,,,,,Rionegro Águilas Doradas,away,,
