name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,interceptionWon,keyPass,aerialWon,duelWon,totalTackle,wasFouled,fouls,dispossessed,shotOffTarget,onTargetScoringAttempt,totalContest,wonContest,blockedScoringAttempt,captain,team,teamType,goodHighClaim,punches,outfielderBlock,totalOffside
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,29,False,21.0,18.0,9.0,6.0,0.0,2.0,1.0,1.0,2.0,2.0,90.0,25.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,
Léyser Chaverra,,,leyser-chaverra-renteria,L. Chaverra,D,2,175.0,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800,"{'value': 875000, 'currency': 'EUR'}",,2,False,78.0,68.0,8.0,4.0,0.0,2.0,,,,,90.0,91.0,7.3,12.0,"{'original': 7.3, 'alternative': None}",2.0,2.0,1.0,3.0,2.0,1.0,3.0,,,,,,,,,,,,True,Independiente Medellín,home,,,,
José Ortiz,,,jose-ortiz,J. Ortiz,D,24,181.0,43,905614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,911174400,"{'value': 700000, 'currency': 'EUR'}",,24,False,48.0,43.0,11.0,7.0,0.0,1.0,,,,,90.0,55.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",1.0,,,1.0,,,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,Independiente Medellín,home,,,,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,33,False,86.0,77.0,12.0,6.0,0.0,1.0,,,,,90.0,100.0,7.6,11.0,"{'original': 7.6, 'alternative': None}",1.0,,,1.0,,,,1.0,4.0,2.0,2.0,,1.0,1.0,1.0,,,,,Independiente Medellín,home,,,,
Mender García,,,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800,"{'value': 830000, 'currency': 'EUR'}",,8,False,34.0,30.0,,,0.0,,,,,,90.0,54.0,7.0,14.0,"{'original': 7, 'alternative': None}",7.0,1.0,,3.0,,,2.0,1.0,4.0,2.0,,1.0,1.0,,,2.0,1.0,,,Independiente Medellín,home,,,,
Alexis Serna,,,alexis-serna,A. Serna,M,80,170.0,13,972579,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,944524800,"{'value': 230000, 'currency': 'EUR'}",,80,False,28.0,24.0,3.0,2.0,0.0,,,,,,61.0,33.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,1.0,4.0,,,2.0,1.0,4.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,Independiente Medellín,home,,,,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,50.0,41.0,9.0,3.0,0.0,1.0,,,,,60.0,59.0,7.1,11.0,"{'original': 7.1, 'alternative': None}",1.0,,1.0,2.0,,,,,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,Independiente Medellín,home,,,,
Juan Arizala,,,arizala-juan,J. Arizala,D,71,183.0,488,1476922,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1128902400,"{'value': 380000, 'currency': 'EUR'}",,71,False,36.0,28.0,1.0,,0.0,,,,,,90.0,69.0,6.7,27.0,"{'original': 6.7, 'alternative': None}",17.0,2.0,1.0,5.0,1.0,,1.0,2.0,5.0,,1.0,1.0,,,,4.0,2.0,,,Independiente Medellín,home,,,,
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",,7,False,37.0,30.0,3.0,2.0,0.0,1.0,,,,,76.0,52.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",4.0,,1.0,4.0,1.0,,,,2.0,1.0,1.0,2.0,,3.0,1.0,,,,,Independiente Medellín,home,,,,
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600,"{'value': 1300000, 'currency': 'EUR'}",,27,False,13.0,9.0,2.0,1.0,0.0,1.0,,,,,90.0,23.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,4.0,6.0,,,,1.0,6.0,1.0,3.0,2.0,,,1.0,1.0,1.0,2.0,,Independiente Medellín,home,,,,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",,9,False,17.0,15.0,2.0,1.0,0.0,,,,,,76.0,25.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",3.0,,,3.0,1.0,,2.0,,1.0,1.0,,,1.0,,,1.0,,,,Independiente Medellín,home,,,,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,True,33.0,27.0,7.0,4.0,0.0,,,,,,30.0,35.0,6.5,8.0,"{'original': 6.5, 'alternative': None}",,,,4.0,1.0,,,,,,,2.0,1.0,,,,,,,Independiente Medellín,home,,,,
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,19,True,4.0,1.0,1.0,1.0,0.0,,,,,,29.0,7.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,2.0,2.0,,,,1.0,1.0,,,,,1.0,,,,,,Independiente Medellín,home,,,,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200,"{'value': 930000, 'currency': 'EUR'}",,31,True,7.0,5.0,1.0,1.0,0.0,,,,,,14.0,8.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,1.0,,,,,,Independiente Medellín,home,,,,
Marcus Vinicius,Marcus Vinicius,,marcus-vinicius,M. Vinicius,F,10,188.0,193,1143795,"{'alpha2': 'BR', 'alpha3': 'BRA', 'name': 'Brazil', 'slug': 'brazil'}",EUR,856310400,"{'value': 540000, 'currency': 'EUR'}",,10,True,7.0,5.0,1.0,1.0,0.0,,,,,,14.0,13.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",3.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,Independiente Medellín,home,,,,
Eder Chaux,,,eder-chaux,E. Chaux,G,25,189.0,33,312338,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,693187200,"{'value': 335000, 'currency': 'EUR'}",,25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,
Baldomero Perlaza,,,baldomero-perlaza,B. Perlaza,M,14,188.0,82,285611,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,707702400,"{'value': 420000, 'currency': 'EUR'}",,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,
Jherson Mosquera,,,jherson-mosquera,J. Mosquera,M,6,173.0,66,1015662,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,937612800,"{'value': 410000, 'currency': 'EUR'}",,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,
