name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,aerialWon,duelLost,duelWon,dispossessed,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,totalOffside,totalContest,wonContest,totalCross,accurateCross,challengeLost,onTargetScoringAttempt,keyPass,captain,team,teamType,fieldTranslations,punches,totalKeeperSweeper,accurateKeeperSweeper,blockedScoringAttempt
Geovanni Banguera,geovanni-banguera,G. Banguera,G,12,187.0,22,823233,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,818985600,"{'value': 385000, 'currency': 'EUR'}",,,12,False,26.0,17.0,12.0,4.0,0.0,1.0,1.0,90.0,33.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,,
Dylan Lozano,dylan-lozano,D. Lozano,D,26,,9,1139988,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026691200,"{'value': 270000, 'currency': 'EUR'}",Dylan Lozano,,26,False,16.0,12.0,3.0,,0.0,,,90.0,43.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",3.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,Rionegro Águilas Doradas,home,,,,,
Sebastián Rodríguez,sebastian-rodriguez,S. Rodríguez,D,2,185.0,11,931697,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975801600,"{'value': 245000, 'currency': 'EUR'}",,,2,False,39.0,30.0,9.0,1.0,0.0,,,90.0,47.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,,1.0,2.0,,,3.0,,1.0,,2.0,1.0,1.0,,,,,,,,,Rionegro Águilas Doradas,home,,,,,
Diego Hernández,diego-hernandez,D. Hernández,D,5,190.0,24,980391,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957398400,"{'value': 370000, 'currency': 'EUR'}",,,5,False,54.0,40.0,10.0,4.0,0.0,,,90.0,64.0,7.2,15.0,"{'original': 7.2, 'alternative': None}",,2.0,2.0,4.0,,,4.0,1.0,,1.0,,2.0,,1.0,1.0,,,,,,,Rionegro Águilas Doradas,home,,,,,
Javier Alexander Mena,mena-javier-alexander,J. A. Mena,D,32,,8,1544743,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1102032000,,,,32,False,31.0,17.0,7.0,,0.0,,,90.0,56.0,6.7,25.0,"{'original': 6.7, 'alternative': None}",,2.0,6.0,5.0,,,3.0,,,2.0,1.0,1.0,,4.0,,1.0,1.0,1.0,1.0,1.0,,Rionegro Águilas Doradas,home,,,,,
Jaen Pineda,jaen-pineda,J. Pineda,M,16,180.0,51,935690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 620000, 'currency': 'EUR'}",,,16,False,53.0,46.0,9.0,8.0,0.0,,,90.0,67.0,7.5,12.0,"{'original': 7.5, 'alternative': None}",1.0,1.0,2.0,4.0,,,1.0,,1.0,2.0,1.0,,,,,5.0,1.0,1.0,,3.0,,Rionegro Águilas Doradas,home,,,,,
Guillermo Celis,guillermo-celis,G. Celis,M,28,177.0,89,329583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,736819200,"{'value': 470000, 'currency': 'EUR'}",,,28,False,48.0,40.0,2.0,2.0,0.0,,,90.0,66.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",,,5.0,5.0,2.0,,1.0,,1.0,3.0,1.0,2.0,,2.0,1.0,1.0,,,,,True,Rionegro Águilas Doradas,home,,,,,
Jesús Rivas,jesus-rivas,J. Rivas,M,22,175.0,56,882616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,860284800,"{'value': 820000, 'currency': 'EUR'}",,,22,False,45.0,35.0,5.0,2.0,0.0,,,89.0,59.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",1.0,,7.0,6.0,2.0,1.0,,,1.0,,6.0,1.0,,1.0,,,,2.0,1.0,,,Rionegro Águilas Doradas,home,,,,,
Jhojan Escobar,jhojan-escobar,J. Escobar,D,6,175.0,4,1174885,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,947894400,"{'value': 140000, 'currency': 'EUR'}",Jhojan Escobar,,6,False,14.0,7.0,1.0,,0.0,,,59.0,22.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,2.0,3.0,2.0,1.0,,2.0,,,,,1.0,,,,,,1.0,,1.0,,Rionegro Águilas Doradas,home,,,,,
Cristian Borja,borja-cristian,C. Martínez,F,,184.0,114,312194,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,567993600,"{'value': 105000, 'currency': 'EUR'}",,,17,False,15.0,10.0,1.0,,0.0,,,90.0,23.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",2.0,2.0,4.0,2.0,,,1.0,,,,,2.0,1.0,,,1.0,,,1.0,,,Rionegro Águilas Doradas,home,,,,,
