name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,errorLeadToAGoal,wasFouled,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,dispossessed,totalContest,wonContest,blockedScoringAttempt,interceptionWon,totalTackle,aerialLost,challengeLost,fouls,keyPass,shotOffTarget,onTargetScoringAttempt,goals,totalOffside,captain,team,teamType,fieldTranslations,outfielderBlock,bigChanceCreated
Guillermo Gómez,Guillermo Gómez,,guillermo-gomez,G. Gómez,G,34,187.0,6,1174006,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835920000.0,"{'value': 105000, 'currency': 'EUR'}",34,False,17.0,14.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,90.0,26.0,6.2,3.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,
David Murillo,,,david-murillo,D. Murillo,D,4,178.0,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 97000, 'currency': 'EUR'}",4,False,49.0,42.0,1.0,,0.0,4.0,,,1.0,,,,,88.0,64.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,Unión Magdalena,home,,,
Rafael Pérez,,,rafael-perez,R. Pérez,D,2,186.0,86,355846,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,631843200.0,"{'value': 375000, 'currency': 'EUR'}",2,False,43.0,37.0,3.0,1.0,0.0,4.0,,,1.0,,,,,90.0,52.0,6.3,9.0,"{'original': 6.3, 'alternative': None}",,,1.0,5.0,2.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,True,Unión Magdalena,home,,,
Martín Payares,,,martin-payares,M. Payares,D,5,183.0,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",5,False,67.0,62.0,11.0,9.0,0.0,4.0,,,,,,,,90.0,67.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,4.0,3.0,,,,,,,1.0,1.0,1.0,,,,,,,Unión Magdalena,home,,,
Dairon Mosquera,,,dairon-mosquera,D. Mosquera,D,30,182.0,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600.0,"{'value': 245000, 'currency': 'EUR'}",30,False,39.0,34.0,3.0,,0.0,1.0,2.0,,,,,,,45.0,50.0,6.7,11.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,1.0,2.0,,,,,,,,,2.0,1.0,,,,,,Unión Magdalena,home,,,
Óscar Barreto,,,oscar-barreto,Ó. Barreto,M,22,173.0,37,840530,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200.0,"{'value': 245000, 'currency': 'EUR'}",22,False,23.0,18.0,4.0,1.0,0.0,1.0,,,1.0,,,,,45.0,32.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,,3.0,,2.0,,,1.0,,,,1.0,1.0,3.0,,,,,Unión Magdalena,home,,,
Cristian Sención,,,cristian-sencion,C. Sención,M,16,179.0,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200.0,"{'value': 290000, 'currency': 'EUR'}",16,False,47.0,38.0,9.0,4.0,0.0,9.0,,,6.0,,,,,90.0,60.0,7.3,11.0,"{'original': 7.3, 'alternative': None}",2.0,,1.0,1.0,,,,1.0,,2.0,1.0,,,,,1.0,,,,Unión Magdalena,home,,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,179.0,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",10,False,60.0,52.0,4.0,3.0,0.0,2.0,,,,,,,,90.0,70.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",4.0,,1.0,3.0,,1.0,,,,1.0,2.0,,,2.0,1.0,,,,,Unión Magdalena,home,,,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,,4,1390760,{},EUR,1012867200.0,,8,False,18.0,14.0,1.0,,0.0,3.0,,,,,,,,57.0,28.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,,,5.0,2.0,,,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,,,,,Unión Magdalena,home,,,
Ricardo Márquez,,,ricardo-marquez,R. Márquez,F,21,187.0,117,974046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 245000, 'currency': 'EUR'}",21,False,27.0,20.0,3.0,2.0,0.0,4.0,,,4.0,,,,,90.0,39.0,7.9,10.0,"{'original': 7.9, 'alternative': None}",1.0,1.0,,2.0,,1.0,,1.0,,,,,2.0,4.0,1.0,1.0,1.0,1.0,,Unión Magdalena,home,,,
