name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,totalContest,wonContest,wasFouled,fouls,shotOffTarget,totalTackle,keyPass,blockedScoringAttempt,totalCross,challengeLost,outfielderBlock,interceptionWon,onTargetScoringAttempt,goals,accurateCross,dispossessed,totalOffside,captain,team,teamType,errorLeadToAGoal
Ruben Escobar,,,ruben-escobar,R. Escobar,G,12,190.0,9,790107,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,665798400.0,"{'value': 55000, 'currency': 'EUR'}",12,False,24.0,15.0,17.0,8.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,34.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Envigado FC,home,
Neymar Uribe,Neymar Uribe,,neymar-uribe,N. Uribe,D,27,172.0,32,1977622,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073606400.0,"{'value': 280000, 'currency': 'EUR'}",27,False,14.0,9.0,3.0,1.0,0.0,1.0,4.0,1.0,,,,,,45.0,24.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",1.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,Envigado FC,home,
Jhon Gamboa,,,jhon-gamboa,J. Gamboa,D,28,194.0,4,1414723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985046400.0,"{'value': 230000, 'currency': 'EUR'}",28,False,43.0,30.0,12.0,5.0,0.0,2.0,3.0,2.0,,,,,,90.0,48.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,Envigado FC,home,
Carlos Ramirez,,,carlos-ramirez,C. Ramirez,D,29,182.0,68,1130277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,578448000.0,"{'value': 54000, 'currency': 'EUR'}",29,False,42.0,37.0,8.0,5.0,0.0,1.0,2.0,2.0,,,,,,90.0,46.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,True,Envigado FC,home,
Emanuel Londoño,Emanuel Londoño,,emanuel-londono,E. Londoño,,33,,9,2063961,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,33,False,28.0,23.0,5.0,2.0,0.0,1.0,2.0,2.0,,,,,,90.0,45.0,6.9,12.0,"{'original': 6.9, 'alternative': None}",,2.0,,,,1.0,1.0,1.0,,,2.0,1.0,2.0,1.0,,,,,,,Envigado FC,home,
Julián Palacios,Julián Palacio,,julian-palacios,J. Palacios,D,6,179.0,39,1113527,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1060214400.0,"{'value': 760000, 'currency': 'EUR'}",6,False,36.0,31.0,4.0,2.0,0.0,1.0,4.0,,,,,,,90.0,45.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",,2.0,1.0,,3.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,Envigado FC,home,
Edison López,,,edison-lopez,E. López,M,21,178.0,8,941672,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940377600.0,"{'value': 185000, 'currency': 'EUR'}",21,False,48.0,40.0,3.0,1.0,0.0,,,1.0,,,,,,90.0,51.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,3.0,,,,3.0,,,,,,,,,1.0,1.0,,,,,Envigado FC,home,
Carlos Torres,Carlos Torres,,carlos-torres,C. Torres,F,30,,109,1116061,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1035072000.0,"{'value': 320000, 'currency': 'EUR'}",80,False,4.0,2.0,,,0.0,,2.0,,,,,,,62.0,11.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,,,,2.0,1.0,,,,,,,,,,,,,,,Envigado FC,home,
Daniel Arcila,Daniel Arcila,,daniel-arcila,D. Arcila,M,26,,37,1113526,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021507200.0,,26,False,26.0,22.0,2.0,2.0,0.0,,2.0,,,,,,,83.0,42.0,8.0,9.0,"{'original': 8, 'alternative': None}",,1.0,,,2.0,1.0,,,2.0,1.0,6.0,,,,1.0,1.0,3.0,,,,Envigado FC,home,
Luis Díaz,Luis Díaz,,luis-diaz,L. Díaz,M,34,,83,1219046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1080086400.0,,34,False,14.0,13.0,,,0.0,1.0,3.0,2.0,,,,,,90.0,28.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",1.0,5.0,1.0,,1.0,2.0,1.0,1.0,2.0,,1.0,,,1.0,,,,1.0,2.0,,Envigado FC,home,
Bayron Garcés,,,bayron-garces,B. Garcés,F,11,175.0,148,1017019,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,738720000.0,"{'value': 320000, 'currency': 'EUR'}",11,False,6.0,4.0,,,0.0,,3.0,,,,,,,67.0,15.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,2.0,1.0,,3.0,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,Envigado FC,home,
Geindry Cuervo,Geindry Cuervo,,geindry-cuervo,G. Cuervo,D,15,,19,1465455,{},EUR,998352000.0,,15,True,15.0,6.0,7.0,,0.0,,2.0,1.0,,,,,,45.0,27.0,6.2,14.0,"{'original': 6.2, 'alternative': None}",,2.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,2.0,,,Envigado FC,home,
Didier Dawson,Didier Dawson,,didier-dawson,D. Dawson,M,7,173.0,46,2048967,"{'alpha2': 'PA', 'alpha3': 'PAN', 'name': 'Panama', 'slug': 'panama'}",EUR,1128902400.0,"{'value': 81000, 'currency': 'EUR'}",7,True,6.0,6.0,,,0.0,,1.0,,,,,,,28.0,11.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,2.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,Envigado FC,home,
Santiago Londono,Santiago Londoño,,londono-santiago,S. Londoño,F,9,184.0,191,1508614,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1204243200.0,,19,True,3.0,2.0,,,0.0,,2.0,,,,,,,23.0,5.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,,,2.0,,,,,,,,,,,,,,,,Envigado FC,home,
Nilzo Ramírez,,,nilzo-ramirez,N. Ramírez,M,16,170.0,20,1831399,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1115078400.0,,16,True,,,,,0.0,,2.0,,,,,,,12.0,2.0,6.5,,"{'original': 6.5, 'alternative': None}",,1.0,,,2.0,1.0,,,,,,,,,,,,,,,Envigado FC,home,
