name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,shotOffTarget,blockedScoringAttempt,totalClearance,outfielderBlock,totalTackle,fouls,onTargetScoringAttempt,accurateCross,keyPass,totalContest,dispossessed,wasFouled,totalOffside,captain,team,teamType,saves,totalKeeperSweeper,accurateKeeperSweeper,wonContest,interceptionWon,goals
Juan Castillo,Juan Castillo,,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",1,False,23.0,21.0,9.0,7.0,0.0,90.0,33.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Fortaleza CEIF,home,,,,,,
Diego Ruiz,,,diego-ruiz,D. Ruiz,D,30,,3,974032,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,875750400.0,"{'value': 205000, 'currency': 'EUR'}",30,False,38.0,23.0,5.0,2.0,0.0,90.0,63.0,6.4,22.0,"{'original': 6.4, 'alternative': None}",4.0,3.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,Fortaleza CEIF,home,,,,,,
Yesid Díaz,,,yesid-diaz,Y. Díaz,D,6,191.0,15,974309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869702400.0,"{'value': 410000, 'currency': 'EUR'}",6,False,48.0,40.0,8.0,5.0,0.0,45.0,49.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,Fortaleza CEIF,home,,,,,,
Harold Balanta,Harold Balanta,,harold-balanta,H. Balanta,D,18,180.0,7,1129436,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890006400.0,"{'value': 110000, 'currency': 'EUR'}",18,False,65.0,59.0,8.0,6.0,0.0,90.0,71.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",,1.0,2.0,5.0,4.0,2.0,,,2.0,,2.0,2.0,,,,,,,,,Fortaleza CEIF,home,,,,,,
Santiago Cuero,Santiago Cuero,,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",15,False,37.0,32.0,3.0,2.0,0.0,67.0,47.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",2.0,,1.0,1.0,2.0,1.0,,,,,1.0,,1.0,,,,,,,,Fortaleza CEIF,home,,,,,,
David Camacho,,,david-camacho,D. Camacho,M,22,188.0,26,879886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866073600.0,"{'value': 390000, 'currency': 'EUR'}",22,False,34.0,28.0,2.0,1.0,0.0,84.0,40.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",1.0,4.0,1.0,8.0,1.0,,1.0,,,,,4.0,,1.0,2.0,,,,,,Fortaleza CEIF,home,,,,,,
Leonardo Pico,,,leonardo-pico,L. Pico,M,14,177.0,24,820043,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686534400.0,"{'value': 205000, 'currency': 'EUR'}",14,False,71.0,59.0,7.0,5.0,0.0,90.0,74.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",,,,1.0,,,,,,,,,,,2.0,1.0,,,,,Fortaleza CEIF,home,,,,,,
Ronaldo Pájaro,Ronaldo Pájaro,,ronaldo-pajaro,R. Pájaro,M,13,172.0,36,1175016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013990400.0,"{'value': 855000, 'currency': 'EUR'}",13,False,54.0,45.0,5.0,1.0,0.0,90.0,64.0,6.8,11.0,"{'original': 6.8, 'alternative': None}",1.0,2.0,,3.0,1.0,,2.0,2.0,1.0,,1.0,1.0,,,1.0,,,,,True,Fortaleza CEIF,home,,,,,,
Kelvin Florez,Kelvin Florez,,kelvin-florez,K. Florez,M,16,177.0,25,1388938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1076112000.0,"{'value': 195000, 'currency': 'EUR'}",16,False,27.0,21.0,2.0,,0.0,66.0,40.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,,4.0,2.0,,1.0,2.0,,,1.0,,,,,,2.0,1.0,,,Fortaleza CEIF,home,,,,,,
Luis Sánchez,,,luis-sanchez,L. Sánchez,M,10,171.0,96,963525,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,969235200.0,"{'value': 425000, 'currency': 'EUR'}",10,False,24.0,17.0,2.0,,0.0,51.0,35.0,6.8,13.0,"{'original': 6.8, 'alternative': None}",3.0,,,2.0,2.0,,2.0,,,,,,,1.0,2.0,,2.0,2.0,1.0,,Fortaleza CEIF,home,,,,,,
