name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalContest,wonContest,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,onTargetScoringAttempt,goals,totalClearance,interceptionWon,totalTackle,fouls,keyPass,bigChanceMissed,shotOffTarget,blockedScoringAttempt,challengeLost,dispossessed,bigChanceCreated,captain,team,teamType,outfielderBlock,penaltyConceded
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200,"{'value': 870000, 'currency': 'EUR'}",,29,False,21.0,18.0,6.0,3.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,90.0,30.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
Léyser Chaverra,,,leyser-chaverra-renteria,L. Chaverra,D,2,175.0,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800,"{'value': 875000, 'currency': 'EUR'}",,2,False,95.0,80.0,8.0,2.0,0.0,4.0,,,,,,90.0,119.0,7.9,19.0,"{'original': 7.9, 'alternative': None}",3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,,,,,,,,Independiente Medellín,home,,
Kevin Mantilla,Kevin Mantilla,,kevin-mantilla,K. Mantilla,D,4,191.0,547,1117066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1053561600,"{'value': 1300000, 'currency': 'EUR'}",,4,False,16.0,13.0,1.0,,0.0,4.0,,,,,,31.0,22.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,3.0,,,,4.0,,1.0,,,,,,,,,,Independiente Medellín,home,,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400,"{'value': 545000, 'currency': 'EUR'}",,33,False,69.0,58.0,4.0,2.0,0.0,,,,,,,90.0,82.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,,,1.0,2.0,,1.0,,,1.0,2.0,1.0,3.0,1.0,,,,,Independiente Medellín,home,,
Mender García,,,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800,"{'value': 830000, 'currency': 'EUR'}",,8,False,22.0,18.0,1.0,,0.0,2.0,,,1.0,,,61.0,33.0,7.0,7.0,"{'original': 7, 'alternative': None}",1.0,1.0,,1.0,1.0,1.0,,2.0,,,,,,3.0,,1.0,,,,Independiente Medellín,home,,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,False,102.0,87.0,13.0,10.0,0.0,3.0,,,2.0,,,90.0,112.0,7.4,15.0,"{'original': 7.4, 'alternative': None}",,,1.0,1.0,1.0,,,1.0,2.0,,,1.0,,,,,,,True,Independiente Medellín,home,,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200,"{'value': 930000, 'currency': 'EUR'}",,31,False,41.0,38.0,,,0.0,2.0,,,2.0,,,90.0,52.0,7.0,6.0,"{'original': 7, 'alternative': None}",1.0,,4.0,,6.0,1.0,,,,,,1.0,,1.0,2.0,,2.0,,,Independiente Medellín,home,,
Yeferson Rodallega,,,yeferson-rodallega,Y. Rodallega,D,17,178.0,51,1017363,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,974937600,"{'value': 670000, 'currency': 'EUR'}",,17,False,23.0,21.0,,,0.0,1.0,,,,,,78.0,35.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",4.0,2.0,,1.0,,,,,,,,1.0,,,,,,,,Independiente Medellín,home,,
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600,"{'value': 595000, 'currency': 'EUR'}",,7,False,41.0,36.0,2.0,1.0,0.0,1.0,,,,,,61.0,50.0,7.7,7.0,"{'original': 7.7, 'alternative': None}",4.0,3.0,,,1.0,1.0,,,,1.0,1.0,4.0,,1.0,,,,1.0,,Independiente Medellín,home,,
Francisco Fydriszewski,,,francisco-fydriszewski,F. Fydriszewski,F,19,186.0,567,594430,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,729561600,"{'value': 540000, 'currency': 'EUR'}",,19,False,13.0,9.0,,,0.0,5.0,,,2.0,,,78.0,19.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",,,2.0,3.0,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,,,Independiente Medellín,home,,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200,"{'value': 765000, 'currency': 'EUR'}",,9,False,43.0,30.0,2.0,1.0,0.0,1.0,1.0,,,,,90.0,55.0,7.6,19.0,"{'original': 7.6, 'alternative': None}",3.0,1.0,,,3.0,1.0,,,,1.0,,7.0,,2.0,,,2.0,,,Independiente Medellín,home,,
Luis Escorcia,Luis Escorcia,,luis-escorcia,L. Escorcia,D,39,185.0,14,1470059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073433600,"{'value': 260000, 'currency': 'EUR'}",,39,True,47.0,42.0,8.0,5.0,0.0,2.0,,,,,,59.0,52.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,2.0,1.0,2.0,,,1.0,1.0,1.0,,,,1.0,,,,,,Independiente Medellín,home,,
Julian Angulo,Julian Angulo,,julian-angulo,J. Angulo,M,11,183.0,22,1175035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021334400,"{'value': 265000, 'currency': 'EUR'}",,11,True,10.0,7.0,,,0.0,2.0,1.0,1.0,,,,29.0,14.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,1.0,,1.0,,,,,1.0,,1.0,,,,,,1.0,,Independiente Medellín,home,,
Brayan Léon Muñiz,Brayan Léon Muñiz,,brayan-leon-muniz,B. L. Muñiz,F,27,175.0,358,1102252,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,971913600,"{'value': 1300000, 'currency': 'EUR'}",,27,True,9.0,8.0,1.0,1.0,0.0,,,,,,,29.0,12.0,6.9,1.0,"{'original': 6.9, 'alternative': None}",,,,,1.0,2.0,,,,,1.0,,,,1.0,,,,,Independiente Medellín,home,,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600,"{'value': 1500000, 'currency': 'EUR'}",,13,True,7.0,5.0,,,0.0,1.0,,,1.0,,,12.0,11.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",3.0,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,
