name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,totalTackle,wasFouled,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,fouls,keyPass,aerialWon,blockedScoringAttempt,outfielderBlock,totalCross,accurateCross,onTargetScoringAttempt,interceptionWon,challengeLost,totalContest,aerialLost,dispossessed,shotOffTarget,wonContest,totalOffside,captain,team,teamType,fieldTranslations,goodHighClaim,bigChanceCreated,goals
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800.0,"{'value': 185000, 'currency': 'EUR'}",,1,False,24.0,15.0,19.0,10.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,90.0,37.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Daniel Mera,Daniel Mera,,daniel-mera,D. Mera,D,3,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400.0,"{'value': 245000, 'currency': 'EUR'}",183.0,3,False,8.0,7.0,,,0.0,,1.0,,,,,,19.0,11.0,3.4,3.0,"{'original': 3.4, 'alternative': None}",1.0,1.0,1.0,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Rafael Pérez,,,rafael-perez,R. Pérez,D,2,86,355846,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,631843200.0,"{'value': 375000, 'currency': 'EUR'}",186.0,2,False,19.0,11.0,6.0,1.0,0.0,4.0,4.0,2.0,1.0,,,,90.0,30.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,,1.0,1.0,2.0,,,,,,,,,,,,,Unión Magdalena,home,,,,
Martín Payares,,,martin-payares,M. Payares,D,5,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400.0,"{'value': 410000, 'currency': 'EUR'}",183.0,5,False,29.0,21.0,7.0,1.0,0.0,2.0,3.0,1.0,,,,,90.0,44.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,Unión Magdalena,home,,,,
Dairon Mosquera,,,dairon-mosquera,D. Mosquera,D,30,31,834223,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709257600.0,"{'value': 245000, 'currency': 'EUR'}",182.0,30,False,26.0,21.0,7.0,4.0,0.0,3.0,5.0,2.0,1.0,,,,90.0,49.0,6.7,13.0,"{'original': 6.7, 'alternative': None}",4.0,2.0,,,,,3.0,1.0,,,1.0,1.0,,,,,,,Unión Magdalena,home,,,,
Fabián Cantillo,,,fabian-cantillo,F. Cantillo,M,24,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400.0,"{'value': 390000, 'currency': 'EUR'}",184.0,24,False,33.0,25.0,8.0,7.0,0.0,4.0,2.0,2.0,2.0,,,,90.0,50.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",3.0,1.0,,,,,3.0,,,,,1.0,1.0,,,,,,Unión Magdalena,home,,,,
Cristian Sención,,,cristian-sencion,C. Sención,M,16,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200.0,"{'value': 290000, 'currency': 'EUR'}",179.0,16,False,32.0,24.0,5.0,2.0,0.0,3.0,1.0,2.0,,,,,72.0,38.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",2.0,,,1.0,,,,,,,,,1.0,1.0,,,,,Unión Magdalena,home,,,,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,4,1390760,{},EUR,1012867200.0,,,8,False,7.0,7.0,2.0,2.0,0.0,,,,,,,,45.0,11.0,6.5,2.0,"{'original': 6.5, 'alternative': None}",1.0,,,,1.0,,,,,,,1.0,,,,,,,Unión Magdalena,home,,,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800.0,"{'value': 480000, 'currency': 'EUR'}",179.0,10,False,27.0,17.0,2.0,1.0,0.0,1.0,,,,,,,84.0,39.0,6.6,17.0,"{'original': 6.6, 'alternative': None}",1.0,,,1.0,3.0,,5.0,,,,,1.0,,,1.0,,,True,Unión Magdalena,home,,,,
Juan José Tello,Juan José Tello,,juan-jose-tello,J. J. Tello,D,26,11,1108713,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1021593600.0,,,26,False,19.0,13.0,2.0,1.0,0.0,3.0,,2.0,,,,,72.0,29.0,6.7,9.0,"{'original': 6.7, 'alternative': None}",2.0,1.0,1.0,,1.0,,1.0,1.0,,,,2.0,,,,1.0,1.0,,Unión Magdalena,home,,,,
Ricardo Márquez,,,ricardo-marquez,R. Márquez,F,21,117,974046,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 245000, 'currency': 'EUR'}",187.0,21,False,20.0,11.0,3.0,,0.0,5.0,1.0,,3.0,,,,72.0,38.0,6.2,18.0,"{'original': 6.2, 'alternative': None}",10.0,1.0,,,,1.0,,,,,1.0,6.0,4.0,,,2.0,2.0,,Unión Magdalena,home,,,,
Orles Aragón,,,orles-aragon,O. Aragón,F,11,6,930209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,866246400.0,"{'value': 190000, 'currency': 'EUR'}",180.0,11,True,16.0,13.0,,,0.0,5.0,,2.0,2.0,,,,45.0,28.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",2.0,,,1.0,2.0,,,,1.0,1.0,,1.0,,1.0,1.0,,,,Unión Magdalena,home,,,,
Juan Diego Giraldo,,,juan-diego-giraldo,J. D. Giraldo,M,20,4,873789,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869356800.0,"{'value': 185000, 'currency': 'EUR'}",179.0,20,True,10.0,8.0,2.0,,0.0,,,,,,,,18.0,12.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,,,1.0,,,,,,,,,,,,,Unión Magdalena,home,,,,
