goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.0,0.0,0.0,5.0,62.5,2.0,100.0,2.0,0.0,79.41,7.0,70.0,90,0.0,1.0,1.0,1.0,0,0,0,0.0,0.0,0,0,0,0,5.0,0.0,27.0,0.0,0.0,0.0,4.0,80.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,Joiner Montero,Deportivo La Equidad
0.07,0.0,0.0,1.8,69.23,1.8,58.7,0.33,0.0,81.91,3.6,63.53,90,0.07,0.47,0.07,1.0,0,0,0,0.47,0.0,0,0,0,0,4.0,0.0,45.27,0.2,0.0,0.0,5.07,52.41,1.53,3.4,0.2,0.0,0.6,0.27,0.07,11.11,0.0,0.0,,0.0,0.0,0.0,Juan Pablo Vargas,Millonarios
0.0,0.0,0.0,1.0,100.0,5.0,50.0,0.0,0.0,60.0,6.0,54.55,90,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0,0,0,0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,33.33,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Juan Mera,Deportes Tolima
0.0,0.27,0.0,1.39,52.0,1.92,57.14,0.16,0.05,82.89,3.31,54.87,90,0.53,0.8,0.11,1.02,0,0,0,0.43,0.11,0,0,0,0,1.55,0.05,28.49,0.11,0.0,0.0,2.67,47.62,1.5,4.38,0.43,0.05,0.37,0.11,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,José Moya,Deportes Tolima
0.0,0.0,0.0,2.53,66.67,2.99,65.0,0.23,0.0,85.53,5.52,65.75,90,1.26,0.46,0.23,1.15,0,0,0,0.23,0.23,0,0,0,0,4.02,0.0,46.21,0.46,0.0,0.0,5.52,60.76,0.8,4.14,0.23,0.0,0.34,0.0,0.23,0.0,0.0,0.0,,0.0,0.0,0.0,Felipe Aguilar,Atlético Nacional
0.25,0.29,0.0,1.33,53.33,2.75,70.21,0.08,0.0,79.01,4.08,63.64,90,0.46,0.92,0.13,1.0,0,0,0,0.67,0.13,0,0,0,0,1.75,0.0,29.33,0.29,0.08,50.0,4.13,47.6,1.46,3.54,0.17,0.0,1.21,0.5,0.04,20.69,0.0,0.08,,0.0,0.04,0.0,Andrés Cadavid,Independiente Medellín
0.21,0.42,0.07,2.94,56.0,0.91,46.43,1.54,0.0,82.45,3.85,53.4,90,0.7,0.63,1.12,1.26,0,0,0,0.84,0.21,0,0,0,0,8.39,0.14,27.27,1.54,1.75,26.88,0.91,39.39,0.63,0.28,0.14,0.07,2.24,0.77,0.28,9.38,0.0,0.56,,0.0,0.0,0.0,Fredy Hinestroza,Junior Barranquilla
0.29,0.14,0.0,0.87,41.38,1.88,56.52,0.07,0.0,81.72,2.74,50.67,90,0.29,0.87,0.14,1.08,0,0,0,1.01,0.07,0,0,0,0,1.88,0.0,32.26,0.29,0.0,0.0,5.63,57.78,1.23,5.12,0.29,0.22,1.23,0.72,0.14,23.53,0.0,0.07,,0.0,0.0,0.0,Carlos Ramirez,Deportivo Pereira
0.0,0.0,0.0,2.12,66.67,1.59,60.0,0.0,0.0,72.13,3.71,63.64,90,0.53,1.06,0.0,1.06,0,0,0,0.53,0.0,0,0,0,0,2.12,0.0,23.29,0.0,0.0,0.0,3.71,38.89,1.59,5.29,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Brayam Palacios,Unión Magdalena
0.05,0.15,0.0,1.98,50.63,0.3,35.29,0.64,0.15,76.48,2.28,47.92,90,0.2,0.74,0.74,1.09,0,0,0,0.45,0.15,0,0,0,0,7.43,0.3,27.54,1.44,1.04,27.63,3.07,49.6,0.94,1.34,0.4,0.0,0.35,0.15,0.05,14.29,0.0,0.25,,0.0,0.0,0.0,Yerson Candelo,Atlético Nacional
0.0,0.64,0.0,3.74,63.51,2.39,69.77,0.32,0.0,80.32,6.13,65.81,90,2.15,1.59,0.4,1.12,0,0,0,0.96,0.24,0,0,0,0,3.42,0.0,39.98,0.4,0.08,100.0,3.66,45.54,2.39,3.35,0.16,0.0,1.27,0.0,0.32,0.0,0.08,0.0,,0.0,0.0,0.0,Jeisson Quiñónes,Rionegro Águilas Doradas
0.0,0.17,0.0,3.56,58.72,0.72,48.15,1.11,0.0,82.43,4.28,56.62,90,0.17,1.11,0.44,1.0,0,0,0,0.56,0.06,0,0,0,0,7.89,0.11,33.89,1.11,0.61,18.64,1.22,42.31,1.06,1.0,0.56,0.06,0.39,0.11,0.11,0.0,0.06,0.0,,0.0,0.0,0.0,Omar Bertel,Millonarios
0.24,0.0,0.0,0.72,42.86,2.17,64.29,0.0,0.0,74.71,2.89,57.14,90,0.48,0.48,0.0,1.44,0,0,0,0.72,0.0,0,0,0,0,0.96,0.0,30.56,0.0,0.0,0.0,3.85,40.0,3.37,3.85,0.48,0.0,1.44,0.24,0.48,16.67,0.0,0.0,,0.0,0.0,0.0,Sergio Mosquera,Deportes Tolima
0.0,0.25,0.0,3.05,56.48,0.75,53.57,1.15,0.15,80.85,3.8,55.88,90,0.6,1.05,0.45,1.0,0,0,0,0.55,0.1,0,0,0,0,3.8,0.1,28.5,0.6,0.55,18.97,1.15,31.51,1.45,1.15,0.45,0.05,0.6,0.05,0.25,0.0,0.05,0.1,,0.05,0.0,0.0,Junior Hernández,Deportes Tolima
0.0,0.0,0.0,4.51,60.71,1.33,55.56,1.06,0.27,78.1,5.84,59.46,90,1.06,0.8,1.33,1.06,0,0,0,0.8,0.0,0,0,0,0,6.64,0.0,28.41,1.33,0.27,25.0,1.59,42.86,0.8,1.59,0.53,0.27,1.33,0.53,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Leider Riascos,Deportes Tolima
0.0,0.41,0.0,2.12,47.37,0.35,46.15,0.82,0.24,76.4,2.47,47.19,90,0.53,0.47,0.65,1.0,0,0,0,0.82,0.18,0,0,0,0,6.24,0.06,25.72,2.12,1.82,25.62,4.0,50.75,0.65,1.18,0.77,0.0,1.06,0.35,0.41,0.0,0.0,0.12,,0.0,0.0,0.0,Gilberto Garcia,Deportivo Pasto
0.0,0.38,0.0,2.63,41.84,0.13,13.33,0.51,0.19,73.15,2.76,38.05,90,0.9,0.9,0.64,1.15,0,0,0,0.77,0.13,0,0,0,0,8.53,0.32,20.98,2.76,2.25,27.78,2.12,46.48,0.83,0.19,1.54,0.0,2.44,0.51,0.83,0.0,0.0,0.06,,0.0,0.0,0.0,Marlon Piedrahita,Once Caldas
0.0,0.28,0.0,2.2,57.32,2.2,55.95,0.33,0.0,85.93,4.4,56.63,90,0.51,0.75,0.19,1.03,0,0,0,0.61,0.05,0,0,0,0,3.18,0.0,45.44,0.05,0.05,100.0,3.51,60.98,1.97,2.15,0.84,0.0,0.33,0.0,0.05,0.0,0.0,0.05,,0.0,0.0,0.0,Andrés Llinás,Millonarios
0.0,0.23,0.0,2.17,59.38,1.26,52.38,0.34,0.11,72.3,3.43,56.6,90,0.46,1.26,0.11,1.03,0,0,0,0.57,0.11,0,0,0,0,6.17,0.11,24.44,0.57,0.69,37.5,3.54,60.78,1.6,2.28,0.23,0.0,0.46,0.0,0.11,0.0,0.0,0.0,,0.0,0.0,0.11,Juan Angulo,Deportes Tolima
0.0,0.5,0.0,1.2,44.44,1.6,57.14,0.1,0.05,84.26,2.8,50.91,90,0.1,0.85,0.3,1.0,0,0,0,0.6,0.25,0,0,0,0,3.2,0.05,38.02,0.2,0.0,0.0,4.8,56.47,1.6,4.75,0.35,0.0,0.2,0.0,0.05,0.0,0.0,0.05,,0.0,0.05,0.0,Emanuel Olivera,Atlético Nacional
0.0,0.43,0.0,3.01,56.0,1.4,86.67,0.22,0.11,79.75,4.41,63.08,90,0.54,1.72,0.11,1.29,0,0,0,1.18,0.0,0,0,0,0,2.9,0.0,33.87,0.43,0.0,0.0,4.84,49.45,2.9,2.58,0.65,0.11,0.65,0.0,0.0,0.0,0.0,0.22,,0.0,0.0,0.0,Jorge Segura,América de Cali
0.17,0.12,0.06,3.32,55.88,0.35,21.43,0.7,0.12,84.32,3.67,48.46,90,1.11,1.05,0.82,1.22,0,0,0,0.7,0.12,0,0,0,0,7.41,0.17,29.81,1.34,0.82,27.45,2.16,56.92,1.34,0.58,0.64,0.06,0.64,0.29,0.12,27.27,0.0,0.12,,0.0,0.0,0.0,Juan Mosquera,Independiente Medellín
0.0,0.0,0.0,2.29,57.14,0.86,75.0,0.29,0.0,69.42,3.14,61.11,90,0.29,0.29,0.29,1.14,0,0,0,0.29,0.0,0,0,0,0,8.29,0.0,24.0,2.29,0.29,50.0,1.14,36.36,1.14,0.86,0.29,0.0,1.43,0.0,0.86,0.0,0.0,0.57,,0.0,0.0,0.0,Andrés Román,Millonarios
0.07,0.21,0.0,2.51,62.5,1.58,62.86,0.21,0.0,79.41,4.08,62.64,90,0.5,0.79,0.36,1.15,0,0,0,0.79,0.14,0,0,0,0,1.58,0.0,25.15,0.21,0.0,0.0,3.3,51.69,2.08,3.58,0.36,0.0,0.5,0.14,0.14,14.29,0.0,0.0,,0.0,0.07,0.0,Brayan Córdoba,Once Caldas
0.0,0.16,0.0,2.89,63.53,2.46,67.65,0.48,0.0,81.83,5.34,65.36,90,0.75,0.91,0.16,1.07,0,0,0,0.75,0.11,0,0,0,0,3.05,0.0,31.53,0.16,0.0,0.0,3.05,51.35,1.28,2.62,0.43,0.11,1.07,0.32,0.27,0.0,0.0,0.0,,0.0,0.0,0.0,Daniel Rosero Valencia,Junior Barranquilla
0.0,0.1,0.0,2.25,73.77,1.55,67.39,0.35,0.0,79.66,3.8,71.03,90,0.85,0.6,0.05,1.0,0,0,0,0.8,0.2,0,0,0,0,1.85,0.0,25.45,0.2,0.0,0.0,2.55,45.95,1.75,2.25,0.05,0.0,0.4,0.1,0.05,0.0,0.0,0.0,,0.0,0.0,0.0,Kevin Riascos,Deportivo Pasto
0.0,0.0,0.0,0.9,69.23,0.5,62.5,0.0,0.0,87.35,1.4,66.67,90,0.6,0.3,0.0,1.2,0,0,0,0.3,0.3,0,0,0,0,4.09,0.0,49.53,0.0,0.0,0.0,6.48,60.19,1.5,2.19,0.1,0.1,0.4,0.1,0.2,0.0,0.0,0.0,,0.0,0.0,0.0,Cristian Castro,Atlético Nacional
0.0,0.29,0.0,1.07,71.43,1.57,68.75,0.21,0.0,74.27,2.64,69.81,90,0.43,0.57,0.0,1.0,0,0,0,0.57,0.07,0,0,0,0,2.64,0.0,29.07,0.07,0.0,0.0,6.14,48.31,0.64,3.71,0.0,0.0,0.57,0.14,0.21,0.0,0.0,0.07,,0.0,0.0,0.0,Julián Quiñones,Deportes Tolima
0.0,0.0,0.0,2.87,59.57,1.43,63.64,0.82,0.0,78.57,4.3,60.87,90,0.31,0.51,0.31,1.13,0,0,0,0.41,0.1,0,0,0,0,3.79,0.2,20.27,0.61,0.51,15.63,1.02,35.71,1.43,1.95,0.61,0.0,0.31,0.1,0.0,0.0,0.0,0.1,,0.0,0.0,0.0,Yulián Gómez,Independiente Medellín
0.0,0.18,0.0,3.45,51.38,0.99,66.67,0.43,0.0,80.35,4.44,54.14,90,0.62,1.11,0.74,1.05,0,0,0,0.49,0.12,0,0,0,0,5.49,0.0,27.99,0.55,0.25,17.39,2.22,48.65,2.1,1.97,0.86,0.0,0.43,0.0,0.12,0.0,0.06,0.06,,0.0,0.0,0.0,Jonathan Marulanda,Deportes Tolima
