goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.63,0.06,0.0,3.27,61.29,1.55,43.55,0.46,0.06,68.84,4.81,54.19,90,2.29,0.57,0.86,1.03,0,0,0,1.2,0.11,0,0,0,0,6.99,0.11,15.7,0.92,0.4,31.82,0.74,54.17,0.17,0.86,0.34,0.11,2.35,0.97,0.52,26.83,0.17,0.23,,0,0,0,Luis Carlos Ruiz Morales,Internacional de Palmira
0.66,0.2,0.0,1.37,56.25,0.61,24.0,0.25,0.1,72.52,1.99,39.8,90,0.92,0.25,0.31,1.07,0,0,0,1.07,0.1,0,0,0,0,5.24,0.05,14.51,0.97,0.1,25.0,0.51,58.82,0.2,0.51,0.15,0.15,3.05,1.32,0.46,21.67,0.0,0.97,,0,0,0,Dayro Moreno,Atlético Bucaramanga
0.65,0.39,0.0,1.62,43.86,1.69,40.0,0.78,0.0,74.24,3.31,41.8,90,0.65,0.65,0.58,1.1,0,0,0,0.78,0.13,0,0,0,0,5.45,0.0,14.2,0.91,0.0,0.0,0.91,93.33,0.06,0.58,0.32,0.26,4.09,1.69,0.58,15.87,0.13,0.78,,0,0,0,Miguel Borja,Junior Barranquilla
0.0,0.0,0.0,6.33,81.82,3.52,100.0,2.81,0.7,76.32,9.84,87.5,90,2.11,0.7,0.7,2.11,0,0,0,0.7,0.0,0,0,0,0,9.14,0.7,20.39,2.81,1.41,40.0,0.0,0.0,1.41,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,,0,0,0,Edwar López,Independiente Medellín
0.62,0.27,0.0,3.22,44.76,0.96,31.11,0.55,0.07,68.47,4.18,40.67,90,2.47,1.03,0.89,1.1,0,0,0,1.1,0.21,0,0,0,0,3.63,0.07,10.42,1.03,0.07,16.67,0.27,40.0,0.27,0.41,0.21,0.07,3.02,1.44,0.34,20.45,0.07,0.82,,0,0,0,Leonardo Castro,Deportivo Pereira
0.5,0.33,0.08,1.75,47.73,2.75,46.48,0.42,0.17,78.07,4.5,46.96,90,0.92,1.25,0.33,1.08,0,0,0,1.25,0.33,0,0,0,0,4.25,0.08,12.18,0.5,0.0,0.0,0.33,80.0,0.08,0.92,0.33,0.33,3.5,1.84,0.33,14.29,0.0,1.5,,0,0,0,Andrés Rentería,Jaguares de Córdoba
0.32,0.13,0.0,2.05,49.23,1.41,31.43,0.9,0.26,76.99,3.45,40.0,90,0.83,0.7,0.77,1.09,0,0,0,1.09,0.0,0,0,0,0,7.1,0.13,17.33,1.47,0.19,33.33,1.02,76.19,0.19,0.64,0.32,0.32,2.75,1.02,0.51,11.63,0.06,0.64,,0,0,0,Adrián Ramos,América de Cali
0.27,0.27,0.0,0.94,46.67,1.48,45.83,0.0,0.13,62.3,2.43,46.15,90,0.54,0.4,0.27,1.21,0,0,0,1.21,0.13,0,0,0,0,4.45,0.27,10.24,1.35,0.13,16.67,0.13,25.0,0.4,0.81,0.0,0.13,3.23,0.81,0.4,8.33,0.13,0.27,,0,0,0,Marco Pérez,Rionegro Águilas Doradas
0.56,0.17,0.06,2.4,41.35,2.29,36.94,0.11,0.0,72.59,4.68,39.07,90,1.78,1.23,1.62,1.23,0,0,0,0.67,0.11,0,0,0,0,4.8,0.11,10.93,0.84,0.0,0.0,0.28,71.43,0.28,0.33,0.28,0.22,3.46,1.12,0.67,16.13,0.11,0.72,,0,0,0,Luciano Pons,Independiente Medellín
0.36,0.21,0.05,4.25,48.52,1.76,40.96,1.55,0.16,67.06,6.01,46.03,90,2.02,1.76,1.4,1.24,0,0,0,0.73,0.05,0,0,0,0,6.06,0.26,11.71,1.45,0.0,0.0,0.31,60.0,0.31,0.31,0.52,0.21,3.63,1.3,0.98,10.0,0.0,0.67,,0,0,0,Pablo Sabbag,Deportivo La Equidad
