goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0.0,0.84,0.0,5.57,71.43,1.67,75.0,0.56,0.56,75.56,7.24,72.22,90,1.11,1.39,0.28,1.39,0,0,0,0.84,0.28,0,0,0,0,5.85,0.56,28.42,1.95,0.28,100.0,4.18,48.39,1.67,2.23,0.56,0.0,1.11,0.56,0.28,0.0,0.0,0.28,,0.0,0.0,0.0,Carlos Esparragoza,Deportes Tolima
0.17,0.17,0.0,4.17,46.3,0.0,0.0,1.17,0.0,79.14,4.17,46.3,90,2.5,1.0,2.17,1.0,0,0,0,0.33,0.5,0,0,0,0,22.33,0.5,46.17,3.83,1.33,22.22,6.17,59.68,0.0,0.0,0.17,0.0,4.5,0.83,2.0,3.7,0.0,0.0,,0.0,0.0,0.0,Juan Fernando Quintero,Junior Barranquilla
0.12,0.5,0.0,2.86,49.46,0.68,78.57,0.68,0.06,81.17,3.54,53.27,90,0.99,1.18,0.81,1.12,0,0,0,0.93,0.06,0,0,0,0,12.73,0.12,38.82,1.8,1.12,29.51,6.58,63.86,1.12,0.75,0.56,0.0,3.54,1.18,0.99,3.51,0.06,0.0,,0.0,0.0,0.0,Juan Zapata,Envigado FC
0.32,0.22,0.0,4.81,54.6,0.76,38.89,1.35,0.11,80.3,5.57,51.76,90,2.33,1.14,1.3,1.08,0,0,0,1.03,0.22,0,0,0,0,13.25,0.22,35.05,2.6,1.95,32.14,2.76,54.84,0.49,0.16,0.59,0.22,2.43,0.92,0.54,13.33,0.0,0.22,,0.0,0.0,0.05,Kevin Velasco,Deportivo Cali
0.27,0.22,0.0,4.07,57.25,0.65,54.55,0.92,0.16,77.93,4.72,56.86,90,2.28,0.81,1.25,1.03,0,0,0,1.03,0.22,0,0,0,0,13.73,0.11,31.41,2.5,1.84,35.42,3.31,60.4,0.6,0.6,0.71,0.0,1.9,0.6,0.38,14.29,0.11,0.27,,0.0,0.0,0.0,Pablo Rojas,Jaguares de Córdoba
0.22,0.44,0.0,7.09,52.75,0.07,10.0,2.59,0.3,83.26,7.17,50.52,90,3.03,1.55,2.29,1.26,0,0,0,0.81,0.0,0,0,0,0,17.07,0.3,42.27,2.59,1.63,22.68,2.29,64.58,0.37,0.07,0.89,0.07,2.59,1.18,0.59,8.57,0.07,0.0,,0.0,0.0,0.15,Daniel Cataño,Millonarios
0.36,0.24,0.06,3.11,52.53,0.3,35.71,1.67,0.18,73.13,3.41,50.44,90,1.14,0.78,0.9,1.2,0,0,0,0.6,0.12,0,0,0,0,11.0,0.18,21.65,1.85,1.02,20.99,3.77,61.17,0.06,0.06,0.42,0.24,5.14,1.73,1.2,6.98,0.0,0.06,,0.0,0.0,0.0,Dorlan Pabón,Atlético Nacional
0.13,0.13,0.0,3.43,55.32,0.4,28.57,1.12,0.13,87.22,3.83,50.43,90,1.78,0.33,1.45,1.19,0,0,0,1.12,0.2,0,0,0,0,16.5,0.13,43.68,3.89,1.85,30.43,2.77,76.36,0.46,0.26,0.73,0.2,2.71,0.53,0.66,4.88,0.13,0.13,,0.0,0.0,0.0,Yeison Guzmán,Deportes Tolima
0.15,0.24,0.0,5.0,50.99,0.39,25.81,1.07,0.1,72.61,5.39,47.64,90,2.19,1.21,1.55,1.17,0,0,0,0.73,0.1,0,0,0,0,9.18,0.1,22.54,1.94,1.17,26.97,2.48,54.84,0.63,0.15,1.26,0.0,3.64,1.12,0.83,4.0,0.1,0.24,,0.0,0.0,0.0,Adrián Estacio,Deportivo Pasto
0.08,0.24,0.0,4.29,59.55,0.49,50.0,0.73,0.16,84.57,4.78,58.42,90,2.19,1.13,0.65,1.54,0,0,0,0.89,0.16,0,0,0,0,12.96,0.08,48.85,3.0,2.03,51.02,4.7,61.05,1.05,1.05,1.05,0.0,1.86,0.41,0.65,4.35,0.0,0.0,,0.0,0.0,0.0,Andrés Ricaurte,Independiente Medellín
