goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.27,0.0,0.0,90,0.0,0.0,0.0,1.0,4.0,3.0,0.5,1.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,17.0,0.0,0.0,0,5.0,52.63,0.0,1.5,0.0,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,0,Roameth Romaña,Llaneros FC
0,0.29,0.0,0.43,100.0,0.29,100.0,0.14,0.0,62.5,0.72,100.0,90,0.29,0.0,0.0,1.01,4.49,2.46,1.88,1.01,0.0,0.43,0.14,0.29,0.14,1.59,0.0,16.64,0.0,0.0,0,6.8,40.52,0.0,2.03,0.0,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,0,Jefersson Martínez,Junior Barranquilla
0,0.0,0.0,0.29,50.0,0.0,0.0,0.0,0.0,52.51,0.29,40.0,90,0.29,0.0,0.14,1.0,4.14,2.43,1.71,0.71,0.29,0.43,0.0,0.29,0.0,0.86,0.0,13.43,0.0,0.0,0,5.43,31.67,0.0,0.71,0.0,0,0.0,0,0.0,0,0.0,0,,0.14,0.0,0,Santiago Silva,América de Cali
0,0.12,0.0,0.12,100.0,0.12,66.67,0.0,0.06,63.3,0.24,80.0,90,0.12,0.0,0.0,1.0,3.18,1.71,1.47,0.59,0.06,0.65,0.12,0.24,0.12,1.71,0.06,16.24,0.12,0.0,0,5.59,38.31,0.0,0.94,0.0,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,0,Jorge Soto,América de Cali
0,0.29,0.0,0.29,75.0,0.19,100.0,0.0,0.05,67.22,0.48,83.33,90,0.29,0.05,0.0,1.0,3.24,1.76,1.48,0.52,0.05,0.24,0.0,0.38,0.0,1.29,0.05,15.33,0.1,0.0,0,4.38,38.82,0.0,0.81,0.0,0,0.0,0,0.0,0,0.0,0,,0.05,0.0,0,Álvaro Montero,Millonarios
0,0.35,0.0,0.4,100.0,0.1,100.0,0.1,0.0,69.8,0.5,100.0,90,0.25,0.0,0.0,1.0,2.9,1.6,1.3,0.4,0.1,0.45,0.45,0.05,0.45,1.5,0.0,13.75,0.0,0.0,0,5.0,46.08,0.0,1.0,0.0,0,0.0,0,0.0,0,0.0,0,,0.1,0.0,0,Washington Aguerre,Independiente Medellín
0,0.1,0.0,0.2,80.0,0.15,100.0,0.05,0.0,64.91,0.35,87.5,90,0.15,0.05,0.0,1.01,3.53,2.12,1.41,0.76,0.15,0.5,0.3,0.4,0.3,1.51,0.0,16.81,0.05,0.0,0,4.39,33.33,0.0,1.11,0.0,0,0.05,0,0.05,0,0.0,0,,0.0,0.0,0,Andrés Mosquera,Independiente Santa Fe
0,0.0,0.0,0.27,100.0,0.73,88.89,0.0,0.0,50.69,1.0,91.67,90,0.09,0.0,0.0,1.0,3.18,2.09,1.0,0.64,0.09,1.36,0.27,0.27,0.27,2.27,0.0,16.64,0.0,0.0,0,5.0,24.12,0.0,1.27,0.0,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,0,Jordan García,Fortaleza CEIF
0,0.25,0.0,0.3,66.67,0.3,100.0,0.0,0.0,57.84,0.6,80.0,90,0.25,0.0,0.1,1.0,3.7,1.9,1.8,0.8,0.2,0.5,0.6,0.25,0.6,1.9,0.0,15.3,0.1,0.0,0,6.15,36.18,0.0,1.0,0.05,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,0,James Aguirre,Once Caldas
0,0.0,0.0,0.15,100.0,0.15,50.0,0.0,0.0,67.65,0.31,66.67,90,0.15,0.0,0.0,1.08,3.08,1.69,1.38,0.31,0.46,0.46,0.0,0.31,0.0,0.62,0.0,14.15,0.0,0.0,0,4.77,42.47,0.0,1.38,0.0,0,0.0,0,0.0,0,0.0,0,,0.0,0.0,0,Johan Wallens,Alianza Valledupar FC
