name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalTackle,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,interceptionWon,fouls,aerialLost,aerialWon,duelLost,onTargetScoringAttempt,totalClearance,wasFouled,outfielderBlock,dispossessed,totalContest,wonContest,challengeLost,keyPass,accurateCross,shotOffTarget,captain,team,teamType,blockedScoringAttempt,totalOffside
Alejandro Rodríguez,Alejandro Rodríguez,,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600.0,"{'value': 825000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",38,False,18.0,13.0,9.0,4.0,0.0,1.0,1.0,1.0,2.0,90.0,24.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,Deportivo Cali,home,,
Fabián Viáfara,,,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000.0,"{'value': 430000, 'currency': 'EUR'}",,27,False,24.0,14.0,6.0,1.0,0.0,,,,,90.0,35.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",1.0,2.0,1.0,,,,,,,,,,,,,,,,Deportivo Cali,home,,
Juan Quintero,,,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800.0,"{'value': 670000, 'currency': 'EUR'}",,3,False,52.0,46.0,5.0,3.0,0.0,4.0,,,,90.0,60.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",,,,1.0,3.0,1.0,1.0,4.0,1.0,,,,,,,,,True,Deportivo Cali,home,,
Guzmán Corujo,,,guzman-corujo,G. Corujo,D,16,189.0,116,874970,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,838944000.0,"{'value': 390000, 'currency': 'EUR'}",,16,False,42.0,34.0,10.0,5.0,0.0,3.0,1.0,,,65.0,48.0,7.0,8.0,"{'original': 7, 'alternative': None}",,1.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,,,,,,,,,Deportivo Cali,home,,
Yulián Gómez,,,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800.0,"{'value': 440000, 'currency': 'EUR'}",,26,False,41.0,33.0,2.0,,0.0,6.0,,,,90.0,68.0,7.0,15.0,"{'original': 7, 'alternative': None}",2.0,1.0,1.0,,1.0,2.0,,1.0,3.0,,1.0,2.0,2.0,,,,,,Deportivo Cali,home,,
Jean Colorado,,,colorado-jean,J. Colorado,M,23,180.0,34,985106,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,968630400.0,"{'value': 485000, 'currency': 'EUR'}",,23,False,39.0,32.0,5.0,2.0,0.0,4.0,1.0,,,90.0,50.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",,,3.0,,1.0,5.0,,1.0,2.0,,1.0,,,1.0,2.0,,,,Deportivo Cali,home,,
Victor Mejia,,,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000.0,"{'value': 390000, 'currency': 'EUR'}",,6,False,52.0,45.0,6.0,3.0,0.0,8.0,4.0,,,90.0,72.0,7.2,13.0,"{'original': 7.2, 'alternative': None}",,3.0,2.0,,1.0,4.0,,,3.0,1.0,2.0,,,1.0,,,,,Deportivo Cali,home,,
Gian Cabezas,Gian Cabezas,,gian-cabezas,G. Cabezas,M,28,178.0,43,1099301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200.0,"{'value': 420000, 'currency': 'EUR'}",,28,False,22.0,20.0,1.0,,0.0,1.0,,,,65.0,25.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,1.0,,,3.0,,,,,1.0,1.0,1.0,1.0,,,,,Deportivo Cali,home,,
Jarlan Barrera,,,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600.0,"{'value': 595000, 'currency': 'EUR'}",,7,False,30.0,20.0,8.0,5.0,0.0,2.0,,,,85.0,44.0,6.9,19.0,"{'original': 6.9, 'alternative': None}",5.0,,,,,3.0,,,2.0,,3.0,,,,1.0,1.0,1.0,,Deportivo Cali,home,,
Andrey Estupiñán,,,andrey-estupinan,A. Estupiñán,F,11,175.0,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400.0,"{'value': 320000, 'currency': 'EUR'}",,11,False,12.0,7.0,1.0,1.0,0.0,5.0,2.0,,,64.0,23.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,,2.0,,1.0,4.0,,,2.0,2.0,1.0,,,1.0,,,1.0,,Deportivo Cali,home,,
