name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,ratingVersions,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wasFouled,fouls,possessionLostCtrl,keyPass,outfielderBlock,shotOffTarget,onTargetScoringAttempt,bigChanceMissed,totalOffside,accurateCross,blockedScoringAttempt,bigChanceCreated,goals,aerialLost,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,punches
Santiago Mele,santiago-mele,S. Mele,G,25,182.0,607,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000.0,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",,,77,False,32.0,32.0,7.0,7.0,0.0,90.0,34.0,6.2,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170.0,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400.0,"{'value': 485000, 'currency': 'EUR'}",,Jhomier Guerrero,,34,False,47.0,37.0,3.0,2.0,0.0,90.0,79.0,7.2,"{'original': 7.2, 'alternative': None}",1.0,2.0,5.0,11.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,3.0,1.0,15.0,1.0,,,,,,,,,,,,Junior Barranquilla,home,,,,
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180.0,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200.0,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,71.0,63.0,14.0,7.0,0.0,90.0,79.0,6.8,"{'original': 6.8, 'alternative': None}",,1.0,2.0,3.0,,,,,1.0,1.0,1.0,1.0,2.0,9.0,,1.0,,,,,,,,,,,Junior Barranquilla,home,,,,
José Cuenú,jose-cuenu,J. Cuenú,D,4,192.0,28,1098309,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792979200.0,"{'value': 495000, 'currency': 'EUR'}",,José Cuenú,,4,False,61.0,56.0,10.0,7.0,0.0,90.0,66.0,6.6,"{'original': 6.6, 'alternative': None}",,1.0,2.0,2.0,1.0,,,,1.0,,,1.0,1.0,5.0,,,1.0,1.0,,,,,,,,,Junior Barranquilla,home,,,,
Jhon Navia,jhon-navia,J. Navia,D,26,180.0,29,1128891,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1059264000.0,"{'value': 340000, 'currency': 'EUR'}",,Jhon Navia,,26,False,29.0,25.0,1.0,,0.0,45.0,37.0,6.0,"{'original': 6, 'alternative': None}",,1.0,3.0,2.0,,1.0,1.0,,,,1.0,,1.0,8.0,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Jhon Velez,jhon-velez,J. Velez,M,13,178.0,108,1174853,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1059091200.0,"{'value': 415000, 'currency': 'EUR'}",,Jhon Velez,,13,False,42.0,37.0,3.0,1.0,0.0,59.0,48.0,6.7,"{'original': 6.7, 'alternative': None}",,,1.0,1.0,,,1.0,,,1.0,1.0,,,7.0,2.0,,,,,,,,,,,,Junior Barranquilla,home,,,,
Andres Colorado,andres-colorado,Andres Colorado,M,25,193.0,208,904350,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912470400.0,"{'value': 570000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. كولورادو', 'hi': 'एन्ड्रेस कोलोराडो', 'bn': 'আন্দ্রেস কলোরাডো'}}",,,25,False,39.0,36.0,3.0,2.0,0.0,90.0,48.0,6.8,"{'original': 6.8, 'alternative': None}",,,1.0,6.0,,,,,,1.0,3.0,3.0,1.0,4.0,,,,1.0,1.0,1.0,,,,,,,Junior Barranquilla,home,,,,
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600.0,"{'value': 1900000, 'currency': 'EUR'}",,,,99,False,29.0,22.0,1.0,1.0,0.0,69.0,56.0,6.4,"{'original': 6.4, 'alternative': None}",4.0,,10.0,6.0,3.0,3.0,7.0,3.0,,1.0,2.0,1.0,,22.0,,,,,,,,,,,,,Junior Barranquilla,home,,,,
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400.0,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,,8,False,51.0,42.0,2.0,2.0,0.0,90.0,71.0,7.0,"{'original': 7, 'alternative': None}",3.0,,5.0,5.0,1.0,,4.0,1.0,,,1.0,3.0,1.0,18.0,1.0,,,,,,2.0,1.0,,,,,Junior Barranquilla,home,,,,
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000.0,"{'value': 485000, 'currency': 'EUR'}",,,,88,False,21.0,16.0,1.0,,1.0,59.0,28.0,6.8,"{'original': 6.8, 'alternative': None}",3.0,,4.0,,,1.0,2.0,,,,,,1.0,10.0,2.0,,1.0,,,,1.0,,2.0,,,,Junior Barranquilla,home,,,,
