name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalTackle,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,challengeLost,totalClearance,fouls,totalOffside,keyPass,onTargetScoringAttempt,outfielderBlock,interceptionWon,penaltyWon,shotOffTarget,dispossessed,totalContest,wonContest,blockedScoringAttempt,goals,captain,team,teamType,penaltyConceded,errorLeadToAGoal,hitWoodwork
Salvador Ichazo,salvador-ichazo,S. Ichazo,G,1,185.0,63,158605,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,696384000.0,"{'value': 360000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. إشازو', 'hi': 'एस. इचाज़ो', 'bn': 'এস. ইচাজো'}}",,,1,False,27.0,11.0,23.0,7.0,0.0,2.0,1.0,1.0,3.0,5.0,90.0,37.0,7.7,17.0,"{'original': 7.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,
Walmer Pacheco,walmer-pacheco,W. Pacheco,D,21,172.0,52,819169,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,790214400.0,"{'value': 700000, 'currency': 'EUR'}",,,,21,False,20.0,15.0,4.0,1.0,0.0,2.0,,1.0,,,90.0,35.0,6.6,8.0,"{'original': 6.6, 'alternative': None}",2.0,1.0,2.0,1.0,7.0,3.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,Deportivo Pereira,home,,,
José Moya,jose-moya,J. Moya,D,3,184.0,24,285501,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,713145600.0,"{'value': 410000, 'currency': 'EUR'}",,,,3,False,12.0,10.0,2.0,1.0,0.0,5.0,1.0,1.0,,,90.0,27.0,8.4,2.0,"{'original': 8.4, 'alternative': None}",,,,3.0,1.0,,7.0,1.0,,,1.0,3.0,2.0,1.0,,,,,,,,Deportivo Pereira,home,,,
Jhostin Medranda,jhostin-medranda,J. Medranda,D,,186.0,15,1130645,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,997228800.0,"{'value': 270000, 'currency': 'EUR'}",,Jhostin Medranda,,24,False,18.0,11.0,5.0,1.0,0.0,3.0,,,,,90.0,35.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",,,,3.0,1.0,1.0,11.0,,,,,2.0,,,1.0,,,,,,,Deportivo Pereira,home,,,
Jeison Suárez,jeison-suarez,J. Suárez,D,26,174.0,33,819096,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,868320000.0,"{'value': 500000, 'currency': 'EUR'}",,,,26,False,16.0,10.0,6.0,1.0,0.0,4.0,3.0,,,,90.0,43.0,7.1,13.0,"{'original': 7.1, 'alternative': None}",2.0,1.0,,1.0,1.0,,8.0,,,,,,1.0,,,1.0,,,,,,Deportivo Pereira,home,,,
Juan David Ríos,juan-david-rios,J. D. Ríos,M,14,173.0,30,829864,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,686793600.0,"{'value': 470000, 'currency': 'EUR'}",,,,14,False,30.0,24.0,5.0,2.0,0.0,3.0,2.0,,,,90.0,44.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",1.0,,,1.0,6.0,1.0,5.0,4.0,,1.0,,1.0,2.0,,,1.0,,,,,True,Deportivo Pereira,home,,,
Jorge Bermúdez,jorge-bermudez,J. Bermúdez,M,5,166.0,12,1016202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981331200.0,"{'value': 360000, 'currency': 'EUR'}",,,,5,False,6.0,6.0,,,0.0,,,,,,17.0,6.0,3.0,,"{'original': 3, 'alternative': None}",,,,,1.0,,,1.0,,,,,,,,,,,,,,Deportivo Pereira,home,,,
Adrián Estacio,adrian-estacio,A. Estacio,M,97,178.0,35,931632,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,893030400.0,"{'value': 435000, 'currency': 'EUR'}",,,,97,False,16.0,13.0,2.0,2.0,0.0,7.0,,4.0,,,75.0,37.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",2.0,1.0,,,5.0,2.0,,,1.0,1.0,1.0,,2.0,,,1.0,5.0,3.0,1.0,,,Deportivo Pereira,home,,,
Yesus Cabrera,yesus-cabrera,Yesus Cabrera,M,10,169.0,87,830016,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,653356800.0,"{'value': 380000, 'currency': 'EUR'}",,,,10,False,18.0,14.0,3.0,2.0,0.0,,,,,,60.0,23.0,7.6,5.0,"{'original': 7.6, 'alternative': None}",,,,,,,,,,1.0,1.0,,2.0,,,,,,,1.0,,Deportivo Pereira,home,,,
Yuber Quiñones,yuber-quinones,Y. Quiñones,M,13,173.0,96,1111115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1034035200.0,"{'value': 385000, 'currency': 'EUR'}",,Yuber Quiñones,,13,False,14.0,10.0,1.0,,0.0,4.0,,3.0,,,60.0,24.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,2.0,,3.0,,,,,1.0,,,2.0,,,1.0,1.0,1.0,,,,Deportivo Pereira,home,,,
Gianfranco Peña,gianfranco-pena,G. Peña,F,9,190.0,35,1174786,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963273600.0,"{'value': 195000, 'currency': 'EUR'}",,Gianfranco Peña,,9,False,8.0,6.0,,,0.0,4.0,,2.0,,,75.0,22.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",,,1.0,1.0,4.0,,,1.0,1.0,,1.0,,,,2.0,1.0,2.0,1.0,,1.0,,Deportivo Pereira,home,,,
Julián Bazán,julian-bazan,J. Bazán,D,34,183.0,66,1485232,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1132876800.0,"{'value': 240000, 'currency': 'EUR'}",,,,34,True,6.0,2.0,2.0,,0.0,3.0,,,,,30.0,12.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,2.0,3.0,2.0,,4.0,,,,,1.0,,,,,,,,,,Deportivo Pereira,home,,,
Kelvin Osorio,kelvin-osorio,K. Osorio,M,33,181.0,29,818997,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,751852800.0,"{'value': 465000, 'currency': 'EUR'}",,,,33,True,7.0,4.0,1.0,,0.0,1.0,1.0,,,,30.0,14.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,,,,,4.0,,,,,,,,,,,,,,,Deportivo Pereira,home,,,
Rubilio Castillo,rubilio-castillo,R. Castillo,F,99,183.0,175,797168,"{'alpha2': 'HN', 'alpha3': 'HND', 'name': 'Honduras', 'slug': 'honduras'}",EUR,691113600.0,"{'value': 235000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ر. كاستيلو', 'hi': 'आर. कैस्टिलो', 'bn': 'আর. ক্যাস্টিলো'}}",,,99,True,7.0,3.0,,,0.0,3.0,,,,,15.0,10.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",,,3.0,3.0,4.0,,,1.0,,,,,,,,,,,,,,Deportivo Pereira,home,,,
Felipe Mosquera,felipe-mosquera,F. Mosquera,F,77,174.0,24,1173951,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1023235200.0,"{'value': 240000, 'currency': 'EUR'}",,Felipe Mosquera,,77,True,2.0,,,,0.0,1.0,,,,,15.0,6.0,6.6,4.0,"{'original': 6.6, 'alternative': None}",,,1.0,1.0,3.0,,1.0,1.0,,,,1.0,,,,1.0,,,,,,Deportivo Pereira,home,,,
Franklin Mosquera,franklin-mosquera,F. Mosquera,G,12,,3,1184666,{},EUR,,,,Franklin Mosquera,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,
Javier Andres Mena,mena-javier-andres,J. A. Mena,D,17,175.0,39,1478896,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1127001600.0,"{'value': 105000, 'currency': 'EUR'}",,,,17,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,
Eduar Arízalas,eduar-arizalas,E. Arízalas,M,22,,7,1478209,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1006646400.0,"{'value': 52000, 'currency': 'EUR'}",,Eduar Arízalas,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Pereira,home,,,
Juan Castillo,juan-castillo,J. Castillo,G,1,191.0,69,1175004,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042416000.0,"{'value': 830000, 'currency': 'EUR'}",,Juan Castillo,,1,False,16.0,16.0,,,0.0,,,,1.0,2.0,90.0,22.0,6.2,,"{'original': 6.2, 'alternative': None}",,,,,1.0,,,1.0,,,,,,,,,,,,,,Fortaleza CEIF,away,1.0,,
Santiago Cuero,santiago-cuero,S. Cuero,D,15,179.0,36,1478347,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1091145600.0,"{'value': 340000, 'currency': 'EUR'}",,Santiago Cuero,,15,False,12.0,7.0,2.0,,0.0,3.0,1.0,,,,45.0,19.0,6.2,5.0,"{'original': 6.2, 'alternative': None}",1.0,1.0,1.0,1.0,3.0,,,2.0,,,,,,,,,1.0,1.0,,,,Fortaleza CEIF,away,,,
