name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,errorLeadToAGoal,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keyPass,ratingVersions,aerialWon,duelLost,dispossessed,totalContest,wonContest,outfielderBlock,totalTackle,fouls,onTargetScoringAttempt,goals,totalCross,challengeLost,shotOffTarget,accurateCross,blockedScoringAttempt,interceptionWon,aerialLost,totalOffside,captain,team,teamType
William Cuesta,william-cuesta,W. Cuesta,G,1,195.0,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000.0,"{'value': 270000, 'currency': 'EUR'}",,,,1,False,13.0,4.0,10.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,90.0,26.0,5.8,10.0,1.0,"{'original': 5.8, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Deportes Tolima,home
Cristian Arrieta,cristian-arrieta,C. Arrieta,M,71,170.0,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200.0,"{'value': 605000, 'currency': 'EUR'}",,,,71,False,42.0,37.0,2.0,2.0,0.0,6.0,,,2.0,,,,90.0,57.0,6.6,9.0,1.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,Deportes Tolima,home
Julián Quiñones,julian-quinones,J. Quiñones,D,3,198.0,32,125910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,626227200.0,"{'value': 160000, 'currency': 'EUR'}",,,,3,False,28.0,21.0,9.0,4.0,0.0,3.0,6.0,,,,,,81.0,40.0,7.3,7.0,,"{'original': 7.3, 'alternative': None}",1.0,1.0,,,,,2.0,1.0,2.0,1.0,,,,,,,,,True,Deportes Tolima,home
Anderson Angulo,anderson-angulo,A. Angulo,D,2,187.0,25,925127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,828316800.0,"{'value': 570000, 'currency': 'EUR'}",,,,2,False,35.0,30.0,6.0,4.0,0.0,1.0,5.0,,,,,,90.0,40.0,6.2,5.0,,"{'original': 6.2, 'alternative': None}",1.0,,,,,,,1.0,,,,,,,,,,,,Deportes Tolima,home
Junior Hernández,junior-hernandez,J. Hernández,D,20,172.0,78,973723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923270400.0,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. هيرنانديز', 'hi': 'जे. हर्नांडेज़', 'bn': 'জে হার্নান্দেজ'}}",,,20,False,41.0,28.0,10.0,2.0,0.0,4.0,5.0,,2.0,,,,81.0,59.0,6.3,16.0,,"{'original': 6.3, 'alternative': None}",1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,Deportes Tolima,home
Juan Pablo Nieto,juan-pablo-nieto,J. P. Nieto,M,15,178.0,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400.0,"{'value': 470000, 'currency': 'EUR'}",,,,15,False,22.0,17.0,3.0,1.0,0.0,1.0,,,1.0,,,,74.0,27.0,6.2,7.0,,"{'original': 6.2, 'alternative': None}",,3.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,Deportes Tolima,home
Brayan Rovira,brayan-rovira,B. Rovira,M,80,177.0,90,818941,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,849484800.0,"{'value': 640000, 'currency': 'EUR'}",,,,80,False,36.0,28.0,4.0,2.0,1.0,4.0,,,1.0,,,,90.0,50.0,7.0,12.0,1.0,"{'original': 7, 'alternative': None}",1.0,1.0,,,,,2.0,1.0,,,5.0,,,1.0,1.0,2.0,,,,Deportes Tolima,home
Jersson González,jersson-gonzalez,J. González,M,7,172.0,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000.0,"{'value': 955000, 'currency': 'EUR'}",,,,7,False,9.0,6.0,,,0.0,2.0,2.0,,2.0,,,,64.0,15.0,6.5,4.0,3.0,"{'original': 6.5, 'alternative': None}",,4.0,,,,,,3.0,,,,1.0,,,,,1.0,,,Deportes Tolima,home
Cristian Trujillo,cristian-trujillo,C. Trujillo,M,6,174.0,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800.0,"{'value': 580000, 'currency': 'EUR'}",,,,6,False,19.0,14.0,1.0,,0.0,3.0,,,1.0,,,,64.0,21.0,6.5,5.0,,"{'original': 6.5, 'alternative': None}",1.0,2.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,,Deportes Tolima,home
Alex Castro,alex-castro,A. Castro,M,23,170.0,75,818930,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,763084800.0,"{'value': 535000, 'currency': 'EUR'}",,,,23,False,31.0,20.0,4.0,2.0,0.0,5.0,1.0,,2.0,,,,90.0,47.0,6.8,17.0,2.0,"{'original': 6.8, 'alternative': None}",1.0,4.0,,3.0,2.0,,,1.0,,,6.0,,,3.0,1.0,,2.0,,,Deportes Tolima,home
