name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,savedShotsFromInsideTheBox,penaltySave,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,totalClearance,outfielderBlock,interceptionWon,totalTackle,wasFouled,fouls,onTargetScoringAttempt,goals,keyPass,penaltyConceded,accurateCross,challengeLost,totalOffside,blockedScoringAttempt,dispossessed,shotOffTarget,bigChanceCreated,captain,team,teamType,penaltyWon,bigChanceMissed,penaltyMiss
Jorge Soto,jorge-soto,J. Soto,G,12,187.0,147,819127,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,744249600,"{'value': 410000, 'currency': 'EUR'}",,,,12,False,28.0,13.0,21.0,6.0,0.0,1.0,3.0,1.0,5.0,90.0,41.0,8.4,16.0,"{'original': 8.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,América de Cali,home,,,
Mateo Castillo Márquez,mateo-castillo-marquez,M. C. Márquez,D,13,181.0,68,1904862,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1047686400,"{'value': 410000, 'currency': 'EUR'}",Mateo,Castillo Márquez,,13,False,40.0,33.0,9.0,4.0,0.0,,,,,90.0,57.0,7.7,11.0,"{'original': 7.7, 'alternative': None}",1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,América de Cali,home,,,
Jean Carlos Pestaña,jean-carlos-pestana,J. C. Pestaña,D,24,186.0,73,882658,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872467200,"{'value': 825000, 'currency': 'EUR'}",,,,24,False,31.0,22.0,7.0,1.0,0.0,,,,,90.0,42.0,8.0,10.0,"{'original': 8, 'alternative': None}",,2.0,2.0,2.0,2.0,,,4.0,3.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,América de Cali,home,,,
Brayan Medina,medina-brayan,B. Medina,D,23,195.0,106,1187281,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015200000,"{'value': 910000, 'currency': 'EUR'}",,,,23,False,31.0,25.0,7.0,4.0,0.0,,,,,90.0,45.0,7.1,7.0,"{'original': 7.1, 'alternative': None}",,,2.0,2.0,4.0,1.0,,6.0,1.0,2.0,2.0,,1.0,,,,1.0,,,,,,,,,América de Cali,home,,,
Marcos Mina,marcos-mina,M. Mina,D,14,163.0,80,1098198,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923875200,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,37.0,26.0,5.0,3.0,0.0,,,,,90.0,52.0,7.2,14.0,"{'original': 7.2, 'alternative': None}",1.0,3.0,3.0,5.0,6.0,1.0,,2.0,,2.0,3.0,,1.0,,,,,1.0,,,,,,,,América de Cali,home,,,
Juan Fernando Quintero,juan-quintero,J. F. Quintero,M,8,168.0,9629,221162,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,727315200,"{'value': 2600000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. كوينتيرو', 'hi': 'जुआन क्विंटेरो', 'bn': 'জুয়ান কুইন্টেরো'}}",8,False,59.0,47.0,17.0,13.0,1.0,,,,,90.0,74.0,7.8,21.0,"{'original': 7.8, 'alternative': None}",7.0,,,3.0,2.0,3.0,1.0,,,,1.0,,,1.0,,4.0,,1.0,1.0,1.0,,,,,,América de Cali,home,,,
Sebastián Navarro,sebastian-navarro,S. Navarro,M,21,186.0,123,1018517,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963619200,"{'value': 840000, 'currency': 'EUR'}",,,,21,False,53.0,43.0,11.0,7.0,0.0,,,,,90.0,58.0,7.0,12.0,"{'original': 7, 'alternative': None}",1.0,1.0,,1.0,2.0,,,,,,1.0,1.0,,,,2.0,,,,,,,,,,América de Cali,home,,,
Éder Balanta,eder-balanta,É. Balanta,M,3,181.0,493,322529,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730857600,"{'value': 760000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. بالانتا', 'hi': 'ई. बलंता', 'bn': 'ই. বালান্টা'}}",3,False,10.0,8.0,1.0,,0.0,,,,,40.0,16.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,,,3.0,,1.0,,1.0,,,,,2.0,,,,,,,,1.0,,,,,América de Cali,home,,,
Duván Vergara,duvan-vergara,D. Vergara,M,11,173.0,932,819149,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,842227200,"{'value': 2900000, 'currency': 'EUR'}",,,,11,False,45.0,39.0,6.0,3.0,0.0,,,,,90.0,58.0,7.2,12.0,"{'original': 7.2, 'alternative': None}",1.0,1.0,,2.0,4.0,2.0,1.0,,,,,3.0,,2.0,,,,,,,,,,,True,América de Cali,home,,,
Rodrigo Holgado,rodrigo-holgado,R. Holgado,F,22,179.0,1172,889043,"{'alpha2': 'MY', 'alpha3': 'MYS', 'name': 'Malaysia', 'slug': 'malaysia'}",EUR,804297600,"{'value': 775000, 'currency': 'EUR'}",,,,22,False,10.0,10.0,,,0.0,,,,,72.0,19.0,7.7,3.0,"{'original': 7.7, 'alternative': None}",,1.0,1.0,2.0,2.0,,,,1.0,1.0,1.0,,,2.0,1.0,1.0,,,,1.0,,1.0,1.0,,,América de Cali,home,,,
