name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,totalClearance,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,aerialLost,aerialWon,shotOffTarget,interceptionWon,totalContest,blockedScoringAttempt,wonContest,totalOffside,onTargetScoringAttempt,captain,team,teamType
Andrés Mosquera,andres-mosquera,A. Mosquera,G,1,186,77,829878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684460800,"{'value': 660000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موسكويرا', 'hi': 'ए. मोस्केरा', 'bn': 'এ. মস্কেরা'}}",,,1,False,17.0,16.0,3.0,2.0,0.0,3.0,90.0,25.0,7.1,1.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Independiente Santa Fe,home
Elvis Perlaza,elvis-perlaza,E. Perlaza,D,22,172,41,285361,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,605232000,"{'value': 160000, 'currency': 'EUR'}",,,,22,False,47.0,40.0,6.0,3.0,0.0,,90.0,75.0,7.3,18.0,"{'original': 7.3, 'alternative': None}",10.0,3.0,6.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,,,,,,,,,,,Independiente Santa Fe,home
Victor Moreno,victor-moreno,V. Moreno,D,3,180,13,1100346,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,782870400,"{'value': 540000, 'currency': 'EUR'}",,,,3,False,48.0,42.0,9.0,5.0,0.0,,90.0,53.0,7.0,6.0,"{'original': 7, 'alternative': None}",,,3.0,3.0,,,3.0,,,1.0,1.0,,2.0,2.0,1.0,,,,,,,,Independiente Santa Fe,home
Kevin Andres Cuesta Rodriguez,cuesta-rodriguez-kevin-andres,K. A. C. Rodriguez,D,6,188,34,1067105,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,955843200,"{'value': 205000, 'currency': 'EUR'}",,Kevin Andres Cuesta Rodriguez,,6,False,53.0,45.0,9.0,4.0,0.0,,90.0,60.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,,4.0,1.0,,,5.0,,,,1.0,1.0,3.0,1.0,,1.0,,,,,,,Independiente Santa Fe,home
Jeison Angulo,jeison-angulo,J. Angulo,D,24,182,43,589390,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835833600,"{'value': 310000, 'currency': 'EUR'}",,,,24,False,28.0,17.0,3.0,1.0,0.0,,90.0,51.0,6.7,17.0,"{'original': 6.7, 'alternative': None}",1.0,,7.0,,,3.0,2.0,,,,1.0,,2.0,,2.0,1.0,1.0,1.0,,,,,Independiente Santa Fe,home
Yilmar Velázquez,yilmar-velazquez,Y. Velázquez,M,20,185,66,975633,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,935193600,"{'value': 930000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. فيلازكويز', 'hi': 'वाए. वेलाज़क्वेज़', 'bn': 'ওয়াই. ভেলাজকুয়েজ'}}",,,20,False,50.0,40.0,5.0,1.0,0.0,,90.0,54.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",,,2.0,2.0,,,1.0,,,,2.0,,,2.0,,1.0,,,,,,,Independiente Santa Fe,home
Daniel Torres,daniel-torres,D. Torres,M,16,186,225,125813,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,627091200,"{'value': 260000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. توريس', 'hi': 'डी. टोरेस', 'bn': 'ডি. টরেস'}}",,,16,False,30.0,24.0,3.0,1.0,0.0,,85.0,39.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",1.0,,3.0,2.0,,,,,,1.0,3.0,1.0,,,,3.0,1.0,,1.0,,,,Independiente Santa Fe,home
Harold Santiago Mosquera,harold-mosquera,H. S. Mosquera,F,23,168,161,836164,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792115200,"{'value': 680000, 'currency': 'EUR'}",,,,23,False,24.0,15.0,2.0,,0.0,,90.0,44.0,6.8,20.0,"{'original': 6.8, 'alternative': None}",6.0,1.0,3.0,5.0,,,,,3.0,2.0,1.0,2.0,,,,,2.0,2.0,,1.0,,,Independiente Santa Fe,home
Alexis Zapata,alexis-zapata,A. Zapata,M,10,179,106,353296,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,800064000,"{'value': 670000, 'currency': 'EUR'}",,,,10,False,19.0,16.0,,,0.0,,73.0,28.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,3.0,1.0,,,1.0,,,1.0,2.0,,,,,,1.0,,,,1.0,,Independiente Santa Fe,home
Omar Fernández,omar-fernandez,O. Fernández,M,8,166,128,805265,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,729388800,"{'value': 945000, 'currency': 'EUR'}",,,,8,False,9.0,6.0,2.0,1.0,0.0,,68.0,13.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",1.0,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,Independiente Santa Fe,home
