name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,totalTackle,wasFouled,fouls,shotOffTarget,onTargetScoringAttempt,goals,accurateCross,keyPass,dispossessed,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,totalOffside,interceptionWon,challengeLost,bigChanceMissed,outfielderBlock,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600,"{'value': 105000, 'currency': 'EUR'}",,,,12,False,17.0,13.0,8.0,4.0,0.0,1.0,1.0,1.0,90.0,24.0,6.1,4.0,"{'original': 6.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Yael López,yael-lopez,Y. López,D,22,178.0,33,971249,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,913852800,"{'value': 205000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. لوبيز', 'hi': 'वाए. लोपेज़', 'bn': 'ওয়াই. লোপেজ'}}",,,22,False,33.0,20.0,6.0,1.0,0.0,1.0,,,90.0,57.0,6.6,18.0,"{'original': 6.6, 'alternative': None}",3.0,1.0,1.0,2.0,6.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Kevin Riascos,kevin-riascos,K. Riascos,D,2,188.0,16,986979,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,803692800,"{'value': 140000, 'currency': 'EUR'}",,,,2,False,55.0,39.0,11.0,2.0,0.0,3.0,,,90.0,62.0,6.4,18.0,"{'original': 6.4, 'alternative': None}",,1.0,4.0,2.0,6.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,46.0,36.0,8.0,4.0,0.0,2.0,,,90.0,55.0,7.2,11.0,"{'original': 7.2, 'alternative': None}",1.0,2.0,4.0,4.0,6.0,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,True,Boyacá Chicó FC,home,,,
Jonathan Herrera,jonathan-herrera,J. Herrera,D,18,177.0,9,819185,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825120000,"{'value': 220000, 'currency': 'EUR'}",,,,18,False,19.0,13.0,4.0,1.0,0.0,,,,35.0,33.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,1.0,1.0,3.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,Boyacá Chicó FC,home,,,
Ronald Valencia,ronald-valencia,R. Valencia,F,77,180.0,9,1154914,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,983577600,"{'value': 135000, 'currency': 'EUR'}",,Ronald Valencia,,16,False,13.0,10.0,1.0,1.0,1.0,1.0,,,61.0,23.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",1.0,,1.0,3.0,3.0,,1.0,,,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,Boyacá Chicó FC,home,,,
Sebastian Salazar,sebastian-salazar,S. Salazar,M,8,180.0,8,789908,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812419200,"{'value': 215000, 'currency': 'EUR'}",,,,8,False,28.0,22.0,4.0,2.0,0.0,2.0,,,72.0,40.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,1.0,,3.0,2.0,,2.0,1.0,,,,,,1.0,,,,,,2.0,,,,,Boyacá Chicó FC,home,,,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800,"{'value': 440000, 'currency': 'EUR'}",,Kevin Londoño,,27,False,57.0,44.0,13.0,6.0,0.0,,,,90.0,63.0,6.6,15.0,"{'original': 6.6, 'alternative': None}",1.0,2.0,,4.0,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,Boyacá Chicó FC,home,,,
Eduardo Banguero,eduardo-banguero,E. Banguero,D,22,177.0,14,963284,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981244800,"{'value': 410000, 'currency': 'EUR'}",,,,14,False,9.0,5.0,1.0,,0.0,,,,34.0,18.0,6.2,8.0,"{'original': 6.2, 'alternative': None}",,,,4.0,2.0,,2.0,,,1.0,,,,3.0,1.0,,,,,,,,,,Boyacá Chicó FC,home,,,
Jairo Molina,jairo-molina,J. Molina,F,9,183.0,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200,"{'value': 49000, 'currency': 'EUR'}",,,,9,False,13.0,9.0,,,0.0,1.0,,,90.0,26.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",1.0,8.0,3.0,8.0,5.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,1.0,,Boyacá Chicó FC,home,,,
