name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,aerialWon,duelLost,challengeLost,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,hitWoodwork,interceptionWon,outfielderBlock,totalTackle,totalContest,keyPass,dispossessed,wonContest,fouls,bigChanceMissed,penaltyMiss,captain,team,teamType,fieldTranslations,penaltySave,penaltyConceded,bigChanceCreated,totalOffside,goals
Humberto Acevedo,humberto-acevedo,H. Acevedo,G,77,185.0,17,873463,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864345600.0,"{'value': 53000, 'currency': 'EUR'}",,,77,False,36.0,29.0,9.0,5.0,0.0,1.0,1.0,1.0,2.0,2.0,90.0,45.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Geovan Montes,geovan-montes,G. Montes,D,31,178.0,6,821735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823046400.0,"{'value': 285000, 'currency': 'EUR'}",,,31,False,35.0,31.0,1.0,1.0,0.0,4.0,2.0,2.0,,,90.0,60.0,7.5,10.0,"{'original': 7.5, 'alternative': None}",2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,Llaneros FC,home,,,,,,
Óscar Vega,oscar-vega,Ó. Vega,D,30,,8,2030749,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Oscar Vega,,30,False,50.0,43.0,10.0,6.0,0.0,3.0,5.0,1.0,,,90.0,61.0,7.0,7.0,"{'original': 7, 'alternative': None}",,,2.0,1.0,3.0,1.0,,,,,,2.0,1.0,,,,,,,,,Llaneros FC,home,,,,,,
Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",Jan Ángulo,,20,False,51.0,43.0,10.0,4.0,0.0,6.0,6.0,1.0,,,90.0,65.0,7.0,9.0,"{'original': 7, 'alternative': None}",,,,3.0,1.0,,,,,,,,2.0,1.0,1.0,,,,,,,Llaneros FC,home,,,,,,
Jhildrey Lasso,jhildrey-lasso,J. Lasso,D,11,173.0,13,1478224,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800.0,"{'value': 145000, 'currency': 'EUR'}",Jhildrey Lasso,,33,False,32.0,28.0,5.0,2.0,0.0,4.0,3.0,,,,90.0,65.0,6.5,21.0,"{'original': 6.5, 'alternative': None}",4.0,,,,6.0,1.0,1.0,,,,1.0,,3.0,3.0,,1.0,1.0,2.0,,,,Llaneros FC,home,,,,,,
Eyder Restrepo,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600.0,"{'value': 265000, 'currency': 'EUR'}",,,5,False,44.0,38.0,1.0,,0.0,1.0,1.0,,,,77.0,49.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,,2.0,,1.0,,,1.0,,,,,Llaneros FC,home,,,,,,
Carlos Sierra,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800.0,"{'value': 280000, 'currency': 'EUR'}",,,14,False,19.0,16.0,3.0,1.0,0.0,2.0,2.0,1.0,,,77.0,28.0,6.5,4.0,"{'original': 6.5, 'alternative': None}",,,,1.0,2.0,,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,Llaneros FC,home,,,,,,
Andrés López,andres-lopez,A. López,M,8,177.0,8,1465554,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1046044800.0,"{'value': 145000, 'currency': 'EUR'}",,,8,False,25.0,20.0,4.0,4.0,0.0,2.0,,,,,60.0,34.0,7.1,6.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,2.0,,3.0,,1.0,,,,1.0,,2.0,1.0,1.0,,,,,,,Llaneros FC,home,,,,,,
Bryan Urueña,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",,,10,False,47.0,36.0,9.0,5.0,0.0,2.0,,2.0,,,90.0,67.0,6.4,22.0,"{'original': 6.4, 'alternative': None}",8.0,2.0,1.0,,4.0,,,1.0,,,,,,,2.0,3.0,,,1.0,1.0,True,Llaneros FC,home,,,,,,
Roberto Hinojosa,roberto-hinojosa,R. Hinojosa,M,80,170.0,64,989392,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930873600.0,"{'value': 530000, 'currency': 'EUR'}",,,12,False,23.0,17.0,3.0,2.0,0.0,5.0,,3.0,,,77.0,47.0,6.9,19.0,"{'original': 6.9, 'alternative': None}",5.0,1.0,,,5.0,,,2.0,,,,,1.0,2.0,,3.0,1.0,1.0,,,,Llaneros FC,home,,,,,,
Kener Valencia,kener-valencia,K. Valencia,F,70,184.0,54,1174010,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002153600.0,"{'value': 285000, 'currency': 'EUR'}",Kener Valencia,,70,False,8.0,7.0,,,0.0,4.0,1.0,1.0,,,90.0,18.0,7.1,3.0,"{'original': 7.1, 'alternative': None}",,,1.0,2.0,3.0,,,2.0,1.0,,,,1.0,,1.0,,,2.0,,,,Llaneros FC,home,,,,,,
Freddy Espinal,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600.0,"{'value': 240000, 'currency': 'EUR'}",Freddy Espinal,,11,True,6.0,3.0,,,0.0,1.0,,,,,30.0,13.0,6.3,8.0,"{'original': 6.3, 'alternative': None}",2.0,,,1.0,3.0,,,,,,,,,1.0,,1.0,,1.0,,,,Llaneros FC,home,,,,,,
Maicol Medina,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400.0,"{'value': 240000, 'currency': 'EUR'}",,,18,True,9.0,7.0,1.0,1.0,0.0,1.0,,,,,13.0,11.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,,1.0,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Michael Rangel,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400.0,"{'value': 190000, 'currency': 'EUR'}",,,9,True,3.0,1.0,,,0.0,,,,,,13.0,5.0,6.4,4.0,"{'original': 6.4, 'alternative': None}",,,2.0,,2.0,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Jhonatan Mayorga,jhonatan-mayorga,J. Mayorga,F,10,,8,1847482,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1124323200.0,,,,16,True,10.0,9.0,1.0,1.0,0.0,,,,,,13.0,10.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Kevin Armesto,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600.0,"{'value': 290000, 'currency': 'EUR'}",Kevin Armesto,,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Cristian Valencia,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800.0,"{'value': 48000, 'currency': 'EUR'}",,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Duván Mosquera,duvan-mosquera,D. Mosquera,M,27,175.0,3,1174806,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,890870400.0,"{'value': 330000, 'currency': 'EUR'}",Duván Mosquera,,27,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Alejandro Rodríguez,alejandro-rodriguez,A. Rodríguez,G,38,188.0,105,1098301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979257600.0,"{'value': 825000, 'currency': 'EUR'}",Alejandro Rodríguez,,38,False,21.0,10.0,16.0,5.0,0.0,1.0,,1.0,3.0,7.0,90.0,31.0,8.5,11.0,"{'original': 8.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رودريغيز', 'hi': 'ए. रोड्रिग्ज', 'bn': 'এ. রদ্রিগেজ'}}",1.0,,,,
Fabián Viáfara,fabian-viafara,F. Viáfara,D,27,167.0,35,588548,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,700704000.0,"{'value': 430000, 'currency': 'EUR'}",,,27,False,24.0,17.0,5.0,3.0,0.0,1.0,5.0,1.0,,,90.0,51.0,7.0,14.0,"{'original': 7, 'alternative': None}",5.0,1.0,1.0,,3.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,,Deportivo Cali,away,,,,,,
Juan Quintero,juan-quintero,Juan Quintero,D,3,183.0,140,589394,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,795916800.0,"{'value': 670000, 'currency': 'EUR'}",,,3,False,20.0,18.0,2.0,1.0,0.0,1.0,4.0,,,,90.0,30.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,1.0,,,,,,,3.0,,,,,,,1.0,,,True,Deportivo Cali,away,,,1.0,,,
José Caldera,jose-caldera,J. Caldera,D,12,185.0,41,1127886,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1012780800.0,"{'value': 470000, 'currency': 'EUR'}",José Caldera,,12,False,19.0,16.0,8.0,6.0,0.0,4.0,11.0,1.0,,,90.0,37.0,7.5,3.0,"{'original': 7.5, 'alternative': None}",,,2.0,2.0,4.0,,,,,,3.0,,1.0,,1.0,,,2.0,,,,Deportivo Cali,away,,,,,,
Yulián Gómez,yulian-gomez,Y. Gómez,D,26,170.0,30,891452,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,870652800.0,"{'value': 440000, 'currency': 'EUR'}",,,26,False,21.0,18.0,1.0,,0.0,5.0,2.0,1.0,,,90.0,37.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",5.0,1.0,,2.0,1.0,,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,Deportivo Cali,away,,,,,,
Yeison Gordillo,yeison-gordillo,Y. Gordillo,M,30,176.0,75,285429,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,709430400.0,"{'value': 310000, 'currency': 'EUR'}",,,30,False,35.0,24.0,4.0,1.0,0.0,9.0,1.0,,,,90.0,50.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",,,,2.0,1.0,,,,2.0,,1.0,1.0,7.0,,1.0,,,1.0,,,,Deportivo Cali,away,,,,,,
Victor Mejia,victor-mejia,V. Mejia,M,6,182.0,20,355878,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,728784000.0,"{'value': 390000, 'currency': 'EUR'}",,,6,False,33.0,27.0,6.0,4.0,0.0,2.0,2.0,1.0,,,90.0,42.0,7.0,10.0,"{'original': 7, 'alternative': None}",,,1.0,,3.0,,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,Deportivo Cali,away,,,,,,
Jarlan Barrera,jarlan-barrera,J. Barrera,M,7,171.0,286,796511,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,811209600.0,"{'value': 595000, 'currency': 'EUR'}",,,7,False,40.0,32.0,4.0,2.0,1.0,1.0,,1.0,,,86.0,50.0,7.8,11.0,"{'original': 7.8, 'alternative': None}",3.0,3.0,,,4.0,,1.0,,,,,,,,5.0,2.0,,2.0,,,,Deportivo Cali,away,,,,1.0,1.0,
Javier Reina,javier-reina,J. Reina,M,10,173.0,58,590378,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,599875200.0,"{'value': 210000, 'currency': 'EUR'}",,,10,False,23.0,19.0,5.0,2.0,0.0,,1.0,,,,78.0,33.0,7.3,6.0,"{'original': 7.3, 'alternative': None}",4.0,3.0,2.0,,3.0,1.0,,1.0,2.0,,,,,,1.0,,,,,,,Deportivo Cali,away,,,,,1.0,1.0
Juan Camilo Cantillo,juan-camilo-cantillo,J. C. Cantillo,F,18,175.0,17,1174880,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041984000.0,"{'value': 105000, 'currency': 'EUR'}",Juan Camilo Cantillo,,18,False,16.0,11.0,2.0,1.0,0.0,2.0,,,,,67.0,27.0,7.0,8.0,"{'original': 7, 'alternative': None}",1.0,,,1.0,2.0,1.0,3.0,,,,,,1.0,,,1.0,,,,,,Deportivo Cali,away,,,,,,
Andrey Estupiñán,andrey-estupinan,A. Estupiñán,F,11,175.0,124,944462,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773366400.0,"{'value': 320000, 'currency': 'EUR'}",,,11,False,18.0,11.0,,,0.0,4.0,1.0,1.0,,,86.0,35.0,7.4,12.0,"{'original': 7.4, 'alternative': None}",,,3.0,1.0,8.0,1.0,2.0,2.0,,,1.0,,2.0,,2.0,1.0,,3.0,,,,Deportivo Cali,away,,,,,1.0,
Cristian Graciano,graciano-cristian,C. Graciano,D,44,176.0,28,1476923,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1052784000.0,"{'value': 325000, 'currency': 'EUR'}",,,44,True,7.0,5.0,1.0,,0.0,1.0,1.0,,,,23.0,13.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,2.0,,3.0,,1.0,,,,1.0,,1.0,1.0,,,,,,,,Deportivo Cali,away,,,,,,
Gian Cabezas,gian-cabezas,G. Cabezas,M,28,178.0,43,1099301,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1041379200.0,"{'value': 420000, 'currency': 'EUR'}",Gian Cabezas,,28,True,11.0,11.0,,,0.0,1.0,,,,,12.0,15.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",,,,,2.0,,,,,,,,,2.0,1.0,1.0,1.0,,,,,Deportivo Cali,away,,,,,,
Juan Arango,juan-arango,J. Arango,F,17,,25,1616364,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1181952000.0,,Juan Arango,,17,True,4.0,3.0,,,0.0,2.0,,,,,9.0,10.0,6.8,3.0,"{'original': 6.8, 'alternative': None}",,,,,1.0,,1.0,,,,,,1.0,2.0,,,1.0,,,,,Deportivo Cali,away,,,,,,
Jhon Cabal,cabal-jhon,J. Cabal,F,46,,13,1411619,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1065916800.0,,,,46,True,3.0,2.0,,,0.0,,,,,,9.0,3.0,6.5,1.0,"{'original': 6.5, 'alternative': None}",,,,,1.0,,,,,,,,,,,,,1.0,,,,Deportivo Cali,away,,,,,,
Gastón Guruceaga,gaston-guruceaga,G. Guruceaga,G,22,190.0,73,589614,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,795225600.0,"{'value': 380000, 'currency': 'EUR'}",,,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,,,,,
Michael John Kamara,mj-kamara,M. Kamara,D,42,185.0,7,1890278,"{'alpha2': 'EN', 'alpha3': 'ENG', 'name': 'England', 'slug': 'england'}",EUR,1156982400.0,,,,42,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,,,,,
Jean Galindo,jean-galindo,J. Galindo,,33,,19,1965572,{},EUR,,,Jean Galindo,,33,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo Cali,away,,,,,,
