name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,totalClearance,interceptionWon,totalTackle,fouls,bigChanceCreated,shotOffTarget,blockedScoringAttempt,wasFouled,keyPass,totalCross,onTargetScoringAttempt,goals,accurateCross,challengeLost,bigChanceMissed,hitWoodwork,totalOffside,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,wonContest,outfielderBlock
Washington Aguerre,,,washington-aguerre,W. Aguerre,G,29,187.0,279,311402,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,735523200.0,"{'value': 870000, 'currency': 'EUR'}",,29,False,18.0,16.0,2.0,0.0,90.0,19.0,6.7,2.0,"{'original': 6.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,
Léyser Chaverra,,,leyser-chaverra-renteria,L. Chaverra,D,2,175.0,89,947332,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,859852800.0,"{'value': 875000, 'currency': 'EUR'}",,2,False,45.0,41.0,3.0,0.0,90.0,70.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,Independiente Medellín,home,,,,,,
Homer Martinez,,,homer-martinez,H. Martinez,M,18,186.0,58,846432,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,876096000.0,"{'value': 670000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ه. مارتينيز', 'hi': 'एच. मार्टिनेज', 'bn': 'এইচ. মার্টিনেজ'}}",18,False,83.0,77.0,16.0,0.0,90.0,93.0,8.0,6.0,"{'original': 8, 'alternative': None}",13.0,,1.0,,3.0,,,2.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,Independiente Medellín,home,,,,,,
Daniel Londoño,,,daniel-londono,D. Londoño,D,33,185.0,22,796506,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,788918400.0,"{'value': 545000, 'currency': 'EUR'}",,33,False,59.0,52.0,5.0,0.0,90.0,67.0,7.7,10.0,"{'original': 7.7, 'alternative': None}",2.0,1.0,,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,Independiente Medellín,home,,,,,,
Mender García,,,mender-garcia,M. García,F,8,180.0,100,909606,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,909532800.0,"{'value': 830000, 'currency': 'EUR'}",,8,False,38.0,31.0,2.0,0.0,77.0,49.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,1.0,2.0,3.0,3.0,,,1.0,,1.0,1.0,,1.0,,,2.0,3.0,,,1.0,1.0,1.0,,,,Independiente Medellín,home,,,,,,
Jaime Alvarado,,,alvarado-jaime,J. Alvarado,M,15,181.0,92,914202,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,932947200.0,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'خ. الفارادو'}}",15,False,62.0,57.0,7.0,0.0,90.0,67.0,7.2,7.0,"{'original': 7.2, 'alternative': None}",6.0,1.0,2.0,2.0,3.0,,,,,,1.0,,,,1.0,,,,,,,,,,True,Independiente Medellín,home,,,,,,
Diego Moreno,,,diego-moreno,D. Moreno,M,31,181.0,78,819139,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825379200.0,"{'value': 930000, 'currency': 'EUR'}",,31,False,55.0,47.0,3.0,1.0,90.0,66.0,7.1,10.0,"{'original': 7.1, 'alternative': None}",,1.0,,2.0,1.0,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,,Independiente Medellín,home,,,,,,
Francisco Chaverra,,,francisco-chaverra,F. Chaverra,M,13,172.0,246,977812,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,952905600.0,"{'value': 1500000, 'currency': 'EUR'}",,13,False,48.0,47.0,2.0,0.0,77.0,71.0,8.4,8.0,"{'original': 8.4, 'alternative': None}",2.0,1.0,,2.0,1.0,,,,,1.0,1.0,,2.0,1.0,,3.0,7.0,3.0,1.0,1.0,,,1.0,,,Independiente Medellín,home,,,,,,
Léider Berrío,Léider Berrío,,leider-berrio,L. Berrío,M,7,175.0,196,1170682,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,897177600.0,"{'value': 595000, 'currency': 'EUR'}",,7,False,40.0,30.0,4.0,1.0,66.0,55.0,7.8,14.0,"{'original': 7.8, 'alternative': None}",3.0,1.0,,2.0,2.0,1.0,,,2.0,1.0,,,1.0,2.0,1.0,4.0,4.0,1.0,,1.0,,,,,,Independiente Medellín,home,,,,,,
Luis Sandoval,,,luis-sandoval,L. Sandoval,F,9,183.0,288,848048,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928195200.0,"{'value': 765000, 'currency': 'EUR'}",,9,False,28.0,20.0,,0.0,67.0,36.0,7.9,11.0,"{'original': 7.9, 'alternative': None}",,,,,,,,,,,,,,3.0,,5.0,2.0,1.0,1.0,,,,,,,Independiente Medellín,home,,,,,,
