name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,minutesPlayed,touches,rating,ratingVersions,totalCross,aerialLost,duelLost,challengeLost,dispossessed,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,interceptionWon,totalTackle,fouls,possessionLostCtrl,outfielderBlock,wasFouled,accurateCross,keyPass,totalOffside,captain,team,teamType,fieldTranslations,goodHighClaim,saves,punches,bigChanceCreated,totalContest,wonContest,blockedScoringAttempt
Humberto Acevedo,humberto-acevedo,H. Acevedo,G,77,185.0,17,873463,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864345600.0,"{'value': 53000, 'currency': 'EUR'}",,,77,False,18.0,18.0,8.0,8.0,0.0,1.0,1.0,90.0,21.0,6.4,"{'original': 6.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,,,
Geovan Montes,geovan-montes,G. Montes,D,31,178.0,6,821735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823046400.0,"{'value': 285000, 'currency': 'EUR'}",,,31,False,25.0,23.0,1.0,1.0,0.0,,1.0,90.0,43.0,7.0,"{'original': 7, 'alternative': None}",3.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,9.0,,,,,,,Llaneros FC,home,,,,,,,,
Óscar Vega,oscar-vega,Ó. Vega,D,30,,8,2030749,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Oscar Vega,,30,False,39.0,32.0,7.0,3.0,0.0,,,90.0,47.0,6.4,"{'original': 6.4, 'alternative': None}",,,,,,,,,3.0,1.0,,,7.0,1.0,,,,,,Llaneros FC,home,,,,,,,,
Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",Jan Ángulo,,20,False,33.0,29.0,5.0,4.0,0.0,2.0,5.0,90.0,40.0,6.7,"{'original': 6.7, 'alternative': None}",,,1.0,,,,,,2.0,1.0,3.0,1.0,4.0,,,,,,,Llaneros FC,home,,,,,,,,
Juan José Vásquez,juan-jose-vasquez,J. J. Vásquez,F,99,180.0,4,1133380,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,928368000.0,,Juan José Vásquez,,99,False,47.0,40.0,10.0,6.0,0.0,1.0,2.0,90.0,59.0,6.6,"{'original': 6.6, 'alternative': None}",3.0,2.0,2.0,,,,,,2.0,1.0,,,11.0,,1.0,,,,,Llaneros FC,home,,,,,,,,
Maicol Medina,maicol-medina,M. Medina,M,18,178.0,11,1100059,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865382400.0,"{'value': 240000, 'currency': 'EUR'}",,,18,False,46.0,39.0,8.0,3.0,0.0,,,86.0,51.0,6.3,"{'original': 6.3, 'alternative': None}",,,3.0,1.0,1.0,,,,,2.0,,1.0,9.0,,,,,,,Llaneros FC,home,,,,,,,,
Roberto Hinojosa,roberto-hinojosa,R. Hinojosa,M,80,170.0,64,989392,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930873600.0,"{'value': 530000, 'currency': 'EUR'}",,,26,False,18.0,16.0,1.0,1.0,0.0,,5.0,69.0,38.0,6.8,"{'original': 6.8, 'alternative': None}",5.0,1.0,6.0,,4.0,1.0,1.0,,,,1.0,1.0,12.0,,4.0,1.0,,,,Llaneros FC,home,,,,,,,,
Eyder Restrepo,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600.0,"{'value': 265000, 'currency': 'EUR'}",,,5,False,28.0,25.0,1.0,1.0,1.0,,2.0,76.0,31.0,6.8,"{'original': 6.8, 'alternative': None}",,1.0,5.0,,,,,,,,,4.0,3.0,,2.0,,1.0,,,Llaneros FC,home,,,,,,,,
Carlos Sierra,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800.0,"{'value': 280000, 'currency': 'EUR'}",,,14,False,49.0,42.0,9.0,5.0,0.0,1.0,3.0,90.0,59.0,7.0,"{'original': 7, 'alternative': None}",,,3.0,,1.0,1.0,1.0,,1.0,2.0,1.0,2.0,10.0,,1.0,,1.0,,,Llaneros FC,home,,,,,,,,
Bryan Urueña,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",,,10,False,50.0,46.0,10.0,8.0,0.0,1.0,6.0,90.0,72.0,8.0,"{'original': 8, 'alternative': None}",9.0,,2.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,17.0,,4.0,,,,True,Llaneros FC,home,,,,,,,,
Michael Rangel,michael-rangel,M. Rangel,F,9,186.0,141,1103938,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,668390400.0,"{'value': 190000, 'currency': 'EUR'}",,,9,False,15.0,7.0,,,0.0,1.0,2.0,69.0,21.0,6.4,"{'original': 6.4, 'alternative': None}",,,2.0,,1.0,,,,,,,1.0,12.0,,1.0,,,1.0,,Llaneros FC,home,,,,,,,,
Freddy Espinal,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600.0,"{'value': 240000, 'currency': 'EUR'}",Freddy Espinal,,11,True,4.0,3.0,,,0.0,,,21.0,13.0,6.6,"{'original': 6.6, 'alternative': None}",5.0,,1.0,,,,,,,,,1.0,8.0,,,1.0,1.0,,,Llaneros FC,home,,,,,,,,
