name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,height,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,dispossessed,totalContest,totalClearance,interceptionWon,fouls,keyPass,outfielderBlock,wasFouled,shotOffTarget,totalTackle,totalOffside,wonContest,challengeLost,blockedScoringAttempt,onTargetScoringAttempt,captain,team,teamType,fieldTranslations,punches,totalKeeperSweeper,accurateKeeperSweeper
Eduar Beltrán,Eduar Esteban,Beltrán Restrepo,eduar-esteban,E. Beltrán,G,1,16,1175066,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,951004800,"{'value': 185000, 'currency': 'EUR'}",,1,False,19.0,18.0,2.0,1.0,0.0,1.0,1.0,3.0,4.0,90.0,33.0,7.7,2.0,"{'original': 7.7, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Unión Magdalena,home,,,,
Daniel Mera,Daniel Mera,,daniel-mera,D. Mera,D,3,7,1470050,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945734400,"{'value': 245000, 'currency': 'EUR'}",183.0,3,False,39.0,30.0,7.0,3.0,0.0,3.0,3.0,,,90.0,54.0,6.8,15.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,Unión Magdalena,home,,,,
Óscar Vanegas,,,oscar-vanegas,Ó. Vanegas,D,33,28,1015630,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,831427200,"{'value': 290000, 'currency': 'EUR'}",185.0,33,False,60.0,53.0,6.0,4.0,0.0,4.0,5.0,,,90.0,71.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",,,1.0,2.0,1.0,,6.0,1.0,,,1.0,1.0,,,,,,,,,Unión Magdalena,home,,,,
Martín Payares,,,martin-payares,M. Payares,D,5,14,818989,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796262400,"{'value': 410000, 'currency': 'EUR'}",183.0,5,False,57.0,55.0,5.0,5.0,0.0,3.0,5.0,,,90.0,70.0,7.7,3.0,"{'original': 7.7, 'alternative': None}",1.0,,4.0,4.0,,,3.0,2.0,,1.0,1.0,,1.0,2.0,1.0,,,,,,Unión Magdalena,home,,,,
David Murillo,,,david-murillo,D. Murillo,D,4,14,805277,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 97000, 'currency': 'EUR'}",178.0,4,False,31.0,26.0,1.0,,0.0,,6.0,,,65.0,48.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",3.0,1.0,1.0,3.0,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,3.0,,1.0,,,,,Unión Magdalena,home,,,,
Valentin Sanchez,Valentin Sanchez,,valentin-sanchez,V. Sanchez,M,8,4,1390760,{},EUR,1012867200,,,8,False,32.0,23.0,1.0,1.0,0.0,1.0,5.0,,,82.0,48.0,6.8,14.0,"{'original': 6.8, 'alternative': None}",,,2.0,9.0,1.0,3.0,,,3.0,3.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,Unión Magdalena,home,,,,
Fabián Cantillo,,,fabian-cantillo,F. Cantillo,M,24,9,974035,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,874454400,"{'value': 390000, 'currency': 'EUR'}",184.0,24,False,72.0,62.0,9.0,6.0,0.0,,2.0,,,90.0,85.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",1.0,,3.0,7.0,2.0,1.0,,,2.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,Unión Magdalena,home,,,,
Cristian Sención,,,cristian-sencion,C. Sención,M,16,20,877404,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,822787200,"{'value': 290000, 'currency': 'EUR'}",179.0,16,False,45.0,35.0,8.0,5.0,0.0,2.0,7.0,,,74.0,54.0,7.0,12.0,"{'original': 7, 'alternative': None}",3.0,1.0,,2.0,,1.0,,,1.0,1.0,,2.0,,2.0,,1.0,1.0,1.0,,True,Unión Magdalena,home,,,,
Jannenson Sarmiento,,,jannenson-sarmiento,J. Sarmiento,M,10,110,1466270,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,940204800,"{'value': 480000, 'currency': 'EUR'}",179.0,10,False,30.0,24.0,1.0,,0.0,,2.0,,,74.0,39.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",2.0,,,3.0,1.0,1.0,,,1.0,4.0,,,,2.0,,,,,,,Unión Magdalena,home,,,,
Ruyery Blanco,,,ruyery-blanco,R. Blanco,F,17,31,974049,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,912988800,"{'value': 230000, 'currency': 'EUR'}",180.0,17,False,22.0,12.0,1.0,1.0,0.0,2.0,5.0,,,90.0,41.0,7.5,16.0,"{'original': 7.5, 'alternative': None}",,,1.0,6.0,2.0,1.0,1.0,,2.0,,,2.0,2.0,1.0,,,,1.0,4.0,,Unión Magdalena,home,,,,
