name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,challengeLost,totalContest,shotOffTarget,blockedScoringAttempt,totalTackle,fouls,outfielderBlock,totalCross,interceptionWon,wasFouled,keyPass,dispossessed,onTargetScoringAttempt,accurateCross,wonContest,goals,totalOffside,captain,team,teamType,fieldTranslations,goodHighClaim,bigChanceMissed,hitWoodwork,bigChanceCreated
Juan Camilo Chaverra,,,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400,"{'value': 190000, 'currency': 'EUR'}",12,False,23.0,15.0,13.0,5.0,0.0,1.0,1.0,1.0,2.0,3.0,90.0,29.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Yilson Rosales,,,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000,"{'value': 260000, 'currency': 'EUR'}",60,False,29.0,22.0,6.0,2.0,0.0,,3.0,2.0,,,90.0,50.0,6.4,15.0,"{'original': 6.4, 'alternative': None}",1.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Jesús Figueroa,,,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600,"{'value': 230000, 'currency': 'EUR'}",6,False,27.0,20.0,5.0,1.0,0.0,,,8.0,,,77.0,36.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",1.0,3.0,,,,,,2.0,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,
Pedro Franco,,,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800,"{'value': 270000, 'currency': 'EUR'}",5,False,49.0,38.0,13.0,7.0,0.0,2.0,3.0,8.0,,,90.0,60.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,True,Alianza Valledupar FC,home,,,,,
Leonardo Saldaña,,,leonardo-saldana,L. Saldaña,D,16,170.0,16,819197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,629078400,"{'value': 225000, 'currency': 'EUR'}",16,False,20.0,14.0,4.0,1.0,0.0,1.0,4.0,1.0,,,90.0,36.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,,,,1.0,,1.0,,,3.0,1.0,2.0,1.0,,,,,,,,Alianza Valledupar FC,home,,,,,
Jair Castillo,,,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800,"{'value': 360000, 'currency': 'EUR'}",7,False,24.0,20.0,5.0,3.0,0.0,,5.0,1.0,,,67.0,36.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,6.0,2.0,,,,2.0,2.0,,1.0,1.0,3.0,,2.0,1.0,,,,,,Alianza Valledupar FC,home,,,,,
Diego Mendoza,Diego Mendoza,,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000,"{'value': 325000, 'currency': 'EUR'}",23,False,21.0,17.0,2.0,1.0,0.0,,2.0,2.0,,,90.0,36.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,3.0,,1.0,,,2.0,,1.0,1.0,3.0,,,1.0,,,,,,,Alianza Valledupar FC,home,,,,,
Edwin Torres,,,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600,"{'value': 580000, 'currency': 'EUR'}",29,False,8.0,6.0,1.0,1.0,0.0,,1.0,,,,67.0,22.0,6.4,11.0,"{'original': 6.4, 'alternative': None}",1.0,5.0,,2.0,,,1.0,1.0,,7.0,,,,1.0,,2.0,,,,,Alianza Valledupar FC,home,,,,,
Wiston Fernández,,,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000,"{'value': 365000, 'currency': 'EUR'}",33,False,23.0,17.0,6.0,2.0,0.0,1.0,2.0,1.0,,,90.0,38.0,7.4,13.0,"{'original': 7.4, 'alternative': None}",,3.0,,1.0,1.0,,,1.0,,4.0,,,3.0,2.0,2.0,1.0,1.0,1.0,,,Alianza Valledupar FC,home,,,,,
Jesús Muñoz,Jesús Muñoz,,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000,"{'value': 375000, 'currency': 'EUR'}",24,False,17.0,12.0,1.0,,0.0,,5.0,,,,74.0,29.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",3.0,5.0,,2.0,,2.0,,,,1.0,1.0,4.0,3.0,1.0,,,1.0,,,,Alianza Valledupar FC,home,,,,,
