name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,totalContest,shotOffTarget,totalClearance,fouls,duelWon,outfielderBlock,totalTackle,wasFouled,aerialWon,dispossessed,keyPass,challengeLost,interceptionWon,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,penaltyWon,wonContest,goals,captain,team,teamType,fieldTranslations,ownGoals,savedShotsFromInsideTheBox,penaltyConceded,bigChanceCreated,hitWoodwork
Juan Camilo Chaverra,,,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400.0,"{'value': 190000, 'currency': 'EUR'}",12,False,24.0,11.0,21.0,8.0,0.0,1.0,90.0,26.0,6.1,13.0,"{'original': 6.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,,
Yilson Rosales,,,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000.0,"{'value': 260000, 'currency': 'EUR'}",60,False,25.0,19.0,4.0,1.0,0.0,,90.0,45.0,6.1,15.0,"{'original': 6.1, 'alternative': None}",1.0,2.0,6.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,,
John García,,,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600.0,"{'value': 93000, 'currency': 'EUR'}",18,False,13.0,8.0,5.0,,0.0,,90.0,27.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,1.0,2.0,,,8.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,,,
Pedro Franco,,,pedro-franco,P. Franco,D,25,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800.0,"{'value': 270000, 'currency': 'EUR'}",5,False,27.0,19.0,2.0,,0.0,,90.0,36.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",,1.0,4.0,,,5.0,2.0,4.0,1.0,2.0,,2.0,1.0,1.0,,,,,,,,,,True,Alianza Valledupar FC,home,,,,,,
Leonardo Saldaña,,,leonardo-saldana,L. Saldaña,D,16,170.0,16,819197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,629078400.0,"{'value': 225000, 'currency': 'EUR'}",16,False,12.0,8.0,4.0,1.0,0.0,,90.0,21.0,6.2,5.0,"{'original': 6.2, 'alternative': None}",,1.0,4.0,,,1.0,1.0,2.0,,1.0,,1.0,,,2.0,1.0,,,,,,,,,Alianza Valledupar FC,home,,,,,,
Edwin Torres,,,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 580000, 'currency': 'EUR'}",29,False,23.0,17.0,3.0,1.0,0.0,,77.0,38.0,6.8,12.0,"{'original': 6.8, 'alternative': None}",4.0,1.0,5.0,1.0,,1.0,3.0,2.0,1.0,1.0,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,Alianza Valledupar FC,home,,,,,,
Luis Pérez,Luis Pérez,,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600.0,"{'value': 340000, 'currency': 'EUR'}",19,False,21.0,20.0,1.0,,0.0,,77.0,32.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,2.0,,1.0,1.0,1.0,2.0,,2.0,,,1.0,1.0,,,,1.0,,,,,,,Alianza Valledupar FC,home,,,,,,
Diego Mendoza,Diego Mendoza,,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000.0,"{'value': 325000, 'currency': 'EUR'}",23,False,26.0,20.0,6.0,4.0,1.0,,90.0,34.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",,,2.0,,,2.0,2.0,5.0,,1.0,2.0,2.0,,2.0,,,,,,1.0,1.0,,,,Alianza Valledupar FC,home,,,,,,
Jesús Muñoz,Jesús Muñoz,,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000.0,"{'value': 375000, 'currency': 'EUR'}",24,False,9.0,8.0,,,0.0,,87.0,21.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",2.0,1.0,4.0,1.0,,1.0,1.0,5.0,,1.0,4.0,,1.0,1.0,,,,,1.0,,,,,,Alianza Valledupar FC,home,,,,,,
Wiston Fernández,,,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000.0,"{'value': 365000, 'currency': 'EUR'}",33,False,22.0,17.0,4.0,3.0,0.0,,77.0,32.0,7.6,7.0,"{'original': 7.6, 'alternative': None}",2.0,2.0,3.0,1.0,,,1.0,4.0,1.0,2.0,1.0,,,2.0,,,,2.0,1.0,,,1.0,,,Alianza Valledupar FC,home,,,,,,
