name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,interceptionWon,totalTackle,wasFouled,fouls,keyPass,dispossessed,outfielderBlock,challengeLost,totalContest,blockedScoringAttempt,onTargetScoringAttempt,goals,bigChanceCreated,accurateCross,captain,team,teamType,wonContest,errorLeadToAGoal,totalOffside
Juan Camilo Chaverra,,,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400.0,"{'value': 190000, 'currency': 'EUR'}",,12,False,21.0,12.0,15.0,6.0,0.0,1.0,2.0,2.0,1.0,90.0,26.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Yilson Rosales,,,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000.0,"{'value': 260000, 'currency': 'EUR'}",,60,False,15.0,10.0,4.0,2.0,0.0,2.0,,,,90.0,27.0,7.0,8.0,"{'original': 7, 'alternative': None}",1.0,2.0,1.0,5.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,,,,Alianza Valledupar FC,home,,,
Pedro Franco,,,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800.0,"{'value': 270000, 'currency': 'EUR'}",,5,False,37.0,32.0,5.0,3.0,0.0,5.0,,,,90.0,47.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",,2.0,,4.0,1.0,,,1.0,,1.0,,1.0,2.0,,,,,,,,True,Alianza Valledupar FC,home,,,
John García,,,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600.0,"{'value': 93000, 'currency': 'EUR'}",,18,False,18.0,12.0,5.0,,0.0,10.0,,,,90.0,32.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",,1.0,2.0,3.0,3.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,Alianza Valledupar FC,home,,,
Kalazan Suárez,Kalazan Suárez,,kalazan-suarez,K. Suárez,D,22,175.0,20,1179173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015286400.0,"{'value': 245000, 'currency': 'EUR'}",,22,False,33.0,25.0,4.0,2.0,0.0,1.0,,,,90.0,43.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Ruben Manjarres,Ruben Manjarres,,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000.0,"{'value': 315000, 'currency': 'EUR'}",,21,False,12.0,10.0,3.0,3.0,0.0,,,,,58.0,23.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",4.0,2.0,,2.0,2.0,,,2.0,,,,,,,,2.0,,,,,,Alianza Valledupar FC,home,,,
Jair Castillo,,,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800.0,"{'value': 360000, 'currency': 'EUR'}",,7,False,17.0,15.0,1.0,1.0,0.0,,,,,58.0,26.0,6.7,6.0,"{'original': 6.7, 'alternative': None}",3.0,1.0,,4.0,2.0,,,1.0,1.0,3.0,,,,,,,,,,,,Alianza Valledupar FC,home,,,
Luis Pérez,Luis Pérez,,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600.0,"{'value': 340000, 'currency': 'EUR'}",,19,False,31.0,26.0,4.0,4.0,0.0,2.0,,,,90.0,40.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",,,,4.0,2.0,,,,2.0,2.0,,,,1.0,1.0,1.0,,,,,,Alianza Valledupar FC,home,,,
Jesús Muñoz,Jesús Muñoz,,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000.0,"{'value': 375000, 'currency': 'EUR'}",,24,False,17.0,14.0,1.0,1.0,0.0,,,,,78.0,29.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,1.0,,4.0,4.0,2.0,,2.0,2.0,,,1.0,,,2.0,,,,,,,Alianza Valledupar FC,home,,,
Felipe Pardo,,,felipe-pardo,F. Pardo,F,11,178.0,155,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200.0,"{'value': 210000, 'currency': 'EUR'}",,17,False,24.0,17.0,2.0,1.0,0.0,1.0,,,,84.0,37.0,8.4,15.0,"{'original': 8.4, 'alternative': None}",5.0,1.0,3.0,4.0,4.0,,,,1.0,1.0,,2.0,,,,,2.0,2.0,,,,Alianza Valledupar FC,home,,,
