name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,aerialLost,duelLost,shotOffTarget,totalClearance,keyPass,aerialWon,duelWon,onTargetScoringAttempt,outfielderBlock,interceptionWon,totalTackle,wasFouled,totalCross,dispossessed,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,fouls,challengeLost,accurateCross,totalOffside,bigChanceMissed,captain,team,teamType,goals
Andres Perez,andres-perez,A. Perez,G,12,180.0,5,1177555,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,926035200.0,"{'value': 49000, 'currency': 'EUR'}",,,,12,False,27.0,21.0,10.0,4.0,0.0,2.0,2.0,90.0,32.0,6.2,6.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Miguel Amaya,miguel-amaya,M. Amaya,,20,,5,2048968,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Miguel Amaya,,,20,False,83.0,74.0,12.0,5.0,0.0,,,90.0,87.0,6.6,9.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Guillermo Tegüe,guillermo-tegue,G. Tegüe,D,4,186.0,8,906007,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949795200.0,"{'value': 315000, 'currency': 'EUR'}",,,,4,False,49.0,42.0,3.0,,0.0,,,90.0,61.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",,,2.0,4.0,,6.0,8.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,Deportivo La Equidad,home,
Bleiner Agrón,bleiner-agron,B. Agrón,D,30,185.0,27,1066910,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,982972800.0,"{'value': 260000, 'currency': 'EUR'}",Bleiner Agrón,,,30,False,78.0,72.0,10.0,6.0,0.0,,,90.0,85.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",3.0,3.0,,1.0,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,Deportivo La Equidad,home,
Amaury Torralvo,torralvo-amaury,A. Torralvo,F,36,169.0,11,821915,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,758332800.0,"{'value': 260000, 'currency': 'EUR'}",,,,36,False,8.0,7.0,,,0.0,,,45.0,16.0,6.4,3.0,"{'original': 6.4, 'alternative': None}",,1.0,,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,Deportivo La Equidad,home,
Yair Joao Abonia Vasquez,yair-abonia,J. Abonia,D,13,170.0,9,1175080,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,949968000.0,"{'value': 310000, 'currency': 'EUR'}",Yair Joao,Abonia Vásquez,,13,False,36.0,27.0,3.0,1.0,0.0,,,90.0,57.0,7.0,13.0,"{'original': 7, 'alternative': None}",,3.0,,2.0,1.0,1.0,3.0,,1.0,2.0,,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,,,,,,Deportivo La Equidad,home,
Felipe Acosta,felipe-acosta,F. Acosta,M,14,190.0,15,924302,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,769824000.0,"{'value': 580000, 'currency': 'EUR'}",,,,14,False,30.0,26.0,5.0,3.0,0.0,,,64.0,41.0,6.9,7.0,"{'original': 6.9, 'alternative': None}",1.0,2.0,2.0,2.0,,2.0,2.0,,,3.0,,,,1.0,,,,,,,,,,True,Deportivo La Equidad,home,
Santiago Orozco,santiago-orozco,S. Orozco,M,6,172.0,8,1016205,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,826934400.0,"{'value': 270000, 'currency': 'EUR'}",,,,6,False,76.0,58.0,17.0,7.0,0.0,,,90.0,97.0,7.1,25.0,"{'original': 7.1, 'alternative': None}",1.0,4.0,1.0,1.0,1.0,2.0,6.0,,1.0,3.0,1.0,3.0,2.0,,,,,1.0,2.0,1.0,,,,,Deportivo La Equidad,home,
Beckham Castro,beckham-castro,B. Castro,F,11,176.0,129,1173560,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1063324800.0,"{'value': 760000, 'currency': 'EUR'}",Beckham Castro,,,11,False,21.0,20.0,,,0.0,,,90.0,37.0,6.7,10.0,"{'original': 6.7, 'alternative': None}",,3.0,1.0,,5.0,,1.0,,,,,1.0,5.0,1.0,2.0,,,,,,4.0,1.0,,,Deportivo La Equidad,home,
Samir Mayo,mayo-samir,S. Mayo,M,16,,19,1476921,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1043884800.0,"{'value': 335000, 'currency': 'EUR'}",,,,16,False,36.0,30.0,3.0,3.0,0.0,,,84.0,49.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",,3.0,1.0,,2.0,,1.0,,,,,,5.0,,3.0,1.0,,,1.0,,1.0,,,,Deportivo La Equidad,home,
Wilmar Cruz,wilmar-cruz,W. Cruz,F,10,171.0,31,925131,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,743731200.0,"{'value': 260000, 'currency': 'EUR'}",,,,10,False,16.0,12.0,1.0,1.0,0.0,,,64.0,20.0,6.4,6.0,"{'original': 6.4, 'alternative': None}",1.0,4.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,4.0,,,,1.0,,Deportivo La Equidad,home,
Andres Correa,andres-correa,A. Correa,D,3,174.0,10,329607,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,759801600.0,"{'value': 380000, 'currency': 'EUR'}",,,,3,True,24.0,20.0,3.0,1.0,0.0,,,45.0,34.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,1.0,,,,Deportivo La Equidad,home,
Santiago Lopez,lopez-santiago,S. López,M,8,,10,1512397,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1013212800.0,,Santiago López,,,25,True,8.0,6.0,,,0.0,,,26.0,15.0,6.6,5.0,"{'original': 6.6, 'alternative': None}",,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,Deportivo La Equidad,home,
Ayron Del Valle,ayron-del-valle,A. D. Valle,F,7,178.0,97,47735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,601862400.0,"{'value': 160000, 'currency': 'EUR'}",,,,7,True,10.0,8.0,2.0,1.0,0.0,,,26.0,20.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",,2.0,1.0,,,,4.0,,,,3.0,1.0,,2.0,,,,,,,,1.0,,,Deportivo La Equidad,home,
Carlos Paternina,paternina-carlos,C. Paternina,M,10,163.0,13,1175236,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,987033600.0,,,,,18,True,4.0,3.0,1.0,,0.0,,,15.0,4.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,,,2.0,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Cristopher Varela,cristopher-varela,C. Varela,G,1,189.0,59,868776,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,943660800.0,"{'value': 400000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. فاريلّا', 'hi': 'सी. वेरेला', 'bn': 'সি. ভারেলা'}}",1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Brayan Montaño,brayan-montano,B. Montaño,D,24,176.0,25,1003376,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1020297600.0,"{'value': 340000, 'currency': 'EUR'}",,,,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Deivid Castro,deivid-castro,D. Castro,,15,,3,2123055,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,,,Deivid Castro,,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportivo La Equidad,home,
Johan Wallens,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,False,31.0,18.0,26.0,13.0,0.0,2.0,2.0,90.0,34.0,7.1,14.0,"{'original': 7.1, 'alternative': None}",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
Kalazan Suárez,kalazan-suarez,K. Suárez,D,22,175.0,20,1179173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1015286400.0,"{'value': 245000, 'currency': 'EUR'}",Kalazan Suárez,,,22,False,26.0,19.0,1.0,1.0,0.0,,,90.0,56.0,7.2,17.0,"{'original': 7.2, 'alternative': None}",1.0,3.0,,4.0,1.0,,3.0,,1.0,1.0,1.0,2.0,4.0,1.0,,,,1.0,1.0,,2.0,,,,Alianza Valledupar FC,away,
Pedro Franco,pedro-franco,P. Franco,D,23,183.0,51,158581,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,672364800.0,"{'value': 270000, 'currency': 'EUR'}",,,,5,False,37.0,28.0,5.0,2.0,0.0,,,90.0,48.0,6.9,11.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,1.0,4.0,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,,True,Alianza Valledupar FC,away,
John García,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600.0,"{'value': 93000, 'currency': 'EUR'}",,,,18,False,27.0,21.0,6.0,1.0,0.0,,,90.0,34.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",1.0,1.0,,3.0,,,2.0,,,,,2.0,,,,,,,,,,,,,Alianza Valledupar FC,away,
Yilson Rosales,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000.0,"{'value': 260000, 'currency': 'EUR'}",,,,60,False,25.0,21.0,1.0,1.0,0.0,,,90.0,46.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",1.0,2.0,,4.0,,,4.0,,1.0,,3.0,1.0,1.0,,,,,,1.0,,,,,,Alianza Valledupar FC,away,
Ruben Manjarres,ruben-manjarres,R. Manjarres,M,8,184.0,22,1098315,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,950832000.0,"{'value': 315000, 'currency': 'EUR'}",Ruben Manjarres,,,21,False,21.0,14.0,5.0,1.0,0.0,,,58.0,28.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,1.0,4.0,,,,2.0,1.0,3.0,,,,,,1.0,,,1.0,,,Alianza Valledupar FC,away,
Jair Castillo,jair-castillo,J. Castillo,M,7,175.0,10,1014497,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,861580800.0,"{'value': 360000, 'currency': 'EUR'}",,,,7,False,27.0,20.0,2.0,1.0,0.0,,,58.0,35.0,6.6,10.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,,,Alianza Valledupar FC,away,
Luis Pérez,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600.0,"{'value': 340000, 'currency': 'EUR'}",Luis Pérez,,,19,False,44.0,35.0,4.0,2.0,0.0,,,90.0,54.0,6.7,14.0,"{'original': 6.7, 'alternative': None}",,4.0,,,1.0,1.0,3.0,,,,2.0,,1.0,2.0,,,,1.0,,2.0,,,,,Alianza Valledupar FC,away,
Mayer Gil,gil-mayer,M. Gil,M,14,175.0,83,1093944,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,1062892800.0,"{'value': 430000, 'currency': 'EUR'}",Mayer Gil,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ماير', 'hi': 'एम. गिल', 'bn': 'এম. গিল'}}",99,False,12.0,8.0,1.0,,0.0,,,80.0,22.0,6.7,7.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,1.0,1.0,,1.0,2.0,,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,Alianza Valledupar FC,away,
Cristian Andres Vergara Rivas,cristian-vergara,C. Vergara,F,15,184.0,18,1478278,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,945043200.0,"{'value': 160000, 'currency': 'EUR'}",Cristian Vergara,,,15,False,13.0,8.0,,,0.0,,,81.0,22.0,7.4,9.0,"{'original': 7.4, 'alternative': None}",2.0,4.0,,2.0,2.0,2.0,3.0,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,Alianza Valledupar FC,away,1.0
Sergio Aponzá,sergio-aponza,S. Aponzá,M,77,178.0,56,1938902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1122508800.0,,,,,11,False,11.0,9.0,,,0.0,,,66.0,18.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",,4.0,,,1.0,,1.0,,,,1.0,,1.0,,2.0,,,,2.0,,,1.0,,,Alianza Valledupar FC,away,
Jesús Figueroa,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600.0,"{'value': 230000, 'currency': 'EUR'}",,,,6,True,7.0,7.0,1.0,1.0,0.0,,,32.0,9.0,6.5,,"{'original': 6.5, 'alternative': None}",4.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
Diego Mendoza,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000.0,"{'value': 325000, 'currency': 'EUR'}",Diego Mendoza,,,23,True,7.0,5.0,,,1.0,,,32.0,10.0,6.9,3.0,"{'original': 6.9, 'alternative': None}",,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
Jesús Muñoz,jesus-munoz,J. Muñoz,M,24,,21,1189991,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011312000.0,"{'value': 375000, 'currency': 'EUR'}",Jesús Muñoz,,,24,True,4.0,3.0,,,0.0,,,24.0,12.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",,2.0,,,,,,3.0,,,,,1.0,1.0,1.0,,,,,,,,,,Alianza Valledupar FC,away,1.0
Wiston Fernández,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000.0,"{'value': 365000, 'currency': 'EUR'}",,,,33,True,1.0,,1.0,,0.0,,,10.0,3.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,Alianza Valledupar FC,away,
Felipe Pardo,felipe-pardo,F. Pardo,F,11,178.0,155,107603,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,650851200.0,"{'value': 210000, 'currency': 'EUR'}",,,,17,True,2.0,2.0,,,0.0,,,9.0,3.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
Juan Camilo Chaverra,juan-camilo-chaverra,J. C. Chaverra,G,12,185.0,17,870005,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,724118400.0,"{'value': 190000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,away,
