name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,saves,minutesPlayed,touches,rating,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,totalContest,wonContest,totalTackle,wasFouled,fouls,possessionLostCtrl,keyPass,aerialLost,blockedScoringAttempt,shotOffTarget,onTargetScoringAttempt,challengeLost,bigChanceMissed,dispossessed,bigChanceCreated,totalOffside,goals,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,interceptionWon,outfielderBlock
Johan Wallens,johan-wallens,J. Wallens,G,1,188.0,10,72857,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,712800000.0,"{'value': 97000, 'currency': 'EUR'}",,,,1,False,15.0,15.0,1.0,1.0,0.0,1.0,1.0,90.0,21.0,6.2,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Alianza Valledupar FC,home,,,,
Yilson Rosales,yilson-rosales,Y. Rosales,D,3,183.0,7,941638,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976320000.0,"{'value': 260000, 'currency': 'EUR'}",,,,60,False,51.0,44.0,4.0,2.0,0.0,1.0,,90.0,83.0,7.1,"{'original': 7.1, 'alternative': None}",4.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,20.0,2.0,,,,,,,,,,,,Alianza Valledupar FC,home,,,,
John García,john-garcia,J. García,D,6,186.0,17,819028,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,612921600.0,"{'value': 93000, 'currency': 'EUR'}",,,,18,False,60.0,49.0,10.0,7.0,0.0,1.0,,90.0,64.0,6.7,"{'original': 6.7, 'alternative': None}",,,1.0,2.0,3.0,,,1.0,1.0,,11.0,,2.0,1.0,,,,,,,,,True,Alianza Valledupar FC,home,,,,
Jesús Figueroa,jesus-figueroa,J. Figueroa,D,6,180.0,11,947323,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,824169600.0,"{'value': 230000, 'currency': 'EUR'}",,,,6,False,74.0,57.0,9.0,5.0,0.0,,,90.0,81.0,6.7,"{'original': 6.7, 'alternative': None}",1.0,1.0,4.0,4.0,7.0,1.0,,,3.0,3.0,18.0,,,,1.0,1.0,,,,,,,,Alianza Valledupar FC,home,,,,
Leonardo Saldaña,leonardo-saldana,L. Saldaña,D,16,170.0,16,819197,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,629078400.0,"{'value': 225000, 'currency': 'EUR'}",,,,16,False,38.0,26.0,7.0,3.0,0.0,3.0,,90.0,65.0,6.8,"{'original': 6.8, 'alternative': None}",7.0,1.0,,3.0,3.0,1.0,1.0,2.0,,,22.0,1.0,3.0,,1.0,,,,,,,,,Alianza Valledupar FC,home,,,,
Luis Pérez,luis-perez,L. Pérez,M,19,176.0,11,1098312,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,833241600.0,"{'value': 340000, 'currency': 'EUR'}",Luis Pérez,,,19,False,30.0,27.0,3.0,1.0,0.0,,,45.0,34.0,6.4,"{'original': 6.4, 'alternative': None}",,,,2.0,1.0,,,1.0,,,5.0,,1.0,,,,1.0,,,,,,,Alianza Valledupar FC,home,,,,
Diego Mendoza,diego-mendoza,D. Mendoza,M,23,177.0,15,1174860,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1002672000.0,"{'value': 325000, 'currency': 'EUR'}",Diego Mendoza,,,23,False,45.0,40.0,8.0,6.0,0.0,1.0,,76.0,51.0,6.8,"{'original': 6.8, 'alternative': None}",1.0,,1.0,4.0,4.0,,,2.0,1.0,2.0,6.0,,1.0,,,,1.0,,,,,,,Alianza Valledupar FC,home,,,,
Edwin Torres,edwin-torres,E. Torres,M,22,183.0,43,855966,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,879033600.0,"{'value': 580000, 'currency': 'EUR'}",,,,29,False,18.0,16.0,,,0.0,,,76.0,40.0,6.6,"{'original': 6.6, 'alternative': None}",9.0,2.0,,4.0,4.0,4.0,2.0,,2.0,2.0,13.0,2.0,,,1.0,,,1.0,,,,,,Alianza Valledupar FC,home,,,,
Wiston Fernández,wiston-fernandez,W. Fernández,M,33,182.0,27,931581,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883872000.0,"{'value': 365000, 'currency': 'EUR'}",,,,33,False,24.0,16.0,2.0,1.0,0.0,,,63.0,35.0,6.5,"{'original': 6.5, 'alternative': None}",2.0,,1.0,7.0,3.0,2.0,1.0,,1.0,3.0,14.0,1.0,2.0,1.0,1.0,,,,1.0,,,,,Alianza Valledupar FC,home,,,,
Mayer Gil,gil-mayer,M. Gil,M,14,175.0,83,1093944,"{'alpha2': 'SV', 'alpha3': 'SLV', 'name': 'El Salvador', 'slug': 'el-salvador'}",EUR,1062892800.0,"{'value': 430000, 'currency': 'EUR'}",Mayer Gil,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. ماير', 'hi': 'एम. गिल', 'bn': 'এম. গিল'}}",99,False,14.0,11.0,2.0,,0.0,,,68.0,25.0,6.6,"{'original': 6.6, 'alternative': None}",2.0,1.0,,3.0,3.0,1.0,,2.0,1.0,,8.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,Alianza Valledupar FC,home,,,,
