name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,aerialWon,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,dispossessed,totalContest,wonContest,totalTackle,fouls,keyPass,aerialLost,outfielderBlock,shotOffTarget,onTargetScoringAttempt,interceptionWon,challengeLost,hitWoodwork,goals,totalOffside,blockedScoringAttempt,bigChanceCreated,captain,team,teamType
Santiago Mele,santiago-mele,S. Mele,G,25,182.0,607,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000.0,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",,,77,False,28.0,16.0,17.0,5.0,0.0,3.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,90.0,42.0,7.6,12.0,"{'original': 7.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home
Jhomier Guerrero,jhomier-guerrero,J. Guerrero,D,34,170.0,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400.0,"{'value': 485000, 'currency': 'EUR'}",,Jhomier Guerrero,,34,False,53.0,47.0,3.0,3.0,0.0,1.0,3.0,2.0,,,,,,90.0,75.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,Junior Barranquilla,home
Christian Javier Báez,christian-javier-baez,C. J. Báez,D,66,180.0,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200.0,"{'value': 290000, 'currency': 'EUR'}",,,,66,False,32.0,29.0,7.0,5.0,0.0,,,4.0,,,,,,90.0,41.0,7.0,5.0,"{'original': 7, 'alternative': None}",,,4.0,,1.0,,,1.0,,2.0,2.0,,,,,,,,,,,Junior Barranquilla,home
Daniel Rivera,daniel-rivera,D. Rivera,D,5,184.0,54,1174986,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,920160000.0,"{'value': 775000, 'currency': 'EUR'}",,Daniel Rivera,,5,False,40.0,36.0,5.0,3.0,0.0,,5.0,6.0,2.0,,,,,90.0,56.0,7.5,5.0,"{'original': 7.5, 'alternative': None}",,,3.0,1.0,,,3.0,1.0,,1.0,2.0,1.0,,,,,,,,,,Junior Barranquilla,home
Edwin Herrera,edwin-herrera,E. Herrera,D,3,170.0,69,931354,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,904694400.0,"{'value': 730000, 'currency': 'EUR'}",,,,3,False,34.0,33.0,1.0,,0.0,,2.0,2.0,,,,,,90.0,54.0,7.4,5.0,"{'original': 7.4, 'alternative': None}",1.0,,4.0,1.0,,,2.0,2.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,,Junior Barranquilla,home
Yimmi Chará,yimmi-chara,Y. Chará,M,8,169.0,400,248069,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,670550400.0,"{'value': 410000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. شارا', 'hi': 'वाई. चरा', 'bn': 'ওয়াই. চারা'}}",,,8,False,61.0,53.0,5.0,4.0,0.0,,3.0,,1.0,,,,,67.0,67.0,7.5,8.0,"{'original': 7.5, 'alternative': None}",,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,Junior Barranquilla,home
Didier Moreno,didier-moreno,D. Moreno,M,6,177.0,120,158585,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,684892800.0,"{'value': 520000, 'currency': 'EUR'}",,,,6,False,49.0,46.0,3.0,3.0,0.0,1.0,3.0,6.0,1.0,,,,,90.0,61.0,7.0,6.0,"{'original': 7, 'alternative': None}",,,3.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,Junior Barranquilla,home
Carlos Bacca,carlos-bacca,C. Bacca,F,70,181.0,2185,106572,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,526521600.0,"{'value': 195000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. باكا', 'hi': 'सी. बक्का', 'bn': 'সি. বাক্কা'}}",,,70,False,5.0,4.0,,,0.0,1.0,1.0,,,,,,,57.0,7.0,6.7,1.0,"{'original': 6.7, 'alternative': None}",,,2.0,,,,,,1.0,2.0,,1.0,,,,,,,,,True,Junior Barranquilla,home
Luis Daniel González,luis-daniel-gonzalez,L. D. González,M,10,170.0,277,133987,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,661824000.0,"{'value': 410000, 'currency': 'EUR'}",,,,10,False,36.0,33.0,8.0,7.0,0.0,,3.0,1.0,2.0,,,,,57.0,46.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",1.0,,1.0,,,,1.0,,2.0,,,1.0,,1.0,1.0,1.0,,,,,,Junior Barranquilla,home
Bryan Castrillón,bryan-castrillon,B. Castrillón,F,88,169.0,161,954761,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922752000.0,"{'value': 485000, 'currency': 'EUR'}",,,,88,False,33.0,30.0,2.0,,0.0,,4.0,,2.0,,,,,71.0,45.0,7.5,8.0,"{'original': 7.5, 'alternative': None}",2.0,,2.0,,4.0,2.0,,,,,,2.0,1.0,,,,1.0,1.0,,,,Junior Barranquilla,home
Teófilo Gutiérrez,teofilo-gutierrez,T. Gutiérrez,F,29,177.0,796,47099,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,485136000.0,"{'value': 52000, 'currency': 'EUR'}",,,,29,False,51.0,43.0,2.0,2.0,1.0,,4.0,,1.0,,,,,67.0,61.0,7.5,12.0,"{'original': 7.5, 'alternative': None}",1.0,,4.0,,,,3.0,2.0,1.0,2.0,,,1.0,,,,,,,,,Junior Barranquilla,home
Fabián Ángel,fabian-angel,F. Ángel,M,80,175.0,136,878536,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,979084800.0,"{'value': 390000, 'currency': 'EUR'}",,,,80,True,10.0,8.0,1.0,1.0,0.0,,,1.0,,,,,,33.0,14.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,Junior Barranquilla,home
Guillermo Paiva,guillermo-paiva,G. Paiva,F,9,182.0,387,891851,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,871776000.0,"{'value': 850000, 'currency': 'EUR'}",,,,9,True,15.0,14.0,3.0,2.0,0.0,1.0,1.0,1.0,,,,,,33.0,21.0,6.9,2.0,"{'original': 6.9, 'alternative': None}",,,2.0,,1.0,,,,2.0,1.0,,1.0,,1.0,,,,,1.0,,,Junior Barranquilla,home
Jordan Barrera,jordan-andres-barrera-herrera,J. Barrera,M,7,175.0,509,1899902,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1144713600.0,"{'value': 235000, 'currency': 'EUR'}",,Jordan Andres,Barrera Herrera,7,True,6.0,6.0,,,1.0,,2.0,,,,,,,23.0,15.0,7.7,4.0,"{'original': 7.7, 'alternative': None}",1.0,,1.0,1.0,2.0,2.0,,,2.0,,,,2.0,,,,,,,1.0,,Junior Barranquilla,home
Steven Rodríguez,steven-rodriguez,S. Rodríguez,F,23,177.0,157,974308,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,908236800.0,"{'value': 460000, 'currency': 'EUR'}",,,,23,True,5.0,3.0,,,0.0,2.0,2.0,1.0,,,,,,23.0,9.0,7.3,3.0,"{'original': 7.3, 'alternative': None}",,,3.0,,1.0,,,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,,Junior Barranquilla,home
José Enamorado,enamorado-jose,J. Enamorado,M,99,167.0,231,974558,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,916185600.0,"{'value': 1900000, 'currency': 'EUR'}",,,,99,True,7.0,7.0,,,0.0,,2.0,,,,,,,19.0,13.0,6.6,3.0,"{'original': 6.6, 'alternative': None}",1.0,,3.0,,2.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,Junior Barranquilla,home
Jefersson Martínez,jefferson-martinez,J. Martínez,G,30,185.0,41,247715,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745459200.0,"{'value': 365000, 'currency': 'EUR'}",,,,30,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home
Yeferson Moreno,yeferson-moreno-mosquera,Y. Moreno,D,15,184.0,52,1441785,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1074211200.0,"{'value': 190000, 'currency': 'EUR'}",,Yeferson Moreno,,15,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junior Barranquilla,home
