name,firstName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,duelLost,shotOffTarget,totalClearance,fouls,aerialWon,duelWon,totalTackle,aerialLost,onTargetScoringAttempt,interceptionWon,dispossessed,totalContest,wonContest,wasFouled,totalOffside,keyPass,challengeLost,blockedScoringAttempt,hitWoodwork,captain,team,teamType,fieldTranslations,savedShotsFromInsideTheBox,saves,punches,outfielderBlock,goals
Kevin Armesto,Kevin Armesto,kevin-armesto,K. Armesto,G,1,186.0,6,1174799,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,865209600.0,"{'value': 290000, 'currency': 'EUR'}",,1,False,27.0,19.0,12.0,4.0,0.0,1.0,90.0,33.0,6.3,10.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Geovan Montes,,geovan-montes,G. Montes,D,31,178.0,6,821735,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,823046400.0,"{'value': 285000, 'currency': 'EUR'}",,31,False,28.0,22.0,4.0,1.0,0.0,,83.0,39.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",3.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Jan Ángulo,Jan Ángulo,jan-angulo,J. Ángulo,D,20,,14,1478219,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,988675200.0,"{'value': 260000, 'currency': 'EUR'}",,20,False,50.0,43.0,5.0,3.0,0.0,,90.0,59.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,,1.0,,3.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,,,Llaneros FC,home,,,,,,
Cristian Valencia,,cristian-valencia,C. Valencia,D,15,186.0,25,842690,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,691804800.0,"{'value': 48000, 'currency': 'EUR'}",,15,False,44.0,39.0,10.0,7.0,0.0,,90.0,50.0,6.9,5.0,"{'original': 6.9, 'alternative': None}",,,1.0,,1.0,,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,Llaneros FC,home,,,,,,
Jhildrey Lasso,Jhildrey Lasso,jhildrey-lasso,J. Lasso,D,11,173.0,13,1478224,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026604800.0,"{'value': 145000, 'currency': 'EUR'}",,33,False,27.0,24.0,,,0.0,,90.0,49.0,6.6,13.0,"{'original': 6.6, 'alternative': None}",3.0,,4.0,1.0,1.0,1.0,,2.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,Llaneros FC,home,,,,,,
Carlos Sierra,,carlos-sierra,C. Sierra,M,14,183.0,60,895805,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,656812800.0,"{'value': 280000, 'currency': 'EUR'}",,14,False,17.0,14.0,5.0,3.0,0.0,,83.0,29.0,6.7,4.0,"{'original': 6.7, 'alternative': None}",,,4.0,1.0,2.0,2.0,1.0,4.0,3.0,1.0,,1.0,,,,,,,1.0,2.0,,,Llaneros FC,home,,,,,,
Eyder Restrepo,,eyder-restrepo,E. Restrepo,M,5,169.0,6,1014821,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,922665600.0,"{'value': 265000, 'currency': 'EUR'}",,5,False,47.0,41.0,6.0,3.0,0.0,,90.0,56.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",,,1.0,1.0,1.0,,,3.0,1.0,,,,,2.0,1.0,1.0,,1.0,,,,,Llaneros FC,home,,,,,,
Roberto Hinojosa,,roberto-hinojosa,R. Hinojosa,M,80,170.0,64,989392,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,930873600.0,"{'value': 530000, 'currency': 'EUR'}",,80,False,24.0,18.0,5.0,1.0,0.0,,66.0,38.0,6.9,14.0,"{'original': 6.9, 'alternative': None}",5.0,,4.0,1.0,,,,2.0,,,,,2.0,2.0,1.0,1.0,,3.0,1.0,,,,Llaneros FC,home,,,,,,
Bryan Urueña,,bryan-uruena,B. Urueña,M,10,175.0,20,830014,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,720489600.0,"{'value': 240000, 'currency': 'EUR'}",,10,False,39.0,29.0,5.0,3.0,0.0,,90.0,55.0,7.3,17.0,"{'original': 7.3, 'alternative': None}",7.0,2.0,2.0,1.0,,,,5.0,2.0,1.0,,,,1.0,,3.0,1.0,2.0,,,,True,Llaneros FC,home,,,,,,
Freddy Espinal,Freddy Espinal,freddy-espinal,F. Espinal,M,11,181.0,9,1175063,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,878169600.0,"{'value': 240000, 'currency': 'EUR'}",,11,False,11.0,6.0,1.0,1.0,0.0,,83.0,35.0,7.1,14.0,"{'original': 7.1, 'alternative': None}",6.0,1.0,3.0,2.0,,1.0,,4.0,,,,1.0,1.0,2.0,1.0,3.0,,2.0,,,,,Llaneros FC,home,,,,,,
