name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialLost,duelLost,dispossessed,totalContest,wonContest,onTargetScoringAttempt,blockedScoringAttempt,interceptionWon,totalTackle,keyPass,aerialWon,outfielderBlock,fouls,accurateCross,shotOffTarget,hitWoodwork,bigChanceCreated,goals,totalOffside,captain,team,teamType,goodHighClaim,challengeLost
David Ospina,,,david-ospina,D. Ospina,G,1,183,5709,33596,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 655000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. أوسبينا', 'hi': 'डी. ओस्पिना', 'bn': 'ডি. ওসপিনা'}}",1,False,35.0,30.0,11.0,6.0,0.0,1.0,1.0,1.0,1.0,3.0,90.0,43.0,7.3,5.0,"{'original': 7.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,True,Atlético Nacional,home,,
Andrés Román,,,andres-roman,A. Román,D,6,183,376,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",6,False,33.0,22.0,3.0,2.0,0.0,2.0,1.0,,,,90.0,52.0,7.3,14.0,"{'original': 7.3, 'alternative': None}",1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,Atlético Nacional,home,,
Juan Arias,,,arias-juan,J. Arias,D,23,184,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,23,False,48.0,46.0,3.0,3.0,0.0,2.0,6.0,,,,90.0,58.0,7.2,3.0,"{'original': 7.2, 'alternative': None}",,1.0,2.0,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,Atlético Nacional,home,,
William Tesillo,,,william-tesillo,W. Tesillo,D,16,184,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,16,False,43.0,38.0,8.0,6.0,0.0,,8.0,,,,90.0,57.0,7.6,5.0,"{'original': 7.6, 'alternative': None}",1.0,,,,,,,,2.0,,2.0,,1.0,,1.0,,,,,,,Atlético Nacional,home,,
Camilo Cándido,,,camilo-candido,C. Cándido,D,13,174,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,13,False,31.0,25.0,7.0,5.0,0.0,1.0,3.0,,,,90.0,42.0,7.3,7.0,"{'original': 7.3, 'alternative': None}",1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,Atlético Nacional,home,,
Jorman Campuzano,,,jorman-campuzano,J. Campuzano,M,21,175,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",21,False,58.0,55.0,4.0,4.0,0.0,4.0,2.0,1.0,,,90.0,72.0,7.5,4.0,"{'original': 7.5, 'alternative': None}",,,3.0,,,,,,4.0,2.0,1.0,1.0,,3.0,,,,,,,,Atlético Nacional,home,,
Sebastián Guzmán,,,sebastian-guzman,S. Guzmán,M,32,177,110,924567,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,864604800,"{'value': 720000, 'currency': 'EUR'}",,32,False,61.0,55.0,6.0,4.0,0.0,2.0,,1.0,,,80.0,62.0,6.9,6.0,"{'original': 6.9, 'alternative': None}",,,,,,,,,,,1.0,1.0,,,,,,,,,,Atlético Nacional,home,,
Marino Hinestroza,,,marino-hinestroza,M. Hinestroza,M,18,170,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",18,False,27.0,21.0,1.0,1.0,0.0,4.0,,1.0,,,89.0,44.0,7.8,9.0,"{'original': 7.8, 'alternative': None}",1.0,,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,,,1.0,,3.0,1.0,,,,,Atlético Nacional,home,,
Edwin Cardona,,,edwin-cardona,E. Cardona,M,10,183,2260,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800,"{'value': 960000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",10,False,28.0,21.0,4.0,3.0,1.0,3.0,,1.0,,,60.0,39.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",2.0,,4.0,,2.0,,1.0,1.0,,1.0,3.0,1.0,,2.0,1.0,1.0,,1.0,,,,Atlético Nacional,home,,
Dairon Asprilla,,,dairon-asprilla,D. Asprilla,F,27,178,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,27,False,16.0,13.0,,,0.0,5.0,2.0,3.0,,,90.0,31.0,6.8,7.0,"{'original': 6.8, 'alternative': None}",,2.0,6.0,1.0,3.0,1.0,,,,1.0,,,,1.0,,1.0,,,,,,Atlético Nacional,home,,
