name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,totalTackle,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,aerialWon,duelLost,dispossessed,totalContest,onTargetScoringAttempt,outfielderBlock,wasFouled,fouls,aerialLost,blockedScoringAttempt,interceptionWon,challengeLost,accurateCross,keyPass,bigChanceCreated,totalOffside,shotOffTarget,goals,captain,team,teamType,wonContest,bigChanceMissed
Aldair Quintana,aldair-quintana,A. Quintana,G,1,194.0,154,844584,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,773884800,"{'value': 930000, 'currency': 'EUR'}",,,,1,False,29.0,14.0,19.0,4.0,0.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,90.0,39.0,7.3,15.0,"{'original': 7.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,
Aldair Gutiérrez,aldair-gutierrez,A. Gutiérrez,D,19,176.0,66,857498,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,898041600,"{'value': 490000, 'currency': 'EUR'}",,,,19,False,32.0,23.0,1.0,,0.0,3.0,1.0,,,,,,90.0,55.0,6.8,17.0,"{'original': 6.8, 'alternative': None}",1.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,Atlético Bucaramanga,home,,
Carlos Henao,carlos-henao,C. Henao,D,29,187.0,65,822085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,597110400,"{'value': 105000, 'currency': 'EUR'}",,,,29,False,32.0,23.0,9.0,4.0,0.0,4.0,2.0,1.0,,,,,90.0,41.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",,2.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,Atlético Bucaramanga,home,,
Carlos Romaña,carlos-romana,C. Romaña,D,23,187.0,42,933442,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,942192000,"{'value': 475000, 'currency': 'EUR'}",,,,23,False,33.0,23.0,4.0,2.0,0.0,5.0,2.0,1.0,,,,,90.0,42.0,7.0,12.0,"{'original': 7, 'alternative': None}",,2.0,,,,,,2.0,,,,1.0,,,,,,,,,Atlético Bucaramanga,home,,
Fredy Hinestroza,fredy-hinestroza,F. Hinestroza,D,8,178.0,94,249075,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,639273600,"{'value': 360000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. هينستروزا', 'hi': 'एफ. हिनेस्ट्रोज़ा', 'bn': 'এফ. হিনেস্ট্রোজা'}}",8,False,31.0,25.0,1.0,,0.0,4.0,2.0,1.0,,,,,90.0,55.0,6.6,11.0,"{'original': 6.6, 'alternative': None}",1.0,1.0,7.0,1.0,1.0,,,2.0,3.0,1.0,1.0,2.0,1.0,,,,,,,,Atlético Bucaramanga,home,,
Edwin Castro,edwin-castro,E. Castro,M,22,183.0,86,339719,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,698630400,"{'value': 210000, 'currency': 'EUR'}",,,,22,False,34.0,29.0,1.0,,0.0,4.0,1.0,3.0,,,,,90.0,41.0,6.8,6.0,"{'original': 6.8, 'alternative': None}",,,3.0,,,,,1.0,3.0,,,,,,,,,,,True,Atlético Bucaramanga,home,,
Leonardo Flores,leonardo-flores,L. Flores,M,28,176.0,186,874451,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,807580800,"{'value': 385000, 'currency': 'EUR'}",,,,28,False,27.0,23.0,1.0,1.0,0.0,3.0,2.0,1.0,,,,,45.0,33.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",1.0,,,,,,,2.0,,,,,,1.0,1.0,,,,,,Atlético Bucaramanga,home,,
Kevin Londoño,kevin-londono,K. Londoño,F,7,180.0,142,1104827,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,754012800,"{'value': 420000, 'currency': 'EUR'}",,,,7,False,18.0,11.0,1.0,,1.0,3.0,,,,,,,81.0,25.0,7.2,10.0,"{'original': 7.2, 'alternative': None}",1.0,2.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,,,,Atlético Bucaramanga,home,,
Sherman Cárdenas,sherman-cardenas,S. Cárdenas,M,30,168.0,105,844616,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,618451200,"{'value': 49000, 'currency': 'EUR'}",,,,30,False,26.0,22.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,62.0,38.0,6.4,12.0,"{'original': 6.4, 'alternative': None}",2.0,,6.0,1.0,2.0,,,,2.0,,,,1.0,1.0,1.0,,,,,,Atlético Bucaramanga,home,,
Frank Castañeda,frank-castaneda,F. Castañeda,M,70,171.0,241,923112,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,774403200,"{'value': 465000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ف. كاستانيدا', 'hi': 'एफ. कास्टेनेडा', 'bn': 'এফ. কাস্টেনেডা'}}",70,False,15.0,13.0,1.0,1.0,0.0,4.0,,,,,,,81.0,30.0,7.0,8.0,"{'original': 7, 'alternative': None}",7.0,,4.0,,2.0,,,4.0,2.0,,1.0,,,4.0,3.0,,,,,,Atlético Bucaramanga,home,,
Luciano Pons,luciano-pons,L. Pons,F,27,180.0,1312,940264,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,640396800,"{'value': 315000, 'currency': 'EUR'}",,,,27,False,7.0,6.0,1.0,1.0,0.0,2.0,,1.0,,,,,72.0,13.0,7.4,2.0,"{'original': 7.4, 'alternative': None}",,1.0,2.0,,,1.0,,,2.0,,1.0,,1.0,,,,1.0,2.0,1.0,,Atlético Bucaramanga,home,,
Aldair Zárate,zarate-aldair,A. Zárate,M,20,177.0,30,1174928,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,919641600,"{'value': 465000, 'currency': 'EUR'}",Aldair Zárate,,,20,True,20.0,18.0,3.0,3.0,0.0,3.0,,3.0,,,,,45.0,26.0,6.8,2.0,"{'original': 6.8, 'alternative': None}",,,1.0,,,,,,,,,,1.0,,,,,,,,Atlético Bucaramanga,home,,
Adalberto Peñaranda,adalberto-penaranda,A. Peñaranda,F,97,183.0,880,825775,"{'alpha2': 'VE', 'alpha3': 'VEN', 'name': 'Venezuela', 'slug': 'venezuela'}",EUR,865036800,"{'value': 210000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. بيناراندا', 'hi': 'ए. पेनारांडा', 'bn': 'এ. পেনারান্ডা'}}",97,True,10.0,7.0,2.0,2.0,0.0,2.0,,,,,,,28.0,14.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,1.0,3.0,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,Atlético Bucaramanga,home,,
Andrés Andrade,andres-andrade,A. Andrade,M,17,177.0,161,248065,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,604195200,"{'value': 145000, 'currency': 'EUR'}",,,,17,True,3.0,2.0,,,1.0,1.0,,1.0,,,,,18.0,9.0,7.1,4.0,"{'original': 7.1, 'alternative': None}",,,2.0,,1.0,,,,1.0,,,,,,1.0,1.0,,,,,Atlético Bucaramanga,home,,
Cristián Zapata,cristian-zapata,C. Zapata,D,25,187.0,593,12673,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,528422400,"{'value': 54000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. زاباتا', 'hi': 'सी. ज़ापाटा', 'bn': 'সি. জাপাটা'}}",25,True,4.0,4.0,1.0,1.0,0.0,,,,,,,,9.0,4.0,6.6,,"{'original': 6.6, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,
Jhon Vásquez,jhon-vasquez,Jhon Vásquez,F,11,176.0,98,805288,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,792547200,"{'value': 580000, 'currency': 'EUR'}",,,,11,True,2.0,2.0,,,0.0,,1.0,,,,,,9.0,6.0,7.4,1.0,"{'original': 7.4, 'alternative': None}",,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,Atlético Bucaramanga,home,,
Luis Vásquez,luis-vasquez,L. Vásquez,G,12,187.0,37,796510,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825638400,"{'value': 215000, 'currency': 'EUR'}",,,,12,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atlético Bucaramanga,home,,
