name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,duelWon,totalClearance,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,challengeLost,totalContest,wonContest,shotOffTarget,hitWoodwork,interceptionWon,totalTackle,keyPass,aerialWon,fouls,dispossessed,onTargetScoringAttempt,bigChanceCreated,blockedScoringAttempt,goals,captain,team,teamType,goodHighClaim,outfielderBlock,totalOffside
David Ospina,,,david-ospina,D. Ospina,G,1,183,5709,33596,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,588988800,"{'value': 655000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'د. أوسبينا', 'hi': 'डी. ओस्पिना', 'bn': 'ডি. ওসপিনা'}}",1,False,22.0,17.0,5.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,90.0,30.0,6.3,5.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,True,Atlético Nacional,home,,,
Andrés Román,,,andres-roman,A. Román,D,6,183,376,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200,"{'value': 1600000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",6,False,37.0,33.0,2.0,1.0,0.0,3.0,,,,,90.0,56.0,6.8,8.0,"{'original': 6.8, 'alternative': None}",3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,Atlético Nacional,home,,,
Juan Arias,,,arias-juan,J. Arias,D,23,184,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000,,,23,False,44.0,37.0,3.0,2.0,0.0,5.0,3.0,,,,90.0,56.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",,,2.0,3.0,1.0,2.0,2.0,,,1.0,2.0,,1.0,,,,,,,,Atlético Nacional,home,,,
William Tesillo,,,william-tesillo,W. Tesillo,D,16,184,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,16,False,59.0,47.0,12.0,3.0,0.0,5.0,2.0,,,,90.0,65.0,6.5,12.0,"{'original': 6.5, 'alternative': None}",,,1.0,1.0,,1.0,1.0,,,1.0,,1.0,4.0,,,,,,,,Atlético Nacional,home,,,
Camilo Cándido,,,camilo-candido,C. Cándido,D,13,174,281,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,13,False,44.0,35.0,7.0,4.0,0.0,5.0,1.0,,,,90.0,74.0,6.9,19.0,"{'original': 6.9, 'alternative': None}",9.0,1.0,,5.0,1.0,2.0,,1.0,,,5.0,4.0,,2.0,,,,,,,Atlético Nacional,home,,,
Jorman Campuzano,,,jorman-campuzano,J. Campuzano,M,21,175,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",21,False,67.0,57.0,5.0,2.0,0.0,4.0,,1.0,,,90.0,72.0,6.5,10.0,"{'original': 6.5, 'alternative': None}",,,2.0,8.0,2.0,,,,,2.0,1.0,1.0,2.0,4.0,,,,,,,Atlético Nacional,home,,,
Andrés Sarmiento,,,andres-sarmiento,A. Sarmiento,M,29,170,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400,"{'value': 720000, 'currency': 'EUR'}",,29,False,16.0,14.0,,,0.0,3.0,,,,,45.0,22.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",,,1.0,4.0,1.0,1.0,1.0,1.0,,,2.0,,,1.0,1.0,1.0,,,,,Atlético Nacional,home,,,
Marino Hinestroza,,,marino-hinestroza,M. Hinestroza,M,18,170,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400,"{'value': 4099999, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",18,False,38.0,30.0,1.0,1.0,0.0,6.0,,3.0,,,90.0,61.0,7.3,17.0,"{'original': 7.3, 'alternative': None}",4.0,1.0,,6.0,,3.0,2.0,3.0,,2.0,1.0,2.0,,1.0,4.0,,,,,,Atlético Nacional,home,,,
Alfredo Morelos,,,alfredo-morelos,A. Morelos,F,9,177,2269,831085,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,835315200,"{'value': 2100000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. موريلوس', 'hi': 'ए. मोरेलोस', 'bn': 'এ. মোরেলোস'}}",9,False,30.0,23.0,8.0,7.0,1.0,4.0,,2.0,,,90.0,50.0,7.7,15.0,"{'original': 7.7, 'alternative': None}",1.0,,1.0,5.0,,2.0,,2.0,,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,,,Atlético Nacional,home,,,
Billy Arce,,,billy-arce,B. Arce,M,11,177,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600,"{'value': 680000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",11,False,49.0,38.0,4.0,3.0,0.0,3.0,,2.0,,,90.0,69.0,8.0,20.0,"{'original': 8, 'alternative': None}",10.0,3.0,1.0,1.0,,1.0,1.0,,,,,2.0,,,,1.0,,2.0,1.0,,Atlético Nacional,home,,,
