name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,goalAssist,aerialLost,duelLost,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,accurateLongBalls,totalCross,accurateCross,aerialWon,duelWon,dispossessed,totalContest,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,outfielderBlock,totalTackle,wasFouled,fouls,keyPass,totalOffside,interceptionWon,wonContest,goals,bigChanceCreated,challengeLost,captain,team,teamType,savedShotsFromInsideTheBox,saves
Harlen Castillo,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600.0,"{'value': 330000, 'currency': 'EUR'}",,,,15,False,40.0,34.0,4.0,0.0,1.0,1.0,90.0,41.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,
Joan Castro,joan-castro,J. Castro,D,20,176.0,119,819186,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853113600.0,"{'value': 680000, 'currency': 'EUR'}",,,,20,False,28.0,22.0,3.0,0.0,3.0,7.0,45.0,55.0,6.9,13.0,"{'original': 6.9, 'alternative': None}",2.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,Atlético Nacional,home,,
Juan Arias,arias-juan,J. Arias,D,23,184.0,73,1187272,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1073520000.0,,,,,23,False,66.0,55.0,10.0,0.0,,1.0,90.0,70.0,6.7,12.0,"{'original': 6.7, 'alternative': None}",5.0,,,3.0,4.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,Atlético Nacional,home,,
William Tesillo,william-tesillo,W. Tesillo,D,16,184.0,317,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800.0,"{'value': 520000, 'currency': 'EUR'}",,,,16,False,64.0,53.0,13.0,0.0,,,66.0,72.0,7.3,13.0,"{'original': 7.3, 'alternative': None}",9.0,3.0,2.0,,,,,,,,1.0,1.0,,,,2.0,,,,,,,True,Atlético Nacional,home,,
Andrés Salazar,andres-salazar,A. Salazar,D,17,182.0,251,1174790,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1042588800.0,"{'value': 580000, 'currency': 'EUR'}",Andrés Salazar,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. سالازار', 'hi': 'ए. सालाज़ार', 'bn': 'এ. সালাজার'}}",17,False,21.0,13.0,2.0,0.0,,1.0,45.0,27.0,6.7,8.0,"{'original': 6.7, 'alternative': None}",1.0,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,Atlético Nacional,home,,
Jorman Campuzano,jorman-campuzano,J. Campuzano,M,21,175.0,706,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400.0,"{'value': 1500000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",21,False,74.0,66.0,6.0,0.0,3.0,4.0,90.0,78.0,6.8,9.0,"{'original': 6.8, 'alternative': None}",4.0,1.0,,1.0,4.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,Atlético Nacional,home,,
Elkin Rivero,elkin-rivero,E. Rivero,M,26,,70,1940903,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1140998400.0,,,,,26,False,26.0,24.0,4.0,0.0,1.0,5.0,82.0,34.0,6.9,4.0,"{'original': 6.9, 'alternative': None}",4.0,,,1.0,4.0,,1.0,,,,,,3.0,,3.0,1.0,,1.0,,,,,,Atlético Nacional,home,,
Marino Hinestroza,marino-hinestroza,M. Hinestroza,M,18,170.0,3082,972587,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1026086400.0,"{'value': 4099999, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'م. هينستروزا', 'hi': 'एम. हिनेस्ट्रोज़ा', 'bn': 'এম. হিনেস্ট্রোজা'}}",18,False,21.0,17.0,,0.0,,3.0,66.0,36.0,7.7,12.0,"{'original': 7.7, 'alternative': None}",,1.0,,,1.0,2.0,2.0,1.0,2.0,,,,,,,3.0,,,1.0,1.0,,,,Atlético Nacional,home,,
Andrés Sarmiento,andres-sarmiento,A. Sarmiento,M,29,170.0,200,842663,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,884822400.0,"{'value': 720000, 'currency': 'EUR'}",,,,29,False,28.0,25.0,2.0,2.0,,2.0,90.0,39.0,9.7,3.0,"{'original': 9.7, 'alternative': None}",1.0,,,,4.0,,1.0,2.0,4.0,,,,,3.0,2.0,4.0,,,1.0,1.0,1.0,,,Atlético Nacional,home,,
Billy Arce,billy-arce,B. Arce,M,11,177.0,503,868746,"{'alpha2': 'EC', 'alpha3': 'ECU', 'name': 'Ecuador', 'slug': 'ecuador'}",EUR,900201600.0,"{'value': 680000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ب. ارس'}}",11,False,32.0,29.0,6.0,0.0,1.0,4.0,66.0,45.0,7.9,8.0,"{'original': 7.9, 'alternative': None}",4.0,4.0,2.0,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,5.0,,1.0,,1.0,,1.0,,Atlético Nacional,home,,
