name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,firstName,lastName,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,totalClearance,interceptionWon,totalTackle,aerialLost,errorLeadToAGoal,wasFouled,fouls,shotOffTarget,keyPass,wonContest,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,outfielderBlock,captain,team,teamType,goodHighClaim,savedShotsFromInsideTheBox,saves,hitWoodwork,goals,bigChanceCreated
Darío Denis,dario-denis,D. Denis,G,23,186.0,13,820358,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,692841600,"{'value': 105000, 'currency': 'EUR'}",,,,12,False,10.0,7.0,3.0,1.0,0.0,90.0,13.0,6.2,3.0,"{'original': 6.2, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Yael López,yael-lopez,Y. López,D,22,178.0,32,971249,"{'alpha2': 'CR', 'alpha3': 'CRI', 'name': 'Costa Rica', 'slug': 'costa-rica'}",EUR,913852800,"{'value': 205000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ي. لوبيز', 'hi': 'वाए. लोपेज़', 'bn': 'ওয়াই. লোপেজ'}}",,,22,False,43.0,37.0,,,0.0,90.0,75.0,6.5,17.0,"{'original': 6.5, 'alternative': None}",9.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Elian Peralta,elian-peralta,E. Peralta,D,4,,3,1066612,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,981590400,,,Elian Peralta,,4,False,28.0,25.0,4.0,3.0,0.0,64.0,36.0,5.9,4.0,"{'original': 5.9, 'alternative': None}",,,2.0,3.0,3.0,1.0,,,6.0,,,1.0,1.0,1.0,1.0,,,,,,,,,Boyacá Chicó FC,home,,,,,,
Frank Lozano,frank-lozano,F. Lozano,M,19,175.0,19,1015686,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745977600,"{'value': 340000, 'currency': 'EUR'}",,,,19,False,50.0,43.0,6.0,4.0,0.0,90.0,62.0,7.4,7.0,"{'original': 7.4, 'alternative': None}",,,4.0,2.0,7.0,1.0,,,3.0,2.0,2.0,,,1.0,1.0,2.0,1.0,,,,,,True,Boyacá Chicó FC,home,,,,,,
Yaliston Martínez,yaliston-martinez,Y. Martínez,D,5,173.0,6,1116583,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,957312000,"{'value': 52000, 'currency': 'EUR'}",,Yaliston Martínez,,5,False,35.0,25.0,5.0,1.0,0.0,81.0,65.0,6.8,23.0,"{'original': 6.8, 'alternative': None}",8.0,,,2.0,3.0,,1.0,1.0,4.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,Boyacá Chicó FC,home,,,,,,
Delio Ramírez,delio-ramirez,D. Ramírez,M,10,160.0,11,1015661,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,975110400,"{'value': 53000, 'currency': 'EUR'}",,,,10,False,36.0,29.0,1.0,,0.0,90.0,64.0,8.1,18.0,"{'original': 8.1, 'alternative': None}",7.0,3.0,,6.0,8.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,,2.0,,,6.0,2.0,3.0,,,,,Boyacá Chicó FC,home,,,,,,
Kevin Londoño,kevin-londono,K. Londoño,M,27,180.0,14,1100037,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,963100800,"{'value': 440000, 'currency': 'EUR'}",,Kevin Londoño,,27,False,29.0,26.0,2.0,2.0,0.0,45.0,38.0,6.7,5.0,"{'original': 6.7, 'alternative': None}",,,,5.0,3.0,1.0,1.0,3.0,,,1.0,,,,2.0,1.0,1.0,2.0,,1.0,,,,Boyacá Chicó FC,home,,,,,,
Sebastian Salazar,sebastian-salazar,S. Salazar,M,8,180.0,7,789908,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812419200,"{'value': 215000, 'currency': 'EUR'}",,,,8,False,50.0,46.0,4.0,3.0,0.0,90.0,67.0,7.1,9.0,"{'original': 7.1, 'alternative': None}",3.0,1.0,,6.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,,,2.0,1.0,2.0,1.0,,,,,,Boyacá Chicó FC,home,,,,,,
Jonathan Herrera,jonathan-herrera,J. Herrera,D,18,177.0,9,819185,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,825120000,"{'value': 220000, 'currency': 'EUR'}",,,,18,False,15.0,12.0,,,0.0,45.0,22.0,6.6,7.0,"{'original': 6.6, 'alternative': None}",3.0,2.0,,1.0,,,1.0,,,,,,,,,,2.0,,,,,,,Boyacá Chicó FC,home,,,,,,
Jairo Molina,jairo-molina,J. Molina,F,9,183.0,66,247931,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,735955200,"{'value': 49000, 'currency': 'EUR'}",,,,9,False,10.0,8.0,,,0.0,90.0,20.0,7.5,4.0,"{'original': 7.5, 'alternative': None}",,,2.0,,4.0,,,1.0,,,,,,1.0,,3.0,2.0,1.0,2.0,,1.0,,,Boyacá Chicó FC,home,,,,,,
