name,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,firstName,lastName,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,saves,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,duelLost,totalContest,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,interceptionWon,outfielderBlock,keyPass,aerialWon,duelWon,dispossessed,wasFouled,fouls,totalCross,accurateCross,challengeLost,wonContest,totalTackle,totalOffside,aerialLost,bigChanceCreated,blockedScoringAttempt,captain,team,teamType,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
Harlen Castillo,harlen-castillo,H. Castillo,G,15,188.0,130,924907,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,745545600,"{'value': 330000, 'currency': 'EUR'}",,,,15,False,35.0,29.0,14.0,9.0,0.0,1.0,90.0,38.0,6.3,6.0,"{'original': 6.3, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Andrés Román,andres-roman,A. Román,D,6,183.0,385,870013,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,812851200,"{'value': 1600000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'أ. رومان', 'hi': 'ए. रोमान', 'bn': 'এ. রোমান'}}",6,False,18.0,14.0,,,0.0,,66.0,32.0,6.9,8.0,"{'original': 6.9, 'alternative': None}",1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
Juan Felipe Aguirre,juan-felipe-aguirre,J. F. Aguirre,D,3,186.0,134,925173,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,841276800,"{'value': 825000, 'currency': 'EUR'}",,,,3,False,36.0,32.0,4.0,2.0,0.0,,90.0,41.0,6.4,5.0,"{'original': 6.4, 'alternative': None}",,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,Atlético Nacional,home,,,
William Tesillo,william-tesillo,W. Tesillo,D,16,184.0,315,794087,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,633916800,"{'value': 520000, 'currency': 'EUR'}",,,,16,False,47.0,42.0,5.0,3.0,0.0,,90.0,58.0,6.3,7.0,"{'original': 6.3, 'alternative': None}",3.0,,,,,2.0,3.0,,,1.0,3.0,1.0,2.0,2.0,,,,,,,,,,,Atlético Nacional,home,,,
Camilo Cándido,camilo-candido,C. Cándido,D,13,174.0,282,924073,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,802051200,"{'value': 1100000, 'currency': 'EUR'}",,,,13,False,30.0,25.0,4.0,1.0,0.0,,90.0,52.0,6.9,10.0,"{'original': 6.9, 'alternative': None}",5.0,3.0,,,,2.0,1.0,1.0,1.0,,4.0,,,,4.0,1.0,3.0,1.0,3.0,1.0,,,,,Atlético Nacional,home,,,
Jorman Campuzano,jorman-campuzano,J. Campuzano,M,21,175.0,703,924420,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,830822400,"{'value': 1500000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. كامبوزانو', 'hi': 'जे. कैम्पुज़ानो', 'bn': 'জে. ক্যাম্পুজানো'}}",21,False,44.0,41.0,3.0,3.0,0.0,,90.0,47.0,6.7,3.0,"{'original': 6.7, 'alternative': None}",2.0,,,,,,2.0,,1.0,1.0,2.0,,,2.0,,,,,1.0,,,,,,Atlético Nacional,home,,,
Faber Andrés Gil,faber-andres-gil,F. A. Gil,M,7,178.0,148,831377,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,796003200,"{'value': 665000, 'currency': 'EUR'}",,,,7,False,7.0,6.0,1.0,1.0,0.0,,56.0,17.0,6.6,6.0,"{'original': 6.6, 'alternative': None}",3.0,1.0,,,,,1.0,,,,3.0,,1.0,1.0,2.0,1.0,,,2.0,1.0,1.0,,,,Atlético Nacional,home,,,
Juan Zapata,juan-zapata,J. Zapata,M,80,178.0,218,983231,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,958694400,"{'value': 1500000, 'currency': 'EUR'}",,,,80,False,27.0,24.0,2.0,1.0,0.0,,90.0,31.0,6.3,4.0,"{'original': 6.3, 'alternative': None}",2.0,,1.0,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,Atlético Nacional,home,,,
Edwin Cardona,edwin-cardona,E. Cardona,M,10,183.0,2280,153793,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,723772800,"{'value': 960000, 'currency': 'EUR'}",,,"{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'إ. كاردونا', 'hi': 'ई. कार्डोना', 'bn': 'ই. কার্ডোনা'}}",10,False,35.0,26.0,8.0,6.0,2.0,,89.0,53.0,8.5,16.0,"{'original': 8.5, 'alternative': None}",3.0,1.0,2.0,2.0,1.0,,,,2.0,,3.0,1.0,,,6.0,2.0,1.0,,3.0,,,,,True,Atlético Nacional,home,,,
Dairon Asprilla,dairon-asprilla,D. Asprilla,F,27,178.0,283,790161,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,706752000,"{'value': 720000, 'currency': 'EUR'}",,,,27,False,8.0,8.0,,,1.0,,90.0,16.0,8.1,,"{'original': 8.1, 'alternative': None}",1.0,,2.0,1.0,1.0,,1.0,,1.0,,2.0,,2.0,1.0,,,,,,,,1.0,,,Atlético Nacional,home,,,
