name,firstName,lastName,slug,shortName,position,jerseyNumber,height,userCount,id,country,marketValueCurrency,dateOfBirthTimestamp,proposedMarketValueRaw,fieldTranslations,shirtNumber,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalClearance,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,totalTackle,fouls,keyPass,aerialWon,shotOffTarget,outfielderBlock,wasFouled,challengeLost,blockedScoringAttempt,interceptionWon,totalContest,wonContest,onTargetScoringAttempt,totalOffside,captain,team,teamType,goodHighClaim
Cristopher Fiermarín,,,cristopher-fiermarin,C. Fiermarín,G,22,189,104,881111,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,883612800,"{'value': 1400000, 'currency': 'EUR'}",,22,False,29.0,21.0,16.0,8.0,0.0,1.0,2.0,3.0,1.0,90.0,39.0,7.4,8.0,"{'original': 7.4, 'alternative': None}",,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,
Yhorman Hurtado,,,hurtado-yhorman,Y. Hurtado,D,26,170,31,1100500,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,850521600,"{'value': 535000, 'currency': 'EUR'}",,26,False,44.0,36.0,5.0,3.0,0.0,1.0,,,,90.0,61.0,7.1,15.0,"{'original': 7.1, 'alternative': None}",4.0,1.0,5.0,7.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,Deportes Tolima,home,
Marlon Torres,,,marlon-torres,M. Torres,D,17,180,44,869990,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,829699200,"{'value': 590000, 'currency': 'EUR'}",,17,False,34.0,24.0,5.0,2.0,0.0,1.0,,,,90.0,40.0,7.0,10.0,"{'original': 7, 'alternative': None}",,,3.0,4.0,3.0,,1.0,1.0,,2.0,1.0,2.0,,,,,,,,,,Deportes Tolima,home,
Fabián Mosquera,,,fabian-mosquera,F. Mosquera,M,19,177,13,870084,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,794188800,"{'value': 235000, 'currency': 'EUR'}",,19,False,46.0,32.0,13.0,5.0,0.0,2.0,,,,90.0,51.0,6.8,14.0,"{'original': 6.8, 'alternative': None}",,,2.0,2.0,3.0,,,,,2.0,,,1.0,,,,,,,,,Deportes Tolima,home,
Samuel Velásquez,Samuel Velásquez,,samuel-velasquez,S. Velásquez,D,33,174,130,1185987,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1054166400,"{'value': 770000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ص. فيلاسكيز', 'hi': 'एस. वेलास्केज़', 'bn': 'এস. ভেলাস্কেজ'}}",33,False,48.0,37.0,10.0,4.0,0.0,2.0,,,,90.0,71.0,7.0,18.0,"{'original': 7, 'alternative': None}",4.0,,1.0,2.0,,,,,,,2.0,,,1.0,1.0,2.0,,,,,,Deportes Tolima,home,
Cristian Trujillo,,,cristian-trujillo,C. Trujillo,M,6,174,23,931707,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,902620800,"{'value': 580000, 'currency': 'EUR'}",,6,False,39.0,32.0,6.0,2.0,0.0,,,,,90.0,45.0,6.5,9.0,"{'original': 6.5, 'alternative': None}",1.0,,3.0,7.0,1.0,,1.0,4.0,,,,,,,,,,,,,,Deportes Tolima,home,
Juan Pablo Nieto,,,juan-pablo-nieto,J. P. Nieto,M,15,178,40,338861,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730598400,"{'value': 470000, 'currency': 'EUR'}",,15,False,36.0,32.0,1.0,1.0,0.0,,,,,86.0,43.0,7.2,4.0,"{'original': 7.2, 'alternative': None}",,,,,3.0,,2.0,,2.0,,,,1.0,,,2.0,,,,,True,Deportes Tolima,home,
Jersson González,,,jersson-gonzalez,J. González,M,7,172,89,1014824,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1000512000,"{'value': 955000, 'currency': 'EUR'}",,7,False,6.0,3.0,1.0,,0.0,,,,,65.0,17.0,6.4,8.0,"{'original': 6.4, 'alternative': None}",2.0,,2.0,7.0,1.0,1.0,,3.0,1.0,,,,1.0,,,1.0,1.0,,,,,Deportes Tolima,home,
Andrés Arroyo,,,andres-arroyo,A. Arroyo,M,25,171,136,978706,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1011484800,"{'value': 370000, 'currency': 'EUR'}",,25,False,29.0,28.0,2.0,2.0,0.0,,,,,73.0,42.0,7.2,6.0,"{'original': 7.2, 'alternative': None}",1.0,,,2.0,2.0,1.0,,1.0,,,2.0,,1.0,,1.0,,1.0,1.0,1.0,,,Deportes Tolima,home,
Kevin Pérez,,,kevin-perez,K. Pérez,M,18,170,40,991859,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,869184000,"{'value': 605000, 'currency': 'EUR'}",,18,False,19.0,13.0,5.0,3.0,0.0,,,,,64.0,37.0,7.2,12.0,"{'original': 7.2, 'alternative': None}",1.0,1.0,3.0,6.0,6.0,3.0,4.0,,3.0,,1.0,,1.0,,2.0,,1.0,1.0,,,,Deportes Tolima,home,
Gonzalo Lencina,,,gonzalo-lencina,G. Lencina,F,11,178,503,974691,"{'alpha2': 'AR', 'alpha3': 'ARG', 'name': 'Argentina', 'slug': 'argentina'}",EUR,877132800,"{'value': 825000, 'currency': 'EUR'}",,11,False,15.0,9.0,,,0.0,1.0,,,,90.0,25.0,6.9,9.0,"{'original': 6.9, 'alternative': None}",,,1.0,3.0,2.0,,1.0,2.0,1.0,,1.0,,1.0,,,2.0,,,,1.0,,Deportes Tolima,home,
Luis Miranda,,,luis-miranda,L. Miranda,F,28,180,33,891115,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,872640000,"{'value': 290000, 'currency': 'EUR'}",,28,True,2.0,1.0,,,0.0,,,,,26.0,5.0,6.5,3.0,"{'original': 6.5, 'alternative': None}",2.0,,1.0,2.0,,,,1.0,,,,,,,,1.0,,,,,,Deportes Tolima,home,
Junior Hernández,,,junior-hernandez,J. Hernández,D,20,172,78,973723,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,923270400,"{'value': 1200000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ج. هيرنانديز', 'hi': 'जे. हर्नांडेज़', 'bn': 'জে হার্নান্দেজ'}}",20,True,6.0,6.0,,,0.0,,,,,25.0,10.0,6.6,2.0,"{'original': 6.6, 'alternative': None}",,,,2.0,2.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,Deportes Tolima,home,
Jader Quinones,Jader Quiñónes,,quinones-jader,J. Quiñónes,M,42,170,107,1129437,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,976579200,"{'value': 630000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'ك. جادر', 'hi': 'जे. क्विनोन', 'bn': 'জে. কুইনস'}}",42,True,11.0,9.0,1.0,1.0,0.0,,,,,17.0,16.0,6.5,6.0,"{'original': 6.5, 'alternative': None}",2.0,,,1.0,1.0,,,,,,,,,,,,2.0,1.0,,,,Deportes Tolima,home,
Adrián Parra,,,adrian-parra,A. Parra,F,24,178,85,830255,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,853372800,"{'value': 535000, 'currency': 'EUR'}",,24,True,,,,,0.0,,,,,10.0,2.0,6.6,1.0,"{'original': 6.6, 'alternative': None}",,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,Deportes Tolima,home,
William Cuesta,,,william-cuesta,W. Cuesta,G,1,195,24,339369,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,730080000,"{'value': 270000, 'currency': 'EUR'}",,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,
Jhon Quiñónes,Jhon Quiñónes,,jhon-quinones,J. Quiñónes,D,4,188,13,1494091,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,1082073600,,,4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,
Cristian Arrieta,,,cristian-arrieta,C. Arrieta,M,71,170,27,819133,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,820627200,"{'value': 605000, 'currency': 'EUR'}",,71,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deportes Tolima,home,
Santiago Mele,,,santiago-mele,S. Mele,G,25,182,607,846421,"{'alpha2': 'UY', 'alpha3': 'URY', 'name': 'Uruguay', 'slug': 'uruguay'}",EUR,873504000,"{'value': 2300000, 'currency': 'EUR'}","{'nameTranslation': {}, 'shortNameTranslation': {'ar': 'س. ميلي', 'hi': 'एस. मेले', 'bn': 'এস. মেলে'}}",77,False,40.0,27.0,28.0,16.0,0.0,1.0,,1.0,,90.0,46.0,7.4,13.0,"{'original': 7.4, 'alternative': None}",,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,Junior Barranquilla,away,1.0
Jhomier Guerrero,Jhomier Guerrero,,jhomier-guerrero,J. Guerrero,D,34,170,48,1441809,"{'alpha2': 'CO', 'alpha3': 'COL', 'name': 'Colombia', 'slug': 'colombia'}",EUR,985478400,"{'value': 485000, 'currency': 'EUR'}",,34,False,20.0,16.0,2.0,,0.0,1.0,,,,89.0,35.0,6.6,12.0,"{'original': 6.6, 'alternative': None}",4.0,1.0,,3.0,2.0,,1.0,,1.0,,,,,1.0,,,3.0,1.0,,,,Junior Barranquilla,away,
Christian Javier Báez,,,christian-javier-baez,C. J. Báez,D,66,180,122,136758,"{'alpha2': 'PY', 'alpha3': 'PRY', 'name': 'Paraguay', 'slug': 'paraguay'}",EUR,639619200,"{'value': 290000, 'currency': 'EUR'}",,66,False,44.0,34.0,11.0,5.0,0.0,4.0,,,,90.0,66.0,7.0,13.0,"{'original': 7, 'alternative': None}",,,,2.0,3.0,,,1.0,,2.0,,1.0,1.0,,,,1.0,,,,,Junior Barranquilla,away,
